Chlorophyll Analyses,,,,,,
,,Units Required,ug/L,,,
,,,,,,
Customer and Data Recipient,Wendi Ruef,,,,,
Email,wruef@uw.edu,,,,,
Office,206-221-6760,,,,,
,,,,,,
Worktage,GR041160,Budget Contact,Jenny E,,,
PI,D. Kelley,,jenny9@uw.edu,,,
,,,Office: 206-542-5279,,,
Total Samples,50,,,,,
,,,,,,
,,,,,,
CTD Station,CTD ID,Niskin Bottle Number,Target Depth (m),Sample Bottle Number,Volume Filtered (L),Extraction Volume (L)
Oregon Offshore Shallow Profiler,AT50-29_J2-1602,Forward Starboard,200,5120,500,10
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,13,100,5119,500,10
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,17,60,5118,500,10
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,19,40,5117,500,10
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,21,20,5116,500,10
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,23,10,5115,500,10
Slope Base Shallow Profiler,AT50-29_J2-1605,Aft,200,5106,500,10
Slope Base Shallow Profiler,AT50-20_CTD-002,3,200,5114,500,10
Slope Base Shallow Profiler,AT50-20_CTD-002,7,160,5113,500,10
Slope Base Shallow Profiler,AT50-20_CTD-002,9,140,5112,500,10
Slope Base Shallow Profiler,AT50-20_CTD-002,13,100,5111,500,10
Slope Base Shallow Profiler,AT50-20_CTD-002,17,60,5110,500,10
Slope Base Shallow Profiler,AT50-20_CTD-002,19,40,5109,500,10
Slope Base Shallow Profiler,AT50-20_CTD-002,21,20,5108,500,10
Slope Base Shallow Profiler,AT50-20_CTD-002,23,10,5107,500,10
Axial Base Shallow Profiler,AT50-29_J2-1612,Forward Starboard,200,5104,500,10
Axial Base Shallow Profiler,AT50-29_CTD-004,3,200,5105,500,10
Axial Base Shallow Profiler,AT50-29_CTD-004,7,160,5103,500,10
Axial Base Shallow Profiler,AT50-29_CTD-004,9,140,5102,500,10
Axial Base Shallow Profiler,AT50-29_CTD-004,13,100,5101,500,10
Axial Base Shallow Profiler,AT50-29_CTD-004,17,60,5100,500,10
Axial Base Shallow Profiler,AT50-29_CTD-004,19,40,5099,500,10
Axial Base Shallow Profiler,AT50-29_CTD-004,21,20,5098,500,10
Axial Base Shallow Profiler,AT50-29_CTD-004,23,10,5097,500,10
Slope Base Junction Box LJ01A,AT50-29_J2-1617,Aft Starboard,2901,5056,500,10
Oregon Offshore BEP,AT50-29_J2-1619,Forward Starboard,588,5057,500,10
Oregon Shelf BEP,AT50-29_J2-1621,Forward Port,80,5058,500,10
Oregon Shelf BEP,AT50-29_J2-1623,Forward Starboard,80,5059,500,10
Oregon Offshore BEP,AT50-29_J2-1635,Forward Starboard,588,5060,500,10
Slope Base Deep Profiler,AT50-29_CTD-005,7,2000,5096,500,10
Slope Base Deep Profiler,AT50-29_CTD-005,9,1750,5095,500,10
Slope Base Deep Profiler,AT50-29_CTD-005,13,1250,5094,500,10
Slope Base Deep Profiler,AT50-29_CTD-005,17,750,5093,500,10
Slope Base Deep Profiler,AT50-29_CTD-005,22,300,5092,500,10
Slope Base Deep Profiler,AT50-29_CTD-005,23,200,5091,500,10
Oregon Offshore Deep Profiler,AT50-29_CTD-006,7,450,5090,500,10
Oregon Offshore Deep Profiler,AT50-29_CTD-006,13,325,5089,500,10
Oregon Offshore Deep Profiler,AT50-29_CTD-006,15,300,5088,500,10
Oregon Offshore Deep Profiler,AT50-29_CTD-006,17,275,5087,500,10
Oregon Offshore Deep Profiler,AT50-29_CTD-006,19,250,5086,500,10
Oregon Offshore Deep Profiler,AT50-29_CTD-006,23,200,5085,500,10
Axial Base Deep Profiler,AT50-29_CTD-007,7,2000,5083,500,10
Axial Base Deep Profiler,AT50-29_CTD-007,13,1250,5084,500,10
Axial Base Deep Profiler,AT50-29_CTD-007,15,1000,5081,500,10
Axial Base Deep Profiler,AT50-29_CTD-007,17,750,5082,500,10
Axial Base Deep Profiler,AT50-29_CTD-007,19,500,5080,500,10
Axial Base Deep Profiler,AT50-29_CTD-007,23,200,5079,410,10
Axial Base Junction Box LJ03A,AT50-29_J2-1647,Aft Starboard,2606,5077,331,10
Axial Base Junction Box LJ03A,AT50-29_J2-1647,Aft Starboard,2606,5076,331,10
Axial Base Shallow Profiler,AT50-29_J2-1648,Forward Starboard,200,5078,500,10
