DIC Analysis for pCO2 and TCO2,,,,,,
,,,,,,
,,,,,,
Customer and Data Recipient,Wendi Ruef,,,,,
Email,wruef@uw.edu,,,,,
Office,206-221-6760,,,,,
,,,,,,
Worktage,GR041160,Budget Contact,Jenny E,,,
PI,D. Kelley,,jenny9@uw.edu,,,
,,,Office: 206-542-5279,,,
Total Samples,47,,,,,
,,,,,,
,,,,,,
CTD Station,CTD ID,Niskin Bottle Number,Target Depth (m),Sample Bottle Number,In-Situ Temperature (avg),In-Situ Salinity (avg)
Oregon Offshore Shallow Profiler,AT50-29_J2-1602,Aft Starboard,200,DIC-106,7.2003,33.9219
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,1,220,DIC-112,7.1196,33.9831
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,3,200,DIC-118,7.1444,33.9770
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,5,180,DIC-124,7.2381,33.9608
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,7,160,DIC-105,7.2693,33.9493
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,9,140,DIC-111,7.3840,33.9364
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,11,120,DIC-117,7.4789,33.9237
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,13,100,DIC-123,7.7171,33.8870
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,15,80,DIC-104,8.0081,33.8116
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,17,60,DIC-110,8.1994,33.3343
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,19,40,DIC-116,8.7775,32.9157
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,21,20,DIC-122,9.6289,32.3767
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,23,10,DIC-103,12.0299,32.1105
Slope Base Shallow Profiler,AT50-29_J2-1605,Aft,200,DIC-136,7.3174,33.8490
Slope Base Shallow Profiler,AT50-20_CTD-002,1,220,DIC-109,7.0563,33.9269
Slope Base Shallow Profiler,AT50-20_CTD-002,3,200,DIC-115,7.3286,33.9020
Slope Base Shallow Profiler,AT50-20_CTD-002,5,180,DIC-121,7.5531,33.8645
Slope Base Shallow Profiler,AT50-20_CTD-002,7,160,DIC-102,7.7555,33.8184
Slope Base Shallow Profiler,AT50-20_CTD-002,9,140,DIC-108,8.1501,33.6872
Slope Base Shallow Profiler,AT50-20_CTD-002,11,120,DIC-114,8.0692,33.3736
Slope Base Shallow Profiler,AT50-20_CTD-002,13,100,DIC-120,8.4779,33.0026
Slope Base Shallow Profiler,AT50-20_CTD-002,15,80,DIC-101,9.0486,32.6303
Slope Base Shallow Profiler,AT50-20_CTD-002,17,60,DIC-107,9.7360,32.3624
Slope Base Shallow Profiler,AT50-20_CTD-002,19,40,DIC-113,12.0152,32.3099
Slope Base Shallow Profiler,AT50-20_CTD-002,21,20,DIC-119,17.8094,31.6818
Slope Base Shallow Profiler,AT50-20_CTD-002,23,10,DIC-130,17.9090,31.6794
Axial Base Shallow Profiler,AT50-29_J2-1612,Aft Starboard,200,DIC-142,6.7933,33.6846
Axial Base Shallow Profiler,AT50-29_CTD-004,1,220,DIC-148,6.5507,33.7954
Axial Base Shallow Profiler,AT50-29_CTD-004,3,200,DIC-147,6.7036,33.7693
Axial Base Shallow Profiler,AT50-29_CTD-004,5,180,DIC-135,6.8968,33.6997
Axial Base Shallow Profiler,AT50-29_CTD-004,7,160,DIC-141,7.2081,33.5412
Axial Base Shallow Profiler,AT50-29_CTD-004,7,160,DIC-144,7.2081,33.5412
Axial Base Shallow Profiler,AT50-29_CTD-004,9,140,DIC-129,7.5617,33.2722
Axial Base Shallow Profiler,AT50-29_CTD-004,9,140,DIC-127,7.5617,33.2722
Axial Base Shallow Profiler,AT50-29_CTD-004,11,120,DIC-146,8.4227,32.8882
Axial Base Shallow Profiler,AT50-29_CTD-004,11,120,DIC-138,8.4227,32.8882
Axial Base Shallow Profiler,AT50-29_CTD-004,13,100,DIC-128,8.9662,32.6111
Axial Base Shallow Profiler,AT50-29_CTD-004,15,80,DIC-134,9.5710,32.4212
Axial Base Shallow Profiler,AT50-29_CTD-004,17,60,DIC-140,10.5328,32.3811
Axial Base Shallow Profiler,AT50-29_CTD-004,19,40,DIC-145,12.9395,32.3531
Axial Base Shallow Profiler,AT50-29_CTD-004,21,20,DIC-139,15.1666,32.3748
Axial Base Shallow Profiler,AT50-29_CTD-004,23,10,DIC-133,17.8905,32.3480
Oregon Offshore BEP,AT50-29_J2-1619,Aft Starboard,588,DIC-172,5.2125,34.1212
Oregon Shelf BEP,AT50-29_J2-1621,Aft Port,80,DIC-166,7.2751,33.8323
Oregon Shelf BEP,AT50-29_J2-1623,Aft Starboard,80,DIC-154,7.2765,33.8322
Oregon Offshore BEP,AT50-29_J2-1635,Aft Starboard,588,DIC-160,5.0798,34.1471
Axial Base Shallow Profiler,AT50-29_J2-1648,Aft Starboard,200,DIC-171,7.2051,33.7366
