Nutrient Analyses,,,,
,,Units Required,uM,
,,,,
Customer and Data Recipient,Wendi Ruef,,,
Email,wruef@uw.edu,,,
Office,206-221-6760,,,
,,,,
Worktage,GR041160,Budget Contact,Jenny E,
PI,D. Kelley,,jenny9@uw.edu,
,,,Office: 206-542-5279,
Total Samples,39,,,
,,,,
,,,,
CTD Station,CTD ID,Niskin Bottle Number,Target Depth (m),Sample Bottle Number
Oregon Offshore Shallow Profiler,AT50-29_J2-1602,Aft Starboard,200,NUT-1409
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,1,220,NUT-1410
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,3,200,NUT-1411
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,5,180,NUT-1412
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,7,160,NUT-1413
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,9,140,NUT-1414
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,11,120,NUT-1415
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,13,100,NUT-1416
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,15,80,NUT-1417
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,17,60,NUT-1418
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,19,40,NUT-1419
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,21,20,NUT-1420
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,23,10,NUT-1421
Slope Base Shallow Profiler,AT50-20_CTD-002,1,220,NUT-1424
Slope Base Shallow Profiler,AT50-20_CTD-002,3,200,NUT-1423
Slope Base Shallow Profiler,AT50-20_CTD-002,5,180,NUT-1425
Slope Base Shallow Profiler,AT50-20_CTD-002,7,160,NUT-1440
Slope Base Shallow Profiler,AT50-20_CTD-002,9,140,NUT-1432
Slope Base Shallow Profiler,AT50-20_CTD-002,11,120,NUT-1426
Slope Base Shallow Profiler,AT50-20_CTD-002,13,100,NUT-1431
Slope Base Shallow Profiler,AT50-20_CTD-002,15,80,NUT-1430
Slope Base Shallow Profiler,AT50-20_CTD-002,17,60,NUT-1427
Slope Base Shallow Profiler,AT50-20_CTD-002,19,40,NUT-1429
Slope Base Shallow Profiler,AT50-20_CTD-002,21,20,NUT-1439
Slope Base Shallow Profiler,AT50-20_CTD-002,23,10,NUT-1428
Axial Base Shallow Profiler,AT50-29_J2-1612,Aft Starboard,200,NUT-1437
Axial Base Shallow Profiler,AT50-29_CTD-004,1,220,NUT-1438
Axial Base Shallow Profiler,AT50-29_CTD-004,3,200,NUT-1436
Axial Base Shallow Profiler,AT50-29_CTD-004,5,180,NUT-1435
Axial Base Shallow Profiler,AT50-29_CTD-004,7,160,NUT-1434
Axial Base Shallow Profiler,AT50-29_CTD-004,9,140,NUT-1433
Axial Base Shallow Profiler,AT50-29_CTD-004,11,120,NUT-1448
Axial Base Shallow Profiler,AT50-29_CTD-004,13,100,NUT-1447
Axial Base Shallow Profiler,AT50-29_CTD-004,15,80,NUT-1446
Axial Base Shallow Profiler,AT50-29_CTD-004,17,60,NUT-1445
Axial Base Shallow Profiler,AT50-29_CTD-004,19,40,NUT-1444
Axial Base Shallow Profiler,AT50-29_CTD-004,21,20,NUT-1443
Axial Base Shallow Profiler,AT50-29_CTD-004,23,10,NUT-1442
Axial Base Shallow Profiler,AT50-29_J2-1648,Aft Starboard,200,NUT-1441
