Salinity Analyses,,,,
,,Units Required,salinity,
,,,,
Customer and Data Recipient,Wendi Ruef,,,
Email,wruef@uw.edu,,,
Office,206-221-6760,,,
,,,,
Worktage,GR041160,Budget Contact,Jenny E,
PI,D. Kelley,,jenny9@uw.edu,
,,,Office: 206-542-5279,
Total Samples,45,,,
,,,,
,,,,
CTD Station,CTD ID,Niskin Bottle Number,Target Depth (m),Sample Bottle Number
Oregon Offshore Shallow Profiler,AT50-29_J2-1602,Aft Starboard,200,SA-49
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,1,220,SA-50
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,5,180,SA-51
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,11,120,SA-52
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,15,80,SA-53
Oregon Offshore Shallow Profiler,AT50-29_CTD-001,19,40,SA-54
Slope Base Shallow Profiler,AT50-29_J2-1605,Aft,200,SA-55
Slope Base Shallow Profiler,AT50-20_CTD-002,3,200,SA-56
Slope Base Shallow Profiler,AT50-20_CTD-002,11,120,SA-62
Slope Base Shallow Profiler,AT50-20_CTD-002,15,80,SA-57
Slope Base Shallow Profiler,AT50-20_CTD-002,19,40,SA-63
Slope Base Shallow Profiler,AT50-20_CTD-002,23,10,SA-58
Axial Base Shallow Profiler,AT50-29_J2-1612,Aft Starboard,200,SA-61
Axial Base Shallow Profiler,AT50-29_CTD-004,3,200,SA-59
Axial Base Shallow Profiler,AT50-29_CTD-004,11,120,SA-64
Axial Base Shallow Profiler,AT50-29_CTD-004,15,80,SA-67
Axial Base Shallow Profiler,AT50-29_CTD-004,19,40,SA-68
Axial Base Shallow Profiler,AT50-29_CTD-004,23,10,SA-65
Slope Base Junction Box LJ01A,AT50-29_J2-1617,Aft Starboard,2901,SA-60
Oregon Offshore BEP,AT50-29_J2-1619,Aft Starboard,588,SA-66
Oregon Shelf BEP,AT50-29_J2-1621,Aft Port,80,SA-69
Oregon Shelf BEP,AT50-29_J2-1623,Aft Starboard,80,SA-70
Oregon Offshore BEP,AT50-29_J2-1635,Aft Starboard,588,SA-71
Slope Base Deep Profiler,AT50-29_CTD-005,3,2750,SA-169
Slope Base Deep Profiler,AT50-29_CTD-005,7,2000,SA-170
Slope Base Deep Profiler,AT50-29_CTD-005,13,1250,SA-171
Slope Base Deep Profiler,AT50-29_CTD-005,17,750,SA-172
Slope Base Deep Profiler,AT50-29_CTD-005,22,300,SA-173
Oregon Offshore Deep Profiler,AT50-29_CTD-006,3,550,SA-174
Oregon Offshore Deep Profiler,AT50-29_CTD-006,7,450,SA-175
Oregon Offshore Deep Profiler,AT50-29_CTD-006,7,450,SA-179
Oregon Offshore Deep Profiler,AT50-29_CTD-006,13,325,SA-176
Oregon Offshore Deep Profiler,AT50-29_CTD-006,17,275,SA-177
Oregon Offshore Deep Profiler,AT50-29_CTD-006,23,200,SA-178
Axial Base Deep Profiler,AT50-29_CTD-007,3,2400,SA-180
Axial Base Deep Profiler,AT50-29_CTD-007,7,2000,SA-181
Axial Base Deep Profiler,AT50-29_CTD-007,13,1250,SA-184
Axial Base Deep Profiler,AT50-29_CTD-007,17,750,SA-185
Axial Base Deep Profiler,AT50-29_CTD-007,23,200,SA-186
Axial Base Junction Box LJ03A,AT50-29_J2-1647,Aft Starboard,2606,SA-182
Axial Base Shallow Profiler,AT50-29_J2-1648,Aft Starboard,200,SA-183
Axial ASHS Vent Field,AT50-29_J2-1650,Forward Starboard,1544,SA-187
Axial Seamount International District 2,AT50-29_J2-1652,Aft Starboard,1528,SA-188
Axial Central Caldera,AT50-29_J2-1653,Forward Starboard,1500,SA-189
Axial Eastern Caldera,AT50-29_J2-1656,Forward Starboard,1521,SA-190
