Date/Time (UTC),vehicleRealtimeNavData.latitude (ddeg),vehicleRealtimeNavData.longitude (ddeg),event_value,event_free_text,event_author,event_option.actions,event_option.milestone,event_option.type,event_option.filename,event_option.event_comment,event_option.dummy_plug,event_option.nav,event_option.cabled_plug,vehicleRealtimeNavData.local_x (meters),vehicleRealtimeNavData.local_y (meters),vehicleRealtimeNavData.roll (deg),vehicleRealtimeNavData.pitch (deg),vehicleRealtimeNavData.heading (deg),vehicleRealtimeNavData.depth (meters),vehicleRealtimeNavData.altitude (meters),vehicleRealtimeFramegrabberData.camera_name_1,vehicleRealtimeFramegrabberData.filename_1,vehicleRealtimeFramegrabberData.camera_name_2,vehicleRealtimeFramegrabberData.filename_2,vehicleRealtimeFramegrabberData.camera_name_3,vehicleRealtimeFramegrabberData.filename_3,vehicleRealtimeFramegrabberData.camera_name_4,vehicleRealtimeFramegrabberData.filename_4,vehicleReNavData.pitch (deg),vehicleReNavData.roll (deg),vehicleTemperatureProbe.probe1_temperature (degC),vehicleTemperatureProbe.probe2_temperature (degC),vehicleTemperatureProbe.probe3_temperature (degC),vehicleTemperatureProbe.probe4_temperature (degC),id
"2024-08-11T22:20:05.528Z","45.9166755","-130.0249754","ASNAP","","admin","","","","","","","","","1.91","0.98","1.2","-4.1","128.67","0.94","0.58","SciCam","/SciCam.20240811_222005528.jpg","PilotCam","/PilotCam.20240811_222005528.jpg","BrowCam","/BrowCam.20240811_222005528.jpg","UserSelect","/UserSelect.20240811_222005528.jpg","","","-999.99","16.88","-999.99","-999.99","66b93915111b2e001a286c08"
"2024-08-11T22:20:20.558Z","45.9166752","-130.0249753","ASNAP","","admin","","","","","","","","","1.92","0.95","1.2","-4.1","128.67","0.95","0.58","SciCam","/SciCam.20240811_222020558.jpg","PilotCam","/PilotCam.20240811_222020558.jpg","BrowCam","/BrowCam.20240811_222020558.jpg","UserSelect","/UserSelect.20240811_222020558.jpg","","","-999.99","16.88","-999.99","-999.99","66b93924111b2e001a286c0c"
"2024-08-11T22:20:35.590Z","45.9166754","-130.0249755","ASNAP","","admin","","","","","","","","","1.90","0.97","1.2","-4.1","128.67","0.93","0.58","SciCam","/SciCam.20240811_222035590.jpg","PilotCam","/PilotCam.20240811_222035590.jpg","BrowCam","/BrowCam.20240811_222035590.jpg","UserSelect","/UserSelect.20240811_222035590.jpg","","","-999.99","16.87","-999.99","-999.99","66b93933111b2e001a286c10"
"2024-08-11T22:20:50.623Z","45.9166753","-130.0249754","ASNAP","","admin","","","","","","","","","1.91","0.96","1.2","-4.1","128.67","0.94","0.58","SciCam","/SciCam.20240811_222050623.jpg","PilotCam","/PilotCam.20240811_222050623.jpg","BrowCam","/BrowCam.20240811_222050623.jpg","UserSelect","/UserSelect.20240811_222050623.jpg","","","-999.99","16.87","-999.99","-999.99","66b93942111b2e001a286c14"
"2024-08-11T22:21:05.640Z","45.9166749","-130.0249751","ASNAP","","admin","","","","","","","","","1.93","0.91","1.2","-4.1","128.67","0.94","0.58","SciCam","/SciCam.20240811_222105640.jpg","PilotCam","/PilotCam.20240811_222105640.jpg","BrowCam","/BrowCam.20240811_222105640.jpg","UserSelect","/UserSelect.20240811_222105640.jpg","","","-999.99","16.86","-999.99","-999.99","66b93951111b2e001a286c18"
"2024-08-11T22:21:20.672Z","45.9166756","-130.0249754","ASNAP","","admin","","","","","","","","","1.91","0.99","1.2","-4.1","128.67","0.94","0.58","SciCam","/SciCam.20240811_222120672.jpg","PilotCam","/PilotCam.20240811_222120672.jpg","BrowCam","/BrowCam.20240811_222120672.jpg","UserSelect","/UserSelect.20240811_222120672.jpg","","","-999.99","16.85","-999.99","-999.99","66b93960111b2e001a286c1c"
"2024-08-11T22:21:35.705Z","45.9166834","-130.0249799","ASNAP","","admin","","","","","","","","","1.56","1.86","1.2","-4.1","128.67","0.93","0.58","SciCam","/SciCam.20240811_222135705.jpg","PilotCam","/PilotCam.20240811_222135705.jpg","BrowCam","/BrowCam.20240811_222135705.jpg","UserSelect","/UserSelect.20240811_222135705.jpg","","","-999.99","16.83","-999.99","-999.99","66b9396f111b2e001a286c20"
"2024-08-11T22:21:50.740Z","45.9166831","-130.0249796","ASNAP","","admin","","","","","","","","","1.58","1.83","1.2","-4.1","128.67","0.93","0.58","SciCam","/SciCam.20240811_222150740.jpg","PilotCam","/PilotCam.20240811_222150740.jpg","BrowCam","/BrowCam.20240811_222150740.jpg","UserSelect","/UserSelect.20240811_222150740.jpg","","","-999.99","16.81","-999.99","-999.99","66b9397e111b2e001a286c24"
"2024-08-11T22:22:05.771Z","45.9166904","-130.0249887","ASNAP","","admin","","","","","","","","","0.88","2.64","1.2","-4.1","128.67","0.93","0.58","SciCam","/SciCam.20240811_222205771.jpg","PilotCam","/PilotCam.20240811_222205771.jpg","BrowCam","/BrowCam.20240811_222205771.jpg","UserSelect","/UserSelect.20240811_222205771.jpg","","","-999.99","16.82","-999.99","-999.99","66b9398d111b2e001a286c28"
"2024-08-11T22:22:20.803Z","45.9166925","-130.0249947","ASNAP","","admin","","","","","","","","","0.41","2.87","1.2","-4.1","128.67","0.93","0.58","SciCam","/SciCam.20240811_222220803.jpg","PilotCam","/PilotCam.20240811_222220803.jpg","BrowCam","/BrowCam.20240811_222220803.jpg","UserSelect","/UserSelect.20240811_222220803.jpg","","","-999.99","16.87","-999.99","-999.99","66b9399c111b2e001a286c2c"
