Date/Time (UTC),vehicleRealtimeNavData.latitude (ddeg),vehicleRealtimeNavData.longitude (ddeg),event_value,event_free_text,event_author,event_option.new_watchstander,event_option.milestone,event_option.type,event_option.actions,event_option.filename,event_option.highlights,event_option.nav,vehicleRealtimeNavData.local_x (meters),vehicleRealtimeNavData.local_y (meters),vehicleRealtimeNavData.roll (deg),vehicleRealtimeNavData.pitch (deg),vehicleRealtimeNavData.heading (deg),vehicleRealtimeNavData.depth (meters),vehicleRealtimeNavData.altitude (meters),vehicleRealtimeFramegrabberData.camera_name_1,vehicleRealtimeFramegrabberData.filename_1,vehicleRealtimeFramegrabberData.camera_name_2,vehicleRealtimeFramegrabberData.filename_2,vehicleRealtimeFramegrabberData.camera_name_3,vehicleRealtimeFramegrabberData.filename_3,vehicleRealtimeFramegrabberData.camera_name_4,vehicleRealtimeFramegrabberData.filename_4,vehicleReNavData.pitch (deg),vehicleReNavData.roll (deg),vehicleTemperatureProbe.probe1_temperature (degC),vehicleTemperatureProbe.probe2_temperature (degC),vehicleTemperatureProbe.probe3_temperature (degC),vehicleTemperatureProbe.probe4_temperature (degC),id
"2024-08-15T16:46:19.798Z","44.3596942","-124.9645295","FREE_FORM","test","admin","","","","","","","","1.70","-1.66","-0.4","-1.0","293.48","0.63","0.58","SciCam","/SciCam.20240815_164619798.jpg","PilotCam","/PilotCam.20240815_164619798.jpg","BrowCam","/BrowCam.20240815_164619798.jpg","UserSelect","/UserSelect.20240815_164619798.jpg","","","-999.99","17.27","-999.99","-999.99","66be30db111b2e001a298fa6"
"2024-08-15T16:46:27.860Z","44.3596939","-124.9645296","FREE_FORM","test","admin","","","","","","","","1.69","-1.69","0.5","-1.1","293.48","0.63","0.58","SciCam","/SciCam.20240815_164627860.jpg","PilotCam","/PilotCam.20240815_164627860.jpg","BrowCam","/BrowCam.20240815_164627860.jpg","UserSelect","/UserSelect.20240815_164627860.jpg","","","-999.99","17.27","-999.99","-999.99","66be30e3111b2e001a298faa"
"2024-08-15T16:51:44.571Z","44.3596830","-124.9645495","WATCH_CHANGE","","guest","Finnegan Hanley","","","","","","","0.10","-2.91","-0.8","-0.4","164.67","0.79","0.58","SciCam","/SciCam.20240815_165144571.jpg","PilotCam","/PilotCam.20240815_165144571.jpg","BrowCam","/BrowCam.20240815_165144571.jpg","UserSelect","/UserSelect.20240815_165144571.jpg","","","-999.99","17.53","-999.99","-999.99","66be3220111b2e001a298fae"
"2024-08-15T16:59:34.193Z","44.3596840","-124.9645430","VEHICLE","","guest","","Jason off deck","","","","","","0.62","-2.79","0.0","0.5","150.34","0.91","0.58","SciCam","/SciCam.20240815_165934193.jpg","PilotCam","/PilotCam.20240815_165934193.jpg","BrowCam","/BrowCam.20240815_165934193.jpg","UserSelect","/UserSelect.20240815_165934193.jpg","","","-999.99","18.10","-999.99","-999.99","66be33f6111b2e001a298fb2"
"2024-08-15T17:01:00.054Z","44.3597046","-124.9645765","VEHICLE","","guest","","Jason in water","","","","","","-2.05","-0.51","-1.4","-1.0","247.16","0.94","0.58","SciCam","/SciCam.20240815_170100054.jpg","PilotCam","/PilotCam.20240815_170100054.jpg","BrowCam","/BrowCam.20240815_170100054.jpg","UserSelect","/UserSelect.20240815_170100054.jpg","","","-999.99","17.98","-999.99","-999.99","66be344c111b2e001a298fb6"
"2024-08-15T17:03:32.941Z","44.3597019","-124.9646151","Biology Type","","guest","","","Jelly","","","","","-5.13","-0.81","-0.8","-5.0","248.77","5.25","0.58","SciCam","/SciCam.20240815_170332941.jpg","PilotCam","/PilotCam.20240815_170332941.jpg","BrowCam","/BrowCam.20240815_170332941.jpg","UserSelect","/UserSelect.20240815_170332941.jpg","","","-999.99","15.34","-999.99","-999.99","66be34e4111b2e001a298fba"
"2024-08-15T17:04:43.502Z","44.3597054","-124.9646294","ROV Actions","float","guest","","","","First Football on","","","","-6.27","-0.42","0.9","-4.6","251.04","9.95","0.58","SciCam","/SciCam.20240815_170443502.jpg","PilotCam","/PilotCam.20240815_170443502.jpg","BrowCam","/BrowCam.20240815_170443502.jpg","UserSelect","/UserSelect.20240815_170443502.jpg","","","-999.99","14.29","-999.99","-999.99","66be352b111b2e001a298fbe"
"2024-08-15T17:05:00.779Z","44.3596989","-124.9646371","Biology Type","","guest","","","Jelly","","","","","-6.88","-1.14","-0.2","-4.6","241.32","10.07","0.58","SciCam","/SciCam.20240815_170500779.jpg","PilotCam","/PilotCam.20240815_170500779.jpg","BrowCam","/BrowCam.20240815_170500779.jpg","UserSelect","/UserSelect.20240815_170500779.jpg","","","-999.99","14.02","-999.99","-999.99","66be353c111b2e001a298fc2"
"2024-08-15T17:06:00.955Z","44.3596956","-124.9646440","Biology Type","","guest","","","Jelly","","","","","-7.43","-1.50","0.1","-4.5","235.43","19.70","0.58","SciCam","/SciCam.20240815_170600955.jpg","PilotCam","/PilotCam.20240815_170600955.jpg","BrowCam","/BrowCam.20240815_170600955.jpg","UserSelect","/UserSelect.20240815_170600955.jpg","","","-999.99","12.27","-999.99","-999.99","66be3578111b2e001a298fc6"
"2024-08-15T17:07:04.618Z","44.3596983","-124.9646560","Biology Type","","guest","","","Jelly","","","","","-8.39","-1.20","-0.8","-4.6","237.06","29.45","0.58","SciCam","/SciCam.20240815_170704618.jpg","PilotCam","/PilotCam.20240815_170704618.jpg","BrowCam","/BrowCam.20240815_170704618.jpg","UserSelect","/UserSelect.20240815_170704618.jpg","","","-999.99","9.51","-999.99","-999.99","66be35b8111b2e001a298fca"
"2024-08-15T17:08:54.963Z","44.3596764","-124.9646724","ROV Actions","float on","guest","","","","Last Football on","","","","-9.70","-3.64","-0.4","-4.5","233.70","27.63","0.58","SciCam","/SciCam.20240815_170854963.jpg","PilotCam","/PilotCam.20240815_170854963.jpg","BrowCam","/BrowCam.20240815_170854963.jpg","UserSelect","/UserSelect.20240815_170854963.jpg","","","-999.99","9.13","-999.99","-999.99","66be3626111b2e001a298fce"
"2024-08-15T17:13:31.796Z","44.3596667","-124.9646954","ROV Actions","beacon on","guest","","","","Transponder on","","","","-11.53","-4.72","-0.3","-6.2","237.09","125.87","0.58","SciCam","/SciCam.20240815_171331796.jpg","PilotCam","/PilotCam.20240815_171331796.jpg","BrowCam","/BrowCam.20240815_171331796.jpg","UserSelect","/UserSelect.20240815_171331796.jpg","","","-999.99","7.75","-999.99","-999.99","66be373b111b2e001a298fd2"
"2024-08-15T17:16:38.593Z","44.3596417","-124.9647364","FREE_FORM","testing winch","guest","","","","","","","","-14.80","-7.50","-1.1","-6.4","234.50","145.09","0.58","SciCam","/SciCam.20240815_171638593.jpg","PilotCam","/PilotCam.20240815_171638593.jpg","BrowCam","/BrowCam.20240815_171638593.jpg","UserSelect","/UserSelect.20240815_171638593.jpg","","","-999.99","7.54","-999.99","-999.99","66be37f6111b2e001a298fd6"
"2024-08-15T17:24:10.018Z","44.3595606","-124.9647694","Biology Type","","guest","","","Fish","","","","","-17.43","-16.51","-0.9","-3.1","191.58","328.08","0.58","SciCam","/SciCam.20240815_172410018.jpg","PilotCam","/PilotCam.20240815_172410018.jpg","BrowCam","/BrowCam.20240815_172410018.jpg","UserSelect","/UserSelect.20240815_172410018.jpg","","","-999.99","6.51","-999.99","-999.99","66be39ba111b2e001a298fda"
"2024-08-15T17:25:15.956Z","44.3595492","-124.9647747","Biology Type","","guest","","","Fish","","","","","-17.85","-17.77","-0.7","-2.2","198.89","361.64","0.58","SciCam","/SciCam.20240815_172515956.jpg","PilotCam","/PilotCam.20240815_172515956.jpg","BrowCam","/BrowCam.20240815_172515956.jpg","UserSelect","/UserSelect.20240815_172515956.jpg","","","-999.99","6.47","-999.99","-999.99","66be39fb111b2e001a298fde"
"2024-08-15T17:28:22.075Z","44.3595185","-124.9647974","FREE_FORM","all stopped 100m from bottom","guest","","","","","","","","-19.66","-21.18","-0.5","-3.6","221.93","442.87","0.58","SciCam","/SciCam.20240815_172822075.jpg","PilotCam","/PilotCam.20240815_172822075.jpg","BrowCam","/BrowCam.20240815_172822075.jpg","UserSelect","/UserSelect.20240815_172822075.jpg","","","-999.99","6.28","-999.99","-999.99","66be3ab6111b2e001a298fe2"
"2024-08-15T17:29:31.956Z","44.3595093","-124.9647820","ASNAP","","admin","","","","","","","","-18.43","-22.21","-0.6","-4.1","175.88","468.52","0.58","SciCam","/SciCam.20240815_172931956.jpg","PilotCam","/PilotCam.20240815_172931956.jpg","BrowCam","/BrowCam.20240815_172931956.jpg","UserSelect","/UserSelect.20240815_172931956.jpg","","","-999.99","6.05","-999.99","-999.99","66be3afb111b2e001a298fe6"
"2024-08-15T17:29:46.988Z","44.3595081","-124.9647796","ASNAP","","admin","","","","","","","","-18.24","-22.34","-0.6","-4.6","173.33","475.17","0.58","SciCam","/SciCam.20240815_172946988.jpg","PilotCam","/PilotCam.20240815_172946988.jpg","BrowCam","/BrowCam.20240815_172946988.jpg","UserSelect","/UserSelect.20240815_172946988.jpg","","","-999.99","6.11","-999.99","-999.99","66be3b0a111b2e001a298fea"
"2024-08-15T17:30:02.019Z","44.3595082","-124.9647792","ASNAP","","admin","","","","","","","","-18.21","-22.33","-0.8","-4.9","172.89","482.13","0.58","SciCam","/SciCam.20240815_173002019.jpg","PilotCam","/PilotCam.20240815_173002019.jpg","BrowCam","/BrowCam.20240815_173002019.jpg","UserSelect","/UserSelect.20240815_173002019.jpg","","","-999.99","6.03","-999.99","-999.99","66be3b1a111b2e001a298fee"
"2024-08-15T17:30:17.050Z","44.3595095","-124.9647830","ASNAP","","admin","","","","","","","","-18.51","-22.19","-0.6","-5.7","183.61","488.32","0.58","SciCam","/SciCam.20240815_173017050.jpg","PilotCam","/PilotCam.20240815_173017050.jpg","BrowCam","/BrowCam.20240815_173017050.jpg","UserSelect","/UserSelect.20240815_173017050.jpg","","","-999.99","6.13","-999.99","-999.99","66be3b29111b2e001a298ff2"
"2024-08-15T17:30:32.070Z","44.3595047","-124.9647808","ASNAP","","admin","","","","","","","","-18.34","-22.72","-1.2","-4.8","180.88","493.09","0.58","SciCam","/SciCam.20240815_173032070.jpg","PilotCam","/PilotCam.20240815_173032070.jpg","BrowCam","/BrowCam.20240815_173032070.jpg","UserSelect","/UserSelect.20240815_173032070.jpg","","","-999.99","5.96","-999.99","-999.99","66be3b38111b2e001a298ff6"
"2024-08-15T17:30:47.095Z","44.3595036","-124.9647804","ASNAP","","admin","","","","","","","","-18.31","-22.84","-0.4","-3.8","180.40","498.32","0.58","SciCam","/SciCam.20240815_173047095.jpg","PilotCam","/PilotCam.20240815_173047095.jpg","BrowCam","/BrowCam.20240815_173047095.jpg","UserSelect","/UserSelect.20240815_173047095.jpg","","","-999.99","6.07","-999.99","-999.99","66be3b47111b2e001a298ffa"
"2024-08-15T17:31:02.120Z","44.3595041","-124.9647806","ASNAP","","admin","","","","","","","","-18.32","-22.79","-0.7","-4.4","179.93","507.09","0.58","SciCam","/SciCam.20240815_173102120.jpg","PilotCam","/PilotCam.20240815_173102120.jpg","BrowCam","/BrowCam.20240815_173102120.jpg","UserSelect","/UserSelect.20240815_173102120.jpg","","","-999.99","5.97","-999.99","-999.99","66be3b56111b2e001a298ffe"
