Date/Time (UTC),vehicleRealtimeNavData.latitude (ddeg),vehicleRealtimeNavData.longitude (ddeg),event_value,event_free_text,event_author,event_option.milestone,event_option.actions,event_option.type,event_option.filename,event_option.cabled_plug,event_option.dummy_plug,event_option.event_comment,vehicleRealtimeNavData.local_x (meters),vehicleRealtimeNavData.local_y (meters),vehicleRealtimeNavData.roll (deg),vehicleRealtimeNavData.pitch (deg),vehicleRealtimeNavData.heading (deg),vehicleRealtimeNavData.depth (meters),vehicleRealtimeNavData.altitude (meters),vehicleRealtimeFramegrabberData.camera_name_1,vehicleRealtimeFramegrabberData.filename_1,vehicleRealtimeFramegrabberData.camera_name_2,vehicleRealtimeFramegrabberData.filename_2,vehicleRealtimeFramegrabberData.camera_name_3,vehicleRealtimeFramegrabberData.filename_3,vehicleRealtimeFramegrabberData.camera_name_4,vehicleRealtimeFramegrabberData.filename_4,vehicleReNavData.pitch (deg),vehicleReNavData.roll (deg),vehicleTemperatureProbe.probe1_temperature (degC),vehicleTemperatureProbe.probe2_temperature (degC),vehicleTemperatureProbe.probe3_temperature (degC),vehicleTemperatureProbe.probe4_temperature (degC),id
"2024-08-19T02:15:49.773Z","44.6337016","-124.3080669","VEHICLE","Jason hanging in the air after conclusion of J2-1622","guest","","","","","","","","0.95","2.58","-0.4","-0.9","14.74","0.88","0.58","SciCam","/SciCam.20240819_021549773.jpg","PilotCam","/PilotCam.20240819_021549773.jpg","BrowCam","/BrowCam.20240819_021549773.jpg","UserSelect","/UserSelect.20240819_021549773.jpg","","","-999.99","14.04","-999.99","-999.99","66c2aad5111b2e001a29efb5"
"2024-08-19T02:23:27.809Z","44.6337030","-124.3080886","VEHICLE","","guest","Jason off deck","","","","","","","-0.77","2.73","-1.4","1.2","325.61","0.86","0.58","SciCam","/SciCam.20240819_022327809.jpg","PilotCam","/PilotCam.20240819_022327809.jpg","BrowCam","/BrowCam.20240819_022327809.jpg","UserSelect","/UserSelect.20240819_022327809.jpg","","","-999.99","14.58","-999.99","-999.99","66c2ac9f111b2e001a29efb9"
"2024-08-19T02:25:17.545Z","44.6336838","-124.3080532","VEHICLE","","guest","Jason in water","","","","","","","2.04","0.60","-1.6","0.5","65.63","0.80","0.58","SciCam","/SciCam.20240819_022517545.jpg","PilotCam","/PilotCam.20240819_022517545.jpg","BrowCam","/BrowCam.20240819_022517545.jpg","UserSelect","/UserSelect.20240819_022517545.jpg","","","-999.99","14.52","-999.99","-999.99","66c2ad0d111b2e001a29efbd"
"2024-08-19T02:26:55.000Z","44.6336729","-124.3080532","ROV Actions","First","guest","","First Football on","","","","","","2.04","-0.61","1.1","0.9","89.89","25.52","0.58","","","","","","","","","","","-999.99","9.22","-999.99","-999.99","66c2adab111b2e001a29efc1"
"2024-08-19T02:31:04.251Z","44.6336738","-124.3080532","ROV Actions","Last","guest","","Last Football on","","","","","","2.04","-0.51","2.4","0.1","87.80","48.94","0.58","SciCam","/SciCam.20240819_023104251.jpg","PilotCam","/PilotCam.20240819_023104251.jpg","BrowCam","/BrowCam.20240819_023104251.jpg","UserSelect","/UserSelect.20240819_023104251.jpg","","","-999.99","7.90","-999.99","-999.99","66c2ae68111b2e001a29efc7"
"2024-08-19T02:42:26.855Z","44.6337067","-124.3080817","VEHICLE","Bottom in sight","guest","Other","","","","","","","-0.22","3.14","-1.1","-0.0","325.29","78.02","0.58","SciCam","/SciCam.20240819_024226855.jpg","PilotCam","/PilotCam.20240819_024226855.jpg","BrowCam","/BrowCam.20240819_024226855.jpg","UserSelect","/UserSelect.20240819_024226855.jpg","","","-999.99","7.45","-999.99","-999.99","66c2b112111b2e001a29efcb"
"2024-08-19T02:44:58.161Z","44.6337049","-124.3080855","VEHICLE","","guest","On bottom","","","","","","","-0.52","2.94","-2.0","2.2","315.76","80.29","0.58","SciCam","/SciCam.20240819_024458161.jpg","PilotCam","/PilotCam.20240819_024458161.jpg","BrowCam","/BrowCam.20240819_024458161.jpg","UserSelect","/UserSelect.20240819_024458161.jpg","","","-999.99","7.35","-999.99","-999.99","66c2b1aa111b2e001a29efd3"
"2024-08-19T02:45:13.084Z","44.6337049","-124.3080856","ASNAP","","admin","","","","","","","","-0.53","2.94","-1.2","2.1","315.62","80.26","0.58","SciCam","/SciCam.20240819_024513084.jpg","PilotCam","/PilotCam.20240819_024513084.jpg","BrowCam","/BrowCam.20240819_024513084.jpg","UserSelect","/UserSelect.20240819_024513084.jpg","","","-999.99","7.33","-999.99","-999.99","66c2b1b9111b2e001a29efd7"
"2024-08-19T02:45:43.138Z","44.6337048","-124.3080856","ASNAP","","admin","","","","","","","","-0.53","2.93","-0.9","2.1","315.56","80.16","0.58","SciCam","/SciCam.20240819_024543138.jpg","PilotCam","/PilotCam.20240819_024543138.jpg","BrowCam","/BrowCam.20240819_024543138.jpg","UserSelect","/UserSelect.20240819_024543138.jpg","","","-999.99","7.32","-999.99","-999.99","66c2b1d7111b2e001a29efdb"
"2024-08-19T02:45:58.160Z","44.6337047","-124.3080857","ASNAP","","admin","","","","","","","","-0.54","2.92","-0.1","2.2","315.41","80.17","0.58","SciCam","/SciCam.20240819_024558160.jpg","PilotCam","/PilotCam.20240819_024558160.jpg","BrowCam","/BrowCam.20240819_024558160.jpg","UserSelect","/UserSelect.20240819_024558160.jpg","","","-999.99","7.41","-999.99","-999.99","66c2b1e6111b2e001a29efdf"
