Date/Time (UTC),vehicleRealtimeNavData.latitude (ddeg),vehicleRealtimeNavData.longitude (ddeg),event_value,event_free_text,event_author,event_option.actions,event_option.new_watchstander,event_option.milestone,event_option.location,event_option.dive_#/summary,event_option.filename,event_option.dummy_plug,event_option.cabled_plug,event_option.type,event_option.sample_name,event_option.highlights,vehicleRealtimeNavData.local_x (meters),vehicleRealtimeNavData.local_y (meters),vehicleRealtimeNavData.roll (deg),vehicleRealtimeNavData.pitch (deg),vehicleRealtimeNavData.heading (deg),vehicleRealtimeNavData.depth (meters),vehicleRealtimeNavData.altitude (meters),vehicleRealtimeFramegrabberData.camera_name_1,vehicleRealtimeFramegrabberData.filename_1,vehicleRealtimeFramegrabberData.camera_name_2,vehicleRealtimeFramegrabberData.filename_2,vehicleRealtimeFramegrabberData.camera_name_3,vehicleRealtimeFramegrabberData.filename_3,vehicleRealtimeFramegrabberData.camera_name_4,vehicleRealtimeFramegrabberData.filename_4,vehicleReNavData.pitch (deg),vehicleReNavData.roll (deg),vehicleTemperatureProbe.probe1_temperature (degC),vehicleTemperatureProbe.probe2_temperature (degC),vehicleTemperatureProbe.probe3_temperature (degC),vehicleTemperatureProbe.probe4_temperature (degC),id
"2024-08-30T12:10:53.725Z","45.9166599","-130.0249745","ROV Actions","SPA for Dive 1648 for Axial Base","guest","Latching to","","","","","","","","","","","1.98","-0.75","-2.7","1.5","91.87","0.93","0.58","SciCam","/SciCam.20240830_121053725.jpg","PilotCam","/PilotCam.20240830_121053725.jpg","BrowCam","/BrowCam.20240830_121053725.jpg","UserSelect","/UserSelect.20240830_121053725.jpg","","","-999.99","16.11","-999.99","-999.99","66d1b6cdf9835f001a7ff5ef"
"2024-08-30T12:14:09.717Z","45.9166413","-130.0250070","WATCH_CHANGE","Hot Seat","guest","","James","","","","","","","","","","-0.54","-2.82","-0.6","0.1","183.08","0.92","0.58","SciCam","/SciCam.20240830_121409717.jpg","PilotCam","/PilotCam.20240830_121409717.jpg","BrowCam","/BrowCam.20240830_121409717.jpg","UserSelect","/UserSelect.20240830_121409717.jpg","","","-999.99","16.12","-999.99","-999.99","66d1b791f9835f001a7ff5f3"
"2024-08-30T12:15:31.396Z","45.9166610","-130.0250259","VEHICLE","","guest","","","Jason in water","","","","","","","","","-2.01","-0.63","-1.0","4.0","245.23","0.87","0.58","SciCam","/SciCam.20240830_121531396.jpg","PilotCam","/PilotCam.20240830_121531396.jpg","BrowCam","/BrowCam.20240830_121531396.jpg","UserSelect","/UserSelect.20240830_121531396.jpg","","","-999.99","16.21","-999.99","-999.99","66d1b7e3f9835f001a7ff5f7"
"2024-08-30T12:16:48.861Z","45.9166738","-130.0250249","ASNAP","","admin","","","","","","","","","","","","-1.93","0.79","-5.8","-4.5","272.13","4.66","0.58","SciCam","/SciCam.20240830_121648861.jpg","PilotCam","/PilotCam.20240830_121648861.jpg","BrowCam","/BrowCam.20240830_121648861.jpg","UserSelect","/UserSelect.20240830_121648861.jpg","","","-999.99","18.26","-999.99","-999.99","66d1b830f9835f001a7ff5fb"
"2024-08-30T12:17:03.886Z","45.9166737","-130.0250245","ASNAP","","admin","","","","","","","","","","","","-1.90","0.78","3.4","-5.9","273.55","4.34","0.58","SciCam","/SciCam.20240830_121703886.jpg","PilotCam","/PilotCam.20240830_121703886.jpg","BrowCam","/BrowCam.20240830_121703886.jpg","UserSelect","/UserSelect.20240830_121703886.jpg","","","-999.99","18.17","-999.99","-999.99","66d1b83ff9835f001a7ff5ff"
"2024-08-30T12:17:18.914Z","45.9166757","-130.0250249","ASNAP","","admin","","","","","","","","","","","","-1.93","1.00","-2.8","2.5","276.96","4.67","0.58","SciCam","/SciCam.20240830_121718914.jpg","PilotCam","/PilotCam.20240830_121718914.jpg","BrowCam","/BrowCam.20240830_121718914.jpg","UserSelect","/UserSelect.20240830_121718914.jpg","","","-999.99","18.16","-999.99","-999.99","66d1b84ef9835f001a7ff603"
"2024-08-30T12:17:33.946Z","45.9166737","-130.0250251","ASNAP","","admin","","","","","","","","","","","","-1.95","0.78","1.9","-0.4","273.95","4.53","0.58","SciCam","/SciCam.20240830_121733946.jpg","PilotCam","/PilotCam.20240830_121733946.jpg","BrowCam","/BrowCam.20240830_121733946.jpg","UserSelect","/UserSelect.20240830_121733946.jpg","","","-999.99","18.23","-999.99","-999.99","66d1b85df9835f001a7ff607"
"2024-08-30T12:17:48.975Z","45.9166740","-130.0250249","ASNAP","","admin","","","","","","","","","","","","-1.93","0.82","-2.9","-4.2","272.89","4.22","0.58","SciCam","/SciCam.20240830_121748975.jpg","PilotCam","/PilotCam.20240830_121748975.jpg","BrowCam","/BrowCam.20240830_121748975.jpg","UserSelect","/UserSelect.20240830_121748975.jpg","","","-999.99","18.16","-999.99","-999.99","66d1b86cf9835f001a7ff60b"
"2024-08-30T12:18:04.003Z","45.9166730","-130.0250250","ASNAP","","admin","","","","","","","","","","","","-1.94","0.70","3.4","-3.3","272.21","4.52","0.58","SciCam","/SciCam.20240830_121804003.jpg","PilotCam","/PilotCam.20240830_121804003.jpg","BrowCam","/BrowCam.20240830_121804003.jpg","UserSelect","/UserSelect.20240830_121804003.jpg","","","-999.99","18.22","-999.99","-999.99","66d1b87cf9835f001a7ff60f"
"2024-08-30T12:18:19.034Z","45.9166733","-130.0250250","ASNAP","","admin","","","","","","","","","","","","-1.94","0.74","2.7","-2.5","272.89","5.54","0.58","SciCam","/SciCam.20240830_121819034.jpg","PilotCam","/PilotCam.20240830_121819034.jpg","BrowCam","/BrowCam.20240830_121819034.jpg","UserSelect","/UserSelect.20240830_121819034.jpg","","","-999.99","18.22","-999.99","-999.99","66d1b88bf9835f001a7ff613"
