Date/Time (UTC),vehicleRealtimeNavData.latitude (ddeg),vehicleRealtimeNavData.longitude (ddeg),event_value,event_free_text,event_author,event_option.actions,event_option.milestone,event_option.filename,event_option.event_comment,event_option.type,event_option.cabled_plug,event_option.highlights,vehicleRealtimeNavData.local_x (meters),vehicleRealtimeNavData.local_y (meters),vehicleRealtimeNavData.roll (deg),vehicleRealtimeNavData.pitch (deg),vehicleRealtimeNavData.heading (deg),vehicleRealtimeNavData.depth (meters),vehicleRealtimeNavData.altitude (meters),vehicleRealtimeFramegrabberData.camera_name_1,vehicleRealtimeFramegrabberData.filename_1,vehicleRealtimeFramegrabberData.camera_name_2,vehicleRealtimeFramegrabberData.filename_2,vehicleRealtimeFramegrabberData.camera_name_3,vehicleRealtimeFramegrabberData.filename_3,vehicleRealtimeFramegrabberData.camera_name_4,vehicleRealtimeFramegrabberData.filename_4,vehicleReNavData.pitch (deg),vehicleReNavData.roll (deg),vehicleTemperatureProbe.probe1_temperature (degC),vehicleTemperatureProbe.probe2_temperature (degC),vehicleTemperatureProbe.probe3_temperature (degC),vehicleTemperatureProbe.probe4_temperature (degC),id
"2024-09-01T10:45:29.969Z","45.9166406","-130.0250022","ROV Actions","undervator","guest","Latching to","","","","","","","-0.17","-2.90","-0.5","-1.0","172.24","0.85","0.58","SciCam","/SciCam.20240901_104529969.jpg","PilotCam","/PilotCam.20240901_104529969.jpg","BrowCam","/BrowCam.20240901_104529969.jpg","UserSelect","/UserSelect.20240901_104529969.jpg","","","-999.99","16.17","-999.99","-999.99","66d445c9f9835f001a808180"
"2024-09-01T10:46:51.130Z","45.9166406","-130.0250028","Name","John R Teal Jr.","guest","","","","","","","","-0.22","-2.90","-0.3","-0.2","173.69","0.86","0.58","SciCam","/SciCam.20240901_104651130.jpg","PilotCam","/PilotCam.20240901_104651130.jpg","BrowCam","/BrowCam.20240901_104651130.jpg","UserSelect","/UserSelect.20240901_104651130.jpg","","","-999.99","16.16","-999.99","-999.99","66d4461bf9835f001a808184"
"2024-09-01T10:47:20.218Z","45.9166403","-130.0250022","VEHICLE","","guest","","Jason off deck","","","","","","-0.17","-2.93","-0.2","2.4","172.51","0.83","0.58","SciCam","/SciCam.20240901_104720218.jpg","PilotCam","/PilotCam.20240901_104720218.jpg","BrowCam","/BrowCam.20240901_104720218.jpg","UserSelect","/UserSelect.20240901_104720218.jpg","","","-999.99","16.17","-999.99","-999.99","66d44638f9835f001a80818c"
"2024-09-01T10:49:19.925Z","45.9166619","-130.0250259","VEHICLE","","guest","","Jason in water","","","","","","-2.01","-0.53","-0.0","0.4","247.09","0.87","0.58","SciCam","/SciCam.20240901_104919925.jpg","PilotCam","/PilotCam.20240901_104919925.jpg","BrowCam","/BrowCam.20240901_104919925.jpg","UserSelect","/UserSelect.20240901_104919925.jpg","","","-999.99","16.19","-999.99","-999.99","66d446aff9835f001a808190"
"2024-09-01T10:52:10.249Z","45.9166712","-130.0249948","ROV Actions"," ","guest","First Football on","","","","","","","0.40","0.50","-0.8","-3.0","268.57","25.78","2.26","SciCam","/SciCam.20240901_105210249.jpg","PilotCam","/PilotCam.20240901_105210249.jpg","BrowCam","/BrowCam.20240901_105210249.jpg","UserSelect","/UserSelect.20240901_105210249.jpg","","","-999.99","18.13","-999.99","-999.99","66d4475af9835f001a808194"
"2024-09-01T10:57:38.642Z","45.9166704","-130.0249955","ROV Actions","26 floats","guest","Last Football on","","","","","","","0.35","0.41","-1.1","-3.4","268.37","55.03","0.58","SciCam","/SciCam.20240901_105738642.jpg","PilotCam","/PilotCam.20240901_105738642.jpg","BrowCam","/BrowCam.20240901_105738642.jpg","UserSelect","/UserSelect.20240901_105738642.jpg","","","-999.99","11.82","-999.99","-999.99","66d448a2f9835f001a808198"
"2024-09-01T11:04:20.819Z","45.9166722","-130.0249835","ROV Actions","beacon on","guest","Transponder on","","","","","","","1.28","0.61","-0.7","-2.3","268.76","143.24","0.58","SciCam","/SciCam.20240901_110420819.jpg","PilotCam","/PilotCam.20240901_110420819.jpg","BrowCam","/BrowCam.20240901_110420819.jpg","UserSelect","/UserSelect.20240901_110420819.jpg","","","-999.99","7.90","-999.99","-999.99","66d44a34f9835f001a8081a0"
"2024-09-01T11:16:03.147Z","45.9166743","-130.0249785","ASNAP","","admin","","","","","","","","1.67","0.85","-1.3","-2.2","269.07","436.01","0.58","SciCam","/SciCam.20240901_111603147.jpg","PilotCam","/PilotCam.20240901_111603147.jpg","BrowCam","/BrowCam.20240901_111603147.jpg","UserSelect","/UserSelect.20240901_111603147.jpg","","","-999.99","5.31","-999.99","-999.99","66d44cf3f9835f001a8081a4"
"2024-09-01T11:16:18.180Z","45.9166742","-130.0249785","ASNAP","","admin","","","","","","","","1.67","0.84","-1.1","-1.3","269.00","443.06","0.58","SciCam","/SciCam.20240901_111618180.jpg","PilotCam","/PilotCam.20240901_111618180.jpg","BrowCam","/BrowCam.20240901_111618180.jpg","UserSelect","/UserSelect.20240901_111618180.jpg","","","-999.99","5.21","-999.99","-999.99","66d44d02f9835f001a8081a8"
"2024-09-01T11:16:33.195Z","45.9166744","-130.0249785","ASNAP","","admin","","","","","","","","1.67","0.86","-0.5","-1.2","269.39","450.71","0.58","SciCam","/SciCam.20240901_111633195.jpg","PilotCam","/PilotCam.20240901_111633195.jpg","BrowCam","/BrowCam.20240901_111633195.jpg","UserSelect","/UserSelect.20240901_111633195.jpg","","","-999.99","5.11","-999.99","-999.99","66d44d11f9835f001a8081ac"
