Date/Time (UTC),vehicleRealtimeNavData.latitude (ddeg),vehicleRealtimeNavData.longitude (ddeg),event_value,event_free_text,event_author,event_option.milestone,event_option.actions,event_option.type,event_option.filename,event_option.cabled_plug,event_option.highlights,vehicleRealtimeNavData.local_x (meters),vehicleRealtimeNavData.local_y (meters),vehicleRealtimeNavData.roll (deg),vehicleRealtimeNavData.pitch (deg),vehicleRealtimeNavData.heading (deg),vehicleRealtimeNavData.depth (meters),vehicleRealtimeNavData.altitude (meters),vehicleRealtimeFramegrabberData.camera_name_1,vehicleRealtimeFramegrabberData.filename_1,vehicleRealtimeFramegrabberData.camera_name_2,vehicleRealtimeFramegrabberData.filename_2,vehicleRealtimeFramegrabberData.camera_name_3,vehicleRealtimeFramegrabberData.filename_3,vehicleRealtimeFramegrabberData.camera_name_4,vehicleRealtimeFramegrabberData.filename_4,vehicleReNavData.pitch (deg),vehicleReNavData.roll (deg),vehicleTemperatureProbe.probe1_temperature (degC),vehicleTemperatureProbe.probe2_temperature (degC),vehicleTemperatureProbe.probe3_temperature (degC),vehicleTemperatureProbe.probe4_temperature (degC),id
"2024-09-02T08:24:38.649Z","45.9166573","-130.0250244","VEHICLE","","guest","Jason in water","","","","","","-1.89","-1.04","-0.4","-1.5","236.41","0.84","0.58","SciCam","/SciCam.20240902_082438649.jpg","PilotCam","/PilotCam.20240902_082438649.jpg","BrowCam","/BrowCam.20240902_082438649.jpg","UserSelect","/UserSelect.20240902_082438649.jpg","","","-999.99","15.94","-999.99","-999.99","66d57646f9835f001a80d7c1"
"2024-09-02T08:24:51.539Z","45.9166583","-130.0250237","ASNAP","","admin","","","","","","","-1.84","-0.93","5.0","-9.1","238.09","2.41","0.58","SciCam","/SciCam.20240902_082451539.jpg","PilotCam","/PilotCam.20240902_082451539.jpg","BrowCam","/BrowCam.20240902_082451539.jpg","UserSelect","/UserSelect.20240902_082451539.jpg","","","-999.99","16.46","-999.99","-999.99","66d57653f9835f001a80d7c5"
"2024-09-02T08:25:06.568Z","45.9166629","-130.0250250","ASNAP","","admin","","","","","","","-1.94","-0.42","0.6","-7.6","249.81","2.51","0.58","SciCam","/SciCam.20240902_082506568.jpg","PilotCam","/PilotCam.20240902_082506568.jpg","BrowCam","/BrowCam.20240902_082506568.jpg","UserSelect","/UserSelect.20240902_082506568.jpg","","","-999.99","17.43","-999.99","-999.99","66d57662f9835f001a80d7c9"
"2024-09-02T08:25:21.600Z","45.9166612","-130.0250253","ASNAP","","admin","","","","","","","-1.96","-0.61","1.8","-2.4","245.35","2.92","0.58","SciCam","/SciCam.20240902_082521600.jpg","PilotCam","/PilotCam.20240902_082521600.jpg","BrowCam","/BrowCam.20240902_082521600.jpg","UserSelect","/UserSelect.20240902_082521600.jpg","","","-999.99","17.89","-999.99","-999.99","66d57671f9835f001a80d7cd"
"2024-09-02T08:25:36.631Z","45.9166610","-130.0250249","ASNAP","","admin","","","","","","","-1.93","-0.63","-0.3","-5.8","244.67","6.29","0.58","SciCam","/SciCam.20240902_082536631.jpg","PilotCam","/PilotCam.20240902_082536631.jpg","BrowCam","/BrowCam.20240902_082536631.jpg","UserSelect","/UserSelect.20240902_082536631.jpg","","","-999.99","18.09","-999.99","-999.99","66d57680f9835f001a80d7d1"
"2024-09-02T08:25:51.659Z","45.9166627","-130.0250253","ASNAP","","admin","","","","","","","-1.96","-0.44","2.5","-4.3","248.90","5.71","0.58","SciCam","/SciCam.20240902_082551659.jpg","PilotCam","/PilotCam.20240902_082551659.jpg","BrowCam","/BrowCam.20240902_082551659.jpg","UserSelect","/UserSelect.20240902_082551659.jpg","","","-999.99","18.10","-999.99","-999.99","66d5768ff9835f001a80d7d5"
"2024-09-02T08:26:06.688Z","45.9166635","-130.0250257","ASNAP","","admin","","","","","","","-1.99","-0.35","-1.1","-3.9","249.98","5.73","0.58","SciCam","/SciCam.20240902_082606688.jpg","PilotCam","/PilotCam.20240902_082606688.jpg","BrowCam","/BrowCam.20240902_082606688.jpg","UserSelect","/UserSelect.20240902_082606688.jpg","","","-999.99","18.24","-999.99","-999.99","66d5769ef9835f001a80d7d9"
"2024-09-02T08:26:21.718Z","45.9166633","-130.0250258","ASNAP","","admin","","","","","","","-2.00","-0.37","-2.9","-3.0","249.67","5.82","0.58","SciCam","/SciCam.20240902_082621718.jpg","PilotCam","/PilotCam.20240902_082621718.jpg","BrowCam","/BrowCam.20240902_082621718.jpg","UserSelect","/UserSelect.20240902_082621718.jpg","","","-999.99","18.31","-999.99","-999.99","66d576adf9835f001a80d7dd"
"2024-09-02T08:26:36.748Z","45.9166626","-130.0250254","ASNAP","","admin","","","","","","","-1.97","-0.45","0.3","-4.8","248.37","5.78","0.58","SciCam","/SciCam.20240902_082636748.jpg","PilotCam","/PilotCam.20240902_082636748.jpg","BrowCam","/BrowCam.20240902_082636748.jpg","UserSelect","/UserSelect.20240902_082636748.jpg","","","-999.99","18.09","-999.99","-999.99","66d576bcf9835f001a80d7e1"
"2024-09-02T08:26:51.778Z","45.9166633","-130.0250254","ASNAP","","admin","","","","","","","-1.97","-0.37","3.4","-4.8","250.53","5.62","0.58","SciCam","/SciCam.20240902_082651778.jpg","PilotCam","/PilotCam.20240902_082651778.jpg","BrowCam","/BrowCam.20240902_082651778.jpg","UserSelect","/UserSelect.20240902_082651778.jpg","","","-999.99","18.14","-999.99","-999.99","66d576cbf9835f001a80d7e5"
"2024-09-02T08:27:06.803Z","45.9166631","-130.0250255","ASNAP","","admin","","","","","","","-1.98","-0.40","-1.0","-4.1","248.79","5.83","0.58","SciCam","/SciCam.20240902_082706803.jpg","PilotCam","/PilotCam.20240902_082706803.jpg","BrowCam","/BrowCam.20240902_082706803.jpg","UserSelect","/UserSelect.20240902_082706803.jpg","","","-999.99","17.99","-999.99","-999.99","66d576daf9835f001a80d7e9"
"2024-09-02T08:27:11.395Z","45.9166634","-130.0250254","ROV Actions"," ","guest","","First Football on","","","","","-1.97","-0.36","-1.5","-5.2","249.74","5.79","0.58","SciCam","/SciCam.20240902_082711395.jpg","PilotCam","/PilotCam.20240902_082711395.jpg","BrowCam","/BrowCam.20240902_082711395.jpg","UserSelect","/UserSelect.20240902_082711395.jpg","","","-999.99","18.12","-999.99","-999.99","66d576dff9835f001a80d7f1"
"2024-09-02T08:27:21.836Z","45.9166630","-130.0250254","ASNAP","","admin","","","","","","","-1.97","-0.41","3.9","-3.5","250.09","6.48","0.58","SciCam","/SciCam.20240902_082721836.jpg","PilotCam","/PilotCam.20240902_082721836.jpg","BrowCam","/BrowCam.20240902_082721836.jpg","UserSelect","/UserSelect.20240902_082721836.jpg","","","-999.99","18.22","-999.99","-999.99","66d576e9f9835f001a80d7f5"
"2024-09-02T08:27:36.864Z","45.9166632","-130.0250251","ASNAP","","admin","","","","","","","-1.95","-0.39","0.4","-6.7","249.21","10.56","0.58","SciCam","/SciCam.20240902_082736864.jpg","PilotCam","/PilotCam.20240902_082736864.jpg","BrowCam","/BrowCam.20240902_082736864.jpg","UserSelect","/UserSelect.20240902_082736864.jpg","","","-999.99","18.19","-999.99","-999.99","66d576f8f9835f001a80d7f9"
"2024-09-02T08:27:51.893Z","45.9166627","-130.0250257","ASNAP","","admin","","","","","","","-1.99","-0.44","-1.1","-2.8","248.28","11.07","0.58","SciCam","/SciCam.20240902_082751893.jpg","PilotCam","/PilotCam.20240902_082751893.jpg","BrowCam","/BrowCam.20240902_082751893.jpg","UserSelect","/UserSelect.20240902_082751893.jpg","","","-999.99","18.16","-999.99","-999.99","66d57707f9835f001a80d7fd"
"2024-09-02T08:28:06.920Z","45.9166632","-130.0250257","ASNAP","","admin","","","","","","","-1.99","-0.39","0.0","-3.1","249.67","11.28","0.58","SciCam","/SciCam.20240902_082806920.jpg","PilotCam","/PilotCam.20240902_082806920.jpg","BrowCam","/BrowCam.20240902_082806920.jpg","UserSelect","/UserSelect.20240902_082806920.jpg","","","-999.99","18.16","-999.99","-999.99","66d57716f9835f001a80d801"
"2024-09-02T08:28:21.944Z","45.9166650","-130.0250255","ASNAP","","admin","","","","","","","-1.98","-0.18","-1.1","-5.5","253.56","11.12","0.58","SciCam","/SciCam.20240902_082821944.jpg","PilotCam","/PilotCam.20240902_082821944.jpg","BrowCam","/BrowCam.20240902_082821944.jpg","UserSelect","/UserSelect.20240902_082821944.jpg","","","-999.99","18.33","-999.99","-999.99","66d57725f9835f001a80d805"
"2024-09-02T08:28:36.973Z","45.9166636","-130.0250258","ASNAP","","admin","","","","","","","-2.00","-0.34","-1.1","-2.2","250.40","12.38","0.58","SciCam","/SciCam.20240902_082836973.jpg","PilotCam","/PilotCam.20240902_082836973.jpg","BrowCam","/BrowCam.20240902_082836973.jpg","UserSelect","/UserSelect.20240902_082836973.jpg","","","-999.99","18.26","-999.99","-999.99","66d57734f9835f001a80d809"
