Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,1,*0000000000000100,2021-08-03T01:39:41.000Z,221.888,*0000000001000000,219.951,45.83332,-129.75736,6.7931,*0000000000000100,6.7941,*0000000000000100,3.412882,*0000000000000100,3.412739,*0000000000000100,33.8233,33.8207,8.0439,*0000000010000100,6.83597,44.9966,*0000000000000100,-0.2572,106.6422,*0000000000000100,7.771,*0000000000000100,3.398674312296323,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000010,*0000000000000100,-9999999,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,3,*0000000000000100,2021-08-03T01:44:05.000Z,201.735,*0000000001000000,199.985,45.83332,-129.75734,6.9849,*0000000000000100,6.9899,*0000000000000100,3.423082,*0000000000000100,3.423231,*0000000000000100,33.7568,33.7535,8.2387,*0000000000000100,6.80887,44.9492,*0000000000000100,-0.2598,106.7084,*0000000000000100,7.795,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,5,*0000000000000100,2021-08-03T01:46:23.000Z,181.803,*0000000001000000,180.234,45.83332,-129.75736,7.0090,*0000000000000100,7.0129,*0000000000000100,3.414567,*0000000000000100,3.414623,*0000000000000100,33.6496,33.6464,8.4137,*0000000010000100,6.80990,44.9502,*0000000000000100,-0.2613,106.7499,*0000000000000100,7.810,*0000000000000100,3.8027113624958186,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000010,*0000000000000100,-9999999,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,6,*0000000000000100,2021-08-03T01:46:41.000Z,181.786,*0000000001000000,180.217,45.83332,-129.75736,7.0103,*0000000000000100,7.0136,*0000000000000100,3.414789,*0000000000000100,3.414783,*0000000000000100,33.6507,33.6474,8.4115,*0000000010000100,6.80964,44.9580,*0000000000000100,-0.2615,106.7557,*0000000000000100,7.810,*0000000000000100,3.7502897374138464,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,7,*0000000000000100,2021-08-03T01:48:22.000Z,161.370,*0000000001000000,159.985,45.83332,-129.75735,7.2034,*0000000000000100,7.2049,*0000000000000100,3.415261,*0000000000000100,3.415200,*0000000000000100,33.4780,33.4759,8.5956,*0000000000000100,6.78727,44.9878,*0000000000000100,-0.2633,106.8033,*0000000000000100,7.829,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,9,*0000000000000100,2021-08-03T01:50:23.000Z,141.023,*0000000001000000,139.820,45.83332,-129.75736,7.7823,*0000000000000100,7.7760,*0000000000000100,3.432408,*0000000000000100,3.431972,*0000000000000100,33.1180,33.1193,8.8925,*0000000010000100,6.71420,45.1062,*0000000000000100,-0.2643,106.8304,*0000000000000100,7.873,*0000000000000100,4.766282970726635,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000010,*0000000000000100,-9999999,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,11,*0000000000000100,2021-08-03T01:52:08.000Z,121.125,*0000000001000000,120.097,45.83334,-129.75738,8.1338,*0000000000000100,8.1380,*0000000000000100,3.426592,*0000000000000100,3.426857,*0000000000000100,32.7345,32.7334,9.3858,*0000000000000100,6.67775,45.4957,*0000000000000100,-0.2653,106.8572,*0000000000000100,7.934,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,13,*0000000000000100,2021-08-03T01:53:50.000Z,100.837,*0000000001000000,99.987,45.83334,-129.75738,8.4223,*0000000000000100,8.4230,*0000000000000100,3.424790,*0000000000000100,3.424678,*0000000000000100,32.4574,32.4556,9.8053,*0000000010000100,6.64653,46.4340,*0000000000000100,-0.2654,106.8589,*0000000000000100,7.989,*0000000000000100,5.270679244531553,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000010,*0000000000000100,-9999999,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,13,*0000000000000100,2021-08-03T01:53:50.000Z,100.837,*0000000001000000,99.987,45.83334,-129.75738,8.4223,*0000000000000100,8.4230,*0000000000000100,3.424790,*0000000000000100,3.424678,*0000000000000100,32.4574,32.4556,9.8053,*0000000010000100,6.64653,46.4340,*0000000000000100,-0.2654,106.8589,*0000000000000100,7.989,*0000000000000100,5.80764384132656,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,15,*0000000000000100,2021-08-03T01:55:20.000Z,80.426,*0000000001000000,79.752,45.83331,-129.75736,8.9996,*0000000000000100,9.0017,*0000000000000100,3.464473,*0000000000000100,3.464462,*0000000000000100,32.3529,32.3509,9.9859,*0000000000000100,6.56586,47.9739,*0000000000000100,-0.2653,106.8572,*0000000000000100,8.032,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
