Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
TN407,Axial Base Shallow Profiler,"RS03AXPS,RS03AXPD",45.8265,-129.74733333333333,2022-08-12T19:38:50.000Z,CTD-001,*0000000000000100,2623,TN407_CTD-001,*0000000000000100,1,*0000000000000100,2022-08-12T19:50:28.000Z,222.525,*0000000001000100,220.583,45.82648,-129.74728,6.7157,*0000000000000100,6.7220,*0000000000000100,3.409098,*0000000010000100,3.409496,*0000000010000100,33.8575,33.8557,3.0236,*0000000010000100,6.84663,1.7831,*0000000000000100,0.0413,98.9729,*0000000001000100,7.648,*0000000011000100,2.983167217339261,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,2.107269838666667,36.41038290842631,30.252259899827667,0.017247140825396832,0.002902857142857158,*0000000000000100,*0000000000000100,33.86505202107487,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2215.7,*0000000000000100,*0000000000000100,764.76,21.8,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2278.57,-9999999,-9999999,7.772,37.76,2111.9,66.03,1.47,0.952
TN407,Axial Base Shallow Profiler,"RS03AXPS,RS03AXPD",45.8265,-129.74733333333333,2022-08-12T19:38:50.000Z,CTD-001,*0000000000000100,2623,TN407_CTD-001,*0000000000000100,1,*0000000000000100,2022-08-12T19:50:28.000Z,222.525,*0000000001000100,220.583,45.82648,-129.74728,6.7157,*0000000000000100,6.7220,*0000000000000100,3.409098,*0000000000000100,3.409496,*0000000000000100,33.8575,33.8557,3.0236,*0000000010000100,6.84663,1.7831,*0000000000000100,0.0413,98.9729,*0000000001000100,7.648,*0000000001000100,2.9481696238366215,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,2.004314230095238,33.3699947729161,28.634016061052154,0.028902443682539677,0.0028185714285714424,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN407,Axial Base Shallow Profiler,"RS03AXPS,RS03AXPD",45.8265,-129.74733333333333,2022-08-12T19:38:50.000Z,CTD-001,*0000000000000100,2623,TN407_CTD-001,*0000000000000100,3,*0000000000000100,2022-08-12T19:53:20.000Z,201.860,*0000000001000100,200.108,45.82648,-129.74728,6.9436,*0000000000000100,6.9447,*0000000000000100,3.424599,*0000000000000100,3.424500,*0000000000000100,33.8138,33.8117,3.4188,*0000000000000100,6.81277,1.8033,*0000000010000100,0.0405,98.9924,*0000000001000100,7.667,*0000000011000100,-9999999,-9999999,-9999999,0.014060881758348194,0.028056604064218366,1.3287671232876712,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2218.47,*0000000000000100,*0000000000000100,700.78,21.8,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2294.56,-9999999,-9999999,7.811,34.35,2111.39,72.74,1.627,1.053
TN407,Axial Base Shallow Profiler,"RS03AXPS,RS03AXPD",45.8265,-129.74733333333333,2022-08-12T19:38:50.000Z,CTD-001,*0000000000000100,2623,TN407_CTD-001,*0000000000000100,5,*0000000000000100,2022-08-12T19:55:58.000Z,181.143,*0000000001000100,179.580,45.82648,-129.74728,7.1517,*0000000000000100,7.1586,*0000000000000100,3.438687,*0000000000000100,3.438937,*0000000000000100,33.7741,33.7702,3.5935,*0000000010000100,6.78210,1.7869,*0000000000000100,0.0394,99.0189,*0000000001000100,7.688,*0000000011000100,3.5160522008304698,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,1.9297793622857142,30.453710761959186,27.272306355183673,0.016246475999999985,0.002659285714285727,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2198.91,*0000000000000100,*0000000000000100,684.34,21.8,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2277.83,-9999999,-9999999,7.819,33.31,2091.79,73.81,1.658,1.073
TN407,Axial Base Shallow Profiler,"RS03AXPS,RS03AXPD",45.8265,-129.74733333333333,2022-08-12T19:38:50.000Z,CTD-001,*0000000000000100,2623,TN407_CTD-001,*0000000000000100,7,*0000000000000100,2022-08-12T19:59:10.000Z,161.589,*0000000001000100,160.202,45.82648,-129.74728,7.3872,*0000000000000100,7.3919,*0000000000000100,3.451605,*0000000010000100,3.451645,*0000000010000100,33.6946,33.6905,3.7886,*0000000000000100,6.74925,1.7998,*0000000010000100,0.0380,99.0549,*0000000001000100,7.712,*0000000011000100,-9999999,-9999999,-9999999,0.011131531392025659,0.026370339545876073,1.2923076923076924,*0000000000000100,*0000000000000100,1.8339716666666666,27.036748355555556,25.63490508888889,0.02797411111111112,0.0025000000000000113,*0000000000000100,*0000000000000100,33.709269370578355,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2202.57,*0000000000000100,*0000000000000100,653.01,21.8,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2289.58,-9999999,-9999999,7.842,31.53,2092.82,78.22,1.765,1.143
TN407,Axial Base Shallow Profiler,"RS03AXPS,RS03AXPD",45.8265,-129.74733333333333,2022-08-12T19:38:50.000Z,CTD-001,*0000000000000100,2623,TN407_CTD-001,*0000000000000100,10,*0000000000000100,2022-08-12T20:02:18.000Z,141.047,*0000000001000100,139.844,45.82648,-129.74728,7.6310,*0000000000000100,7.6347,*0000000000000100,3.445212,*0000000000000100,3.444996,*0000000000000100,33.3999,33.3940,4.2309,*0000000010000100,6.72488,1.8297,*0000000000000100,0.0366,99.0903,*0000000001000100,7.744,*0000000011000100,4.027263810824315,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,1.7142804375238099,21.934476941324263,22.856812605977325,0.02141528234920635,0.0021157142857142954,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2162.38,*0000000000000100,*0000000000000100,614.08,21.9,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2255.16,-9999999,-9999999,7.862,29.46,2052.45,80.47,1.828,1.184
TN407,Axial Base Shallow Profiler,"RS03AXPS,RS03AXPD",45.8265,-129.74733333333333,2022-08-12T19:38:50.000Z,CTD-001,*0000000000000100,2623,TN407_CTD-001,*0000000000000100,11,*0000000000000100,2022-08-12T20:05:18.000Z,121.375,*0000000001000100,120.346,45.82646,-129.74728,7.6613,*0000000000000100,7.6628,*0000000000000100,3.410546,*0000000000000100,3.410488,*0000000000000100,33.0073,33.0053,5.0734,*0000000000000100,6.73753,1.9603,*0000000000000100,0.0369,99.0828,*0000000001000100,7.822,*0000000011000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1.4832909891428572,15.428755236408163,18.17112660644898,0.024444909714285704,0.0017314285714285802,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2121.84,*0000000000000100,*0000000000000100,504.64,21.7,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2238.49,-9999999,-9999999,7.939,24.24,2004.74,92.86,2.124,1.376
TN407,Axial Base Shallow Profiler,"RS03AXPS,RS03AXPD",45.8265,-129.74733333333333,2022-08-12T19:38:50.000Z,CTD-001,*0000000000000100,2623,TN407_CTD-001,*0000000000000100,13,*0000000000000100,2022-08-12T20:08:44.000Z,101.245,*0000000001000100,100.391,45.82646,-129.74728,7.7736,*0000000000000100,7.7751,*0000000000000100,3.384477,*0000000010000100,3.384360,*0000000010000100,32.6314,32.6288,5.7751,*0000000010000100,6.73690,2.2561,*0000000010000100,0.0422,98.9516,*0000000001000100,7.895,*0000000011000100,5.5190923211909,*0000000000000100,*0000000000000100,0.07792071974417959,0.05939382307459905,1.5588235294117647,*0000000000000100,*0000000000000100,1.300473372952381,10.66771542461678,14.38446916363719,0.050362499873015894,0.0013471428571428645,*0000000000000100,*0000000000000100,32.64393693732207,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2085.81,*0000000000000100,*0000000000000100,430.2,21.7,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2222.86,-9999999,-9999999,8.0,20.63,1961.13,104.05,2.397,1.552
TN407,Axial Base Shallow Profiler,"RS03AXPS,RS03AXPD",45.8265,-129.74733333333333,2022-08-12T19:38:50.000Z,CTD-001,*0000000000000100,2623,TN407_CTD-001,*0000000000000100,15,*0000000000000100,2022-08-12T20:12:03.000Z,81.021,*0000000001000100,80.341,45.82646,-129.74728,8.5062,*0000000000000100,8.5075,*0000000000000100,3.421068,*0000000000000100,3.420952,*0000000000000100,32.3502,32.3478,6.2942,*0000000010000100,6.63865,3.5832,*0000000010000100,0.0642,98.4075,*0000000001000100,7.968,*0000000011000100,6.045111506705496,*0000000000000100,*0000000000000100,0.1681447110269139,0.1416784381062128,1.5344506517690875,*0000000000000100,*0000000000000100,1.0682339175238096,5.842077362140589,8.933497815637189,0.9475211061587302,0.048737857142857145,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2048.11,*0000000000000100,*0000000000000100,381.03,21.7,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2204.75,-9999999,-9999999,8.046,17.84,1914.94,115.33,2.674,1.734
TN407,Axial Base Shallow Profiler,"RS03AXPS,RS03AXPD",45.8265,-129.74733333333333,2022-08-12T19:38:50.000Z,CTD-001,*0000000000000100,2623,TN407_CTD-001,*0000000000000100,17,*0000000000000100,2022-08-12T20:15:23.000Z,60.447,*0000000001000100,59.943,45.82646,-129.74726,9.7133,*0000000000000100,9.7121,*0000000000000100,3.520984,*0000000010000100,3.520641,*0000000010000100,32.2979,32.2955,6.4358,*0000000010000100,6.46553,6.2049,*0000000010000100,0.1024,97.4734,*0000000001000100,8.018,*0000000011000100,6.247506141182917,*0000000000000100,*0000000000000100,0.2659850132620868,0.19846123450731168,1.5639751552795031,*0000000000000100,*0000000000000100,0.8940702857142857,4.05298817755102,6.093620065306122,0.15887462857142856,0.6320035714285714,*0000000000000100,*0000000000000100,32.309179412267525,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2025.16,*0000000000000100,*0000000000000100,356.68,21.7,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2199.02,-9999999,-9999999,8.073,16.05,1883.27,125.85,2.931,1.904
