IRLS Dive Data CSV Export. (Version 1.2)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2201,"Swap out CTD, DO and OPTAA instrument at site.",2022-08-09 01:25:00,2022-08-09 11:52:00

Site(s):
Name,Comments

Scientist(s):
Name, Organization

Observations:
Dive Number,Date(UTC),Observation,Latitude,Longitude,Depth(m),Heading,Pitch(deg),Roll(deg),Altitude(m),Speed(knots),Metadata,conductivity_Sm,temperature_C,pressure_db,oxygen_sb43_mll,salinity_psu,File
2201,2022-08-08 23:37:09,"DSC: Please add comment [Focal Length=36] [F-Stop=8] [Exposure time=1/200] [ISO Equivalent=400]",0,0,0,0,0,0,0,0,"",-,-,-,-,-,./files/dscs/R2200_24893.jpg
2201,2022-08-09 01:28:33,"Abbey and Ashlee started logging.",-250580223403.17978,10259065279677.984,0.89,241.3,4.43,2.63,0,0,"Logger ",0.07053,17.4944,-0.226,5.42,0.4062,
2201,2022-08-09 01:29:51,"in air waiting for launch",-250580223403.17978,10259065279677.984,0.92,242.25,3.1,3.99,0,0,"Vehicle ",0.04013,17.417,-0.217,5.43,0.2278,./files/framegrabs/SDI1_8_9_2022 01_22_33_00428.jpg
2201,2022-08-09 01:34:27,"Latched onto toolbasket",-250580223403.17978,10259065279677.984,0.82,240.89,-1.35,0.26,0,0,"Vehicle ",0.12761,17.334,-0.227,5.42,0.7556,./files/framegrabs/SDI2_8_9_2022 01_22_35_00722.jpg
2201,2022-08-09 01:41:19,"ROPOS in water",-250580223403.17978,10259065279677.984,0.85,325.33,-0.53,1.08,0,0,"Vehicle ",0.0435,17.5778,-0.213,5.4,0.2465,./files/framegrabs/SDI1_8_9_2022 01_22_33_01141.jpg
2201,2022-08-09 01:45:00,"Jellyfish spotted.",44.5149649,-125.3895867,24.58,231.32,-4.97,0.32,1.99,0,"Biology ",3.49267,9.8272,22.559,3.93,31.9248,./files/framegrabs/SDI1_8_9_2022 01_22_33_01341.jpg
2201,2022-08-09 01:47:08,"first football attached",44.5149913,-125.3896483,28.01,230.68,2.1,0.3,1.76,0,"Vehicle ",3.47573,9.5725,25.894,3.86,31.9772,./files/framegrabs/SDI1_8_9_2022 01_22_33_01488.jpg
2201,2022-08-09 01:58:13,"Last football attached.",44.5149043,-125.3897901,98.43,246.13,6.91,2.14,1.76,0,"Vehicle ",3.51846,8.2353,96.999,2.48,33.625,./files/framegrabs/SDI2_8_9_2022 01_22_35_02127.jpg
2201,2022-08-09 02:03:22,"Began descent.",44.5147647,-125.3899863,170.19,245.67,1.47,0.6,1.79,0,"Vehicle ",3.49319,7.6187,169.64,2.1,33.9155,./files/framegrabs/SDI1_8_9_2022 01_22_33_02440.jpg
2201,2022-08-09 02:08:48,"Paused briefly at ~200 m",44.5148022,-125.3900065,203.47,246.03,2.16,1.07,1.72,0,"Vehicle ",3.46849,7.2975,203.364,1.99,33.9454,./files/framegrabs/SDI1_8_9_2022 01_22_33_02765.jpg
2201,2022-08-09 02:17:51,"Swimmers and long jellyfish",44.5146352,-125.3902351,260.66,240.49,4.93,0.89,1.82,0.1,"Biology ",3.39194,6.3917,261.052,1.52,33.9696,./files/framegrabs/SDI1_8_9_2022 01_22_33_03339.jpg
2201,2022-08-09 02:19:05,"Shrimp (?)",44.5146448,-125.3902914,260.65,239.96,4.02,0.86,1.89,0.2,"Biology ",3.39183,6.3928,260.99,1.52,33.9671,./files/framegrabs/SDI1_8_9_2022 01_22_33_03389.jpg
2201,2022-08-09 02:20:58,"Jellyfish",44.5146296,-125.3902757,260.01,239.94,-2.93,0.61,1.83,0,"Biology ",3.38884,6.3599,260.758,1.52,33.9668,./files/framegrabs/SDI1_8_9_2022 01_22_33_03498.jpg
2201,2022-08-09 02:25:37,"spider-like organism",44.5146247,-125.3903228,260.32,239.41,3.52,0.81,2.23,0,"Biology ",3.38905,6.3597,260.661,1.52,33.9693,./files/framegrabs/SDI1_8_9_2022 01_22_33_03774.jpg
2201,2022-08-09 02:35:14,"Resumed ROPOS descent (Paused at -260m).",44.5146581,-125.3902829,264.97,240.54,-0.07,0.35,2.13,0.12,"Issue Vehicle ",3.38611,6.3234,265.23,1.46,33.9705,./files/framegrabs/SDI2_8_9_2022 01_22_35_04348.jpg
2201,2022-08-09 02:38:06,"Krill-like organism",44.5145896,-125.3903006,323.85,239.19,3.25,0.89,2.12,0,"Biology ",3.37716,6.1298,324.74,1.02,34.0343,./files/framegrabs/SDI1_8_9_2022 01_22_33_04530.jpg
