IRLS Dive Data CSV Export. (Version 1.2)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2204,"The purpose of this dive is to examine the 200m platform, prepare both subassemblies for recovery, and recover the PIA.",2022-08-10 20:30:00,2022-08-11 00:50:00

Site(s):
Name,Comments

Scientist(s):
Name, Organization

Observations:
Dive Number,Date(UTC),Observation,Latitude,Longitude,Depth(m),Heading,Pitch(deg),Roll(deg),Altitude(m),Speed(knots),Metadata,conductivity_Sm,temperature_C,pressure_db,oxygen_sb43_mll,salinity_psu,File
2204,2022-08-10 20:34:50,"Adjusting cameras to allow piots to better see package",-250580223403.17978,10259065279677.984,0.86,122.92,-1.18,1.41,0,0,"Vehicle ",0.42627,16.374,-0.151,3.65,2.7599,
2204,2022-08-10 20:39:56,"ROV over water, preparing for launch",-250580223403.17978,10259065279677.984,0.86,233.94,-0.38,0.21,0,0,"Vehicle ",0.27284,16.0744,-0.154,3.73,1.7323,./files/framegrabs/SDI1_8_10_2022 20_29_19_00629.jpg
2204,2022-08-10 20:49:18,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=1/160] [ISO Equivalent=400]",-250580223403.17978,10259065279677.984,0.93,197.54,-2.25,0.95,0,0,"",0.24877,15.9405,-0.147,3.79,1.5765,./files/dscs/R2204_25523.jpg
2204,2022-08-10 20:49:44,"Hannah logging",-250580223403.17978,10259065279677.984,2.77,173.61,-5.53,2.08,0,0,"Logger ",3.97505,15.8895,0.863,4.35,31.41,./files/framegrabs/SDI1_8_10_2022 20_29_19_01216.jpg
2204,2022-08-10 20:50:15,"dive started",-250580223403.17978,10259065279677.984,2.57,148.14,-3.43,0.5,0,0,"Vehicle ",3.96913,15.8196,0.907,4.87,31.4133,./files/framegrabs/SDI1_8_10_2022 20_29_19_01253.jpg
2204,2022-08-10 20:52:29,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1600]",-250580223403.17978,10259065279677.984,2.67,148.67,-6.36,2.62,0,0,"",3.96732,15.7957,1.057,4.87,31.4162,./files/dscs/R2204_25524.jpg
2204,2022-08-10 20:53:24,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=12800]",44.3743704,-124.956713,33.93,145.79,-3.52,2.72,0,0,"",3.52976,9.8829,32.408,4.67,32.2475,./files/dscs/R2204_25525.jpg
2204,2022-08-10 20:56:05,"school of small fish",44.374243,-124.9567276,37.78,159.18,-5.56,1.55,0,0,"Biology ",3.5143,9.6311,35.772,4.59,32.3143,./files/framegrabs/SDI1_8_10_2022 20_29_19_01517.jpg
2204,2022-08-10 20:58:16,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=5600]",44.374225,-124.9570734,52.08,158.48,-2.09,0.36,1.28,0,"",3.43221,8.4165,50.138,3.81,32.5638,./files/dscs/R2204_25526.jpg
2204,2022-08-10 20:58:34,"fish",44.3742391,-124.9571099,52.67,159.02,-3.91,0.85,1.28,0,"Biology ",3.43334,8.4279,50.802,3.81,32.565,./files/framegrabs/SDI1_8_10_2022 20_29_19_01752.jpg
2204,2022-08-10 20:59:10,"large siphnophore (rare)",44.3742224,-124.9571112,58.5,159.06,-0.42,0.43,1.69,0,"Biology ",3.49681,8.6668,57.034,3.37,33.0072,./files/framegrabs/SDI1_8_10_2022 20_29_19_01789.jpg
2204,2022-08-10 21:06:59,"?phore",44.374284,-124.9567396,126.43,156.51,-3.22,1.32,17.29,0,"Biology ",3.496,7.7623,125.629,2.58,33.8272,./files/framegrabs/SDI1_8_10_2022 20_29_19_02255.jpg
2204,2022-08-10 21:08:09,"sonar not running",44.3742105,-124.9567908,132.85,158.98,-4.19,2.02,17.29,0,"Issue ",3.49499,7.728,131.871,2.44,33.8466,./files/framegrabs/SDI1_8_10_2022 20_29_19_02321.jpg
2204,2022-08-10 21:17:37,"vehicle continues diving. Sonar is running but more troubleshooting is taking place",44.3743114,-124.9566932,185.15,118.18,-4.69,1.25,2.62,0,"Vehicle ",3.49076,7.5361,184.949,1.6,33.9624,./files/framegrabs/SDI1_8_10_2022 20_29_19_02889.jpg
2204,2022-08-10 21:18:32,"? phore or jelly",44.374332,-124.9566457,200.26,118.74,-6.43,0.67,2.62,0,"Biology ",3.47073,7.32,200.122,1.61,33.9494,./files/framegrabs/SDI1_8_10_2022 20_29_19_02952.jpg
2204,2022-08-10 21:19:41,"mooring is now on sonar view",44.3744422,-124.9566225,199.91,49.92,-6.86,0.11,1.43,0,"Vehicle ",3.46914,7.2845,199.74,1.64,33.967,./files/framegrabs/SDI1_8_10_2022 20_29_19_03013.jpg
2204,2022-08-10 21:20:12,"moving ship to northwest",44.374402,-124.956749,199.98,57.3,-5.17,0.84,1.43,0,"Ship Moving ",3.46997,7.3017,199.757,1.63,33.9592,./files/framegrabs/SDI1_8_10_2022 20_29_19_03044.jpg
