IRLS CTD Data CSV Export. (Version 1.0)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2212,"Recover AoA at MJ03F.  
Swap CTD at MJ03F.  
Pre-stage cable at MJ03F.",2022-08-14 01:15:00,2022-08-14 07:17:00

CTD Measurments:
Timestamp,Latitude,Longitude,Depth(m),Heading,Pitch(deg),Roll(deg),Altitude(m),Speed(knots),Conductivity(Sm),Temperature(C),Pressure (dbar),Oxygen (ml/l),Salinity (PSU),v0,v1,v2,v3,v4,v5
2022-08-14 01:15:01,-250580223403.17978,10259065279677.984,0.76,139.31,-0.16,1.23,0,0,2.11949,16.9345,-0.151,2.78,15.3072,1.486,0.0001,0,0,5,0.0001
2022-08-14 01:15:02,-250580223403.17978,10259065279677.984,0.78,141.55,-0.36,1.25,0,0,2.21094,16.9345,-0.157,2.76,16.0302,1.4833,0.0001,0,0.0001,5,0.0001
2022-08-14 01:15:03,-250580223403.17978,10259065279677.984,0.78,144.08,-0.18,1.11,0,0,2.26788,16.9348,-0.153,2.74,16.4819,1.4807,0.0003,0.0001,0,5,0.0002
2022-08-14 01:15:04,-250580223403.17978,10259065279677.984,0.78,147.06,0.6,1.15,0,0,2.25929,16.9348,-0.154,2.74,16.4136,1.478,0.0001,0.0001,0,5,0
2022-08-14 01:15:06,-250580223403.17978,10259065279677.984,0.76,149.7,0.43,1.26,0,0,2.21288,16.935,-0.156,2.73,16.0454,1.4715,0,0,0,5,0.0002
2022-08-14 01:15:07,-250580223403.17978,10259065279677.984,0.77,152.35,-0.4,1.2,0,0,2.1932,16.9351,-0.151,2.73,15.8894,1.4713,0.0002,0,0.0001,5,0
2022-08-14 01:15:08,-250580223403.17978,10259065279677.984,0.77,154.36,-0.26,1.09,0,0,2.19231,16.9351,-0.148,2.73,15.8823,1.474,0.0002,0,0.0001,5,0.0001
2022-08-14 01:15:09,-250580223403.17978,10259065279677.984,0.78,157.44,-0.69,0.88,0,0,2.18233,16.9351,-0.162,2.75,15.8034,1.4785,0.0001,0.0001,0,5,0.0001
2022-08-14 01:15:10,-250580223403.17978,10259065279677.984,0.76,160.22,-0.06,1.08,0,0,2.25749,16.935,-0.153,2.75,16.3992,1.4835,0.0001,0,0.0001,5,0.0003
2022-08-14 01:15:11,-250580223403.17978,10259065279677.984,0.76,162.67,-0.26,1.35,0,0,2.22651,16.935,-0.156,2.78,16.1533,1.4909,0.0002,0,0.0001,5,0
2022-08-14 01:15:12,-250580223403.17978,10259065279677.984,0.77,165.2,-0.18,1.51,0,0,2.22392,16.935,-0.159,2.84,16.1328,1.5135,0.0004,0,0,5,0.0002
2022-08-14 01:15:13,-250580223403.17978,10259065279677.984,0.75,167.44,-0.11,1.45,0,0,2.19281,16.935,-0.167,2.95,15.8864,1.551,0.0002,0.0001,0,5,0.0002
2022-08-14 01:15:14,-250580223403.17978,10259065279677.984,0.78,169.66,-0.87,1.26,0,0,2.18747,16.935,-0.152,3.04,15.8441,1.5837,0.0002,0.0002,0.0002,5,0.0002
2022-08-14 01:15:15,-250580223403.17978,10259065279677.984,0.79,172.32,-0.43,1.05,0,0,2.18556,16.9348,-0.156,3.09,15.829,1.5998,0.0003,0,0.0001,5,0.0002
2022-08-14 01:15:16,-250580223403.17978,10259065279677.984,0.79,174.97,0.22,1.11,0,0,2.21878,16.9348,-0.142,3.11,16.0922,1.6117,0.0002,0,0.0001,5,0.0003
2022-08-14 01:15:17,-250580223403.17978,10259065279677.984,0.78,177.38,0.34,1.13,0,0,2.16728,16.9347,-0.154,3.17,15.6845,1.63,0.0001,0,0,5,0.0001
2022-08-14 01:15:18,-250580223403.17978,10259065279677.984,0.77,179.53,0.11,1.09,0,0,2.15571,16.9347,-0.144,3.23,15.593,1.6512,0,0,0,5,0
2022-08-14 01:15:19,-250580223403.17978,10259065279677.984,0.78,181.82,-0.14,0.97,0,0,2.1504,16.9346,-0.144,3.28,15.5511,1.6696,0.0001,0,0,5,0.0001
2022-08-14 01:15:20,-250580223403.17978,10259065279677.984,0.79,184.26,-0.31,0.88,0,0,2.13345,16.9344,-0.161,3.32,15.4174,1.6798,0.0001,0.0001,0.0001,5,0.0001
2022-08-14 01:15:21,-250580223403.17978,10259065279677.984,0.78,186.8,-0.46,0.79,0,0,2.12374,16.9342,-0.157,3.32,15.3409,1.6811,0.0002,0.0002,0.0002,5,0
2022-08-14 01:15:22,-250580223403.17978,10259065279677.984,0.78,189.25,0.26,0.76,0,0,2.11711,16.934,-0.154,3.31,15.2887,1.6762,0,0.0001,0,5,0.0001
2022-08-14 01:15:23,-250580223403.17978,10259065279677.984,0.77,191.43,0.12,0.76,0,0,2.11337,16.9339,-0.142,3.28,15.2592,1.6665,0.0002,0.0001,0.0001,5,0
2022-08-14 01:15:24,-250580223403.17978,10259065279677.984,0.78,193.44,-0.28,0.8,0,0,2.10637,16.9336,-0.144,3.26,15.2041,1.6568,0,0,0,5,0
2022-08-14 01:15:26,-250580223403.17978,10259065279677.984,0.79,198.21,-0.4,0.84,0,0,2.12394,16.9332,-0.144,3.21,15.3428,1.6406,0.0002,0.0001,0.0001,5,0
2022-08-14 01:15:27,-250580223403.17978,10259065279677.984,0.79,200.46,-0.26,0.69,0,0,2.11983,16.9329,-0.15,3.19,15.3105,1.6321,0.0002,0.0002,0.0003,5,0.0003
2022-08-14 01:15:28,-250580223403.17978,10259065279677.984,0.79,202.61,-0.11,0.73,0,0,2.12259,16.9326,-0.16,3.16,15.3324,1.6217,0.0001,0.0002,0.0001,5,0.0001
2022-08-14 01:15:29,-250580223403.17978,10259065279677.984,0.8,204.52,-0.05,1.12,0,0,2.11553,16.9323,-0.157,3.13,15.2769,1.6119,0.0001,0.0002,0.0001,5,0
2022-08-14 01:15:30,-250580223403.17978,10259065279677.984,0.77,206.07,0.25,1.19,0,0,2.11176,16.932,-0.153,3.1,15.2472,1.6014,0.0002,0.0001,0.0001,5,0.0002
2022-08-14 01:15:31,-250580223403.17978,10259065279677.984,0.77,205.89,-0.07,1.14,0,0,2.1078,16.9316,-0.151,3.07,15.2162,1.5911,0.0002,0.0001,0.0001,5,0.0001
2022-08-14 01:15:32,-250580223403.17978,10259065279677.984,0.77,205.89,-0.19,1.06,0,0,2.11002,16.9313,-0.158,3.05,15.2338,1.5818,0.0002,0.0003,0,5,0.0001
2022-08-14 01:15:33,-250580223403.17978,10259065279677.984,0.78,205.86,-0.14,0.81,0,0,2.10753,16.9308,-0.147,3.02,15.2143,1.573,0.0001,0.0003,0,5,0.0001
2022-08-14 01:15:34,-250580223403.17978,10259065279677.984,0.79,205.78,-0.39,0.46,0,0,2.11028,16.9305,-0.157,3,15.2361,1.5641,0.0001,0.0001,0.0001,5,0
2022-08-14 01:15:35,-250580223403.17978,10259065279677.984,0.77,205.96,-0.17,0.3,0,0,2.11892,16.9301,-0.145,2.97,15.3044,1.5566,0,0.0002,0.0001,5,0
2022-08-14 01:15:36,-250580223403.17978,10259065279677.984,0.78,206.01,-0.3,0.31,0,0,2.11425,16.9297,-0.167,2.95,15.2677,1.5488,0.0001,0,0.0001,5,0
2022-08-14 01:15:37,-250580223403.17978,10259065279677.984,0.78,205.97,-0.3,0.26,0,0,2.11034,16.9292,-0.158,2.93,15.2371,1.5412,0.0003,0.0001,0,5,0.0001
2022-08-14 01:15:38,-250580223403.17978,10259065279677.984,0.79,206.14,-0.1,0.12,0,0,2.11487,16.9286,-0.158,2.91,15.273,1.534,0.0003,0,0.0002,5,0
2022-08-14 01:15:39,-250580223403.17978,10259065279677.984,0.79,205.94,-0.16,0.47,0,0,2.11672,16.9282,-0.156,2.9,15.2878,1.5292,0.0001,0,0,5,0.0001
