IRLS Dive Data CSV Export. (Version 1.2)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2212,"Recover AoA at MJ03F.  
Swap CTD at MJ03F.  
Pre-stage cable at MJ03F.",2022-08-14 01:15:00,2022-08-14 07:17:00

Site(s):
Name,Comments

Scientist(s):
Name, Organization

Observations:
Dive Number,Date(UTC),Observation,Latitude,Longitude,Depth(m),Heading,Pitch(deg),Roll(deg),Altitude(m),Speed(knots),Metadata,conductivity_Sm,temperature_C,pressure_db,oxygen_sb43_mll,salinity_psu,File
2212,2022-08-14 01:20:14,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2000]",45.9551646,-130.0092422,21.49,113.32,5.29,0.13,1.29,0,"",4.10892,16.3103,19.848,4.62,32.2413,./files/dscs/R2212_29157.jpg
2212,2022-08-14 01:22:17,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=4000]",45.9551891,-130.0092561,33.85,112.52,1.68,0.49,1.29,0,"",3.85518,13.6153,32.558,5.09,32.1708,./files/dscs/R2212_29158.jpg
2212,2022-08-14 01:22:42,"ROPOS at 43 m",45.9551891,-130.0092518,35.6,112.56,1.71,0.26,1.29,0,"Vehicle ",3.65781,11.3693,40.162,5.4,32.2084,./files/framegrabs/SDI1_8_14_2022 01_07_09_00930.jpg
2212,2022-08-14 01:25:12,"Footballs on line",45.9551697,-130.0090946,61.67,111.38,3.85,0.31,1.54,0,"",3.49021,9.3487,60.489,5.17,32.3111,
2212,2022-08-14 01:30:35,"Last football on the line",45.9551131,-130.0090249,94.29,111.94,3.68,0.34,2.13,0,"",3.38439,8.0016,92.914,4.96,32.4221,
2212,2022-08-14 01:40:04,"Descending",45.9550176,-130.0086896,276.35,111.93,2.95,0.2,2.13,0,"",3.34519,5.9662,277.088,2.21,33.8628,
2212,2022-08-14 01:43:53,"Fish",45.9549356,-130.0084615,373.51,112.34,1.64,0.33,2.13,0,"Biology ",3.28917,5.2101,375.262,1.35,33.9379,./files/framegrabs/SDI1_8_14_2022 01_07_09_02194.jpg
2212,2022-08-14 01:52:15,"Biology unknown",45.9549009,-130.0083796,590.11,110.62,-0.79,0.33,2.13,0,"Biology ",3.23919,4.3343,594.185,0.37,34.1422,
2212,2022-08-14 01:55:40,"Dinner plate jelly",45.9548786,-130.0090547,682.58,128.07,1.04,0.55,2.13,0,"Biology ",3.21929,4.0045,687.367,0.26,34.2015,./files/framegrabs/SDI1_8_14_2022 01_07_09_02907.jpg
2212,2022-08-14 01:57:34,"Jelly",45.9548957,-130.0089503,730.9,126.69,0.94,0.49,2.13,0,"Biology ",3.2162,3.9141,736.476,0.22,34.2337,./files/framegrabs/SDI1_8_14_2022 01_07_09_03024.jpg
2212,2022-08-14 02:00:19,"Jelly",45.9548535,-130.0089312,800.5,126.09,1.11,1.26,2.13,0.03,"Biology ",3.20998,3.7703,806.626,0.19,34.2736,./files/framegrabs/SDI1_8_14_2022 01_07_09_03189.jpg
2212,2022-08-14 02:11:09,"Jelly",45.9547917,-130.0090161,1074.3,126.73,0.96,0.15,2.12,0,"Biology ",3.18666,3.2465,1083.846,0.2,34.4017,./files/framegrabs/SDI1_8_14_2022 01_07_09_03837.jpg
2212,2022-08-14 02:28:53,"Bottom in sight",45.9548896,-130.009128,1516.76,149.15,-0.42,0.52,2.12,0,"",3.14018,2.3921,1532.204,0.57,34.5148,
2212,2022-08-14 02:30:33,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=12800]",45.9548616,-130.00911,1519.67,106.04,-0.96,0.13,4.63,0.16,"",3.14004,2.3877,1535.34,0.58,34.5162,./files/dscs/R2212_29159.jpg
2212,2022-08-14 02:30:49,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=9000]",45.9548732,-130.0090109,1519.25,110.55,0.04,0.4,4.79,0.87,"",-,-,-,-,-,./files/dscs/R2212_29160.jpg
