IRLS CTD Data CSV Export. (Version 1.0)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2215,"Swap CTD at MJ03E.",2022-08-15 01:21:00,2022-08-15 05:52:00

CTD Measurments:
Timestamp,Latitude,Longitude,Depth(m),Heading,Pitch(deg),Roll(deg),Altitude(m),Speed(knots),Conductivity(Sm),Temperature(C),Pressure (dbar),Oxygen (ml/l),Salinity (PSU),v0,v1,v2,v3,v4,v5
2022-08-15 01:21:01,-250580223403.17978,10259065279677.984,0.78,305.53,0.73,1.02,0,0,0.04944,16.9803,-0.165,2.43,0.285,1.2853,0.0002,0.0002,0.0002,5,0.0002
2022-08-15 01:21:02,-250580223403.17978,10259065279677.984,0.79,305.56,0.5,0.7,0,0,0.04939,16.9805,-0.158,2.46,0.2847,1.2953,0.0003,0.0001,0.0002,5,0.0006
2022-08-15 01:21:03,-250580223403.17978,10259065279677.984,0.79,305.39,0.13,0.16,0,0,0.04922,16.9807,-0.156,2.46,0.2837,1.2968,0.0004,0.0004,0,5,0.0002
2022-08-15 01:21:04,-250580223403.17978,10259065279677.984,0.77,305.25,-0.12,0.13,0,0,0.04898,16.9809,-0.184,2.46,0.2823,1.2964,0.0004,0.0001,0.0001,5,0.0003
2022-08-15 01:21:05,-250580223403.17978,10259065279677.984,0.78,305.42,-0.05,0.87,0,0,0.04893,16.981,-0.163,2.46,0.2819,1.2976,0.0006,0.0005,0.0001,5,0.0005
2022-08-15 01:21:06,-250580223403.17978,10259065279677.984,0.79,305.7,0.26,1.69,0,0,0.04914,16.9809,-0.169,2.47,0.2832,1.2985,0.0002,0,0.0001,5,0.0001
2022-08-15 01:21:07,-250580223403.17978,10259065279677.984,0.79,305.72,0.67,1.64,0,0,0.04936,16.981,-0.159,2.47,0.2845,1.2985,0.0005,0,0.0002,5,0.0002
2022-08-15 01:21:08,-250580223403.17978,10259065279677.984,0.79,305.5,0.88,0.79,0,0,0.04934,16.9812,-0.159,2.46,0.2844,1.2976,0.0001,0.0003,0,5,0.0004
2022-08-15 01:21:10,-250580223403.17978,10259065279677.984,0.78,305.42,-0.11,0.38,0,0,0.0492,16.9813,-0.156,2.46,0.2836,1.2967,0.0005,0.0004,0,5,0.0001
2022-08-15 01:21:11,-250580223403.17978,10259065279677.984,0.79,305.45,-0.41,0.83,0,0,0.04902,16.9814,-0.162,2.46,0.2825,1.2962,0.0004,0.0002,0,5,0.0003
2022-08-15 01:21:12,-250580223403.17978,10259065279677.984,0.78,305.41,-0.07,1.15,0,0,0.04886,16.9816,-0.155,2.46,0.2816,1.2956,0.0003,0.0001,0.0003,5,0.0001
2022-08-15 01:21:13,-250580223403.17978,10259065279677.984,0.79,305.44,0.41,1.06,0,0,0.04889,16.9816,-0.164,2.45,0.2817,1.2942,0.0003,0.0001,0,5,0.0002
2022-08-15 01:21:14,-250580223403.17978,10259065279677.984,0.78,305.55,0.81,0.77,0,0,0.0492,16.9817,-0.149,2.45,0.2835,1.2931,0.0002,0.0003,0.0002,5,0.0002
2022-08-15 01:21:15,-250580223403.17978,10259065279677.984,0.78,305.57,0.71,0.64,0,0,0.04948,16.9818,-0.157,2.45,0.2852,1.292,0.0003,0.0003,0.0001,5,0.0003
2022-08-15 01:21:16,-250580223403.17978,10259065279677.984,0.78,305.62,-0.38,0.24,0,0,0.04935,16.9819,-0.16,2.45,0.2845,1.2919,0.0002,0.0004,0.0001,5,0
2022-08-15 01:21:17,-250580223403.17978,10259065279677.984,0.79,305.66,-0.56,0.09,0,0,0.04918,16.9821,-0.163,2.44,0.2835,1.2907,0.0006,0.0002,0.0001,5,0.0002
2022-08-15 01:21:18,-250580223403.17978,10259065279677.984,0.76,305.63,-0.33,0.1,0,0,0.04904,16.9822,-0.163,2.44,0.2826,1.2903,0.0004,0.0002,0.0001,5,0.0002
2022-08-15 01:21:19,-250580223403.17978,10259065279677.984,0.75,305.72,-0.2,0.13,0,0,0.04884,16.9822,-0.154,2.44,0.2815,1.2892,0.0005,0.0001,0.0002,5,0.0003
2022-08-15 01:21:20,-250580223403.17978,10259065279677.984,0.77,305.76,-1.22,0.28,0,0,0.04894,16.9823,-0.164,2.44,0.282,1.29,0.0002,0.0002,0.0001,5,0.0006
2022-08-15 01:21:21,-250580223403.17978,10259065279677.984,0.77,305.65,-1.19,1.23,0,0,0.04922,16.9823,-0.166,2.45,0.2837,1.2917,0.0006,0.0002,0.0002,5,0.0002
2022-08-15 01:21:22,-250580223403.17978,10259065279677.984,0.78,305.04,-0.92,1.59,0,0,0.04931,16.9824,-0.154,2.45,0.2842,1.2932,0.0004,0.0004,0.0004,5,0.0003
2022-08-15 01:21:23,-250580223403.17978,10259065279677.984,0.76,304.64,-1,1.25,0,0,0.04914,16.9825,-0.151,2.45,0.2832,1.2938,0,0.0001,0.0001,5,0.0003
