IRLS Dive Data CSV Export. (Version 1.2)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2215,"Swap CTD at MJ03E.",2022-08-15 01:21:00,2022-08-15 05:52:00

Site(s):
Name,Comments

Scientist(s):
Name, Organization

Observations:
Dive Number,Date(UTC),Observation,Latitude,Longitude,Depth(m),Heading,Pitch(deg),Roll(deg),Altitude(m),Speed(knots),Metadata,conductivity_Sm,temperature_C,pressure_db,oxygen_sb43_mll,salinity_psu,File
2215,2022-08-15 00:15:22,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.4] [ISO Equivalent=12800]",0,0,0,0,0,0,0,0,"",-,-,-,-,-,./files/dscs/R2215_30220.jpg
2215,2022-08-15 01:19:02,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1000]",0,0,0,0,0,0,0,0,"",-,-,-,-,-,./files/dscs/R2215_30221.jpg
2215,2022-08-15 01:20:54,"Ashlee and Abbey started logging",-250580223403.17978,10259065279677.984,0.78,305.07,0.82,0.65,0,0,"Logger ",-,-,-,-,-,
2215,2022-08-15 01:21:22,"ROPOS off deck",-250580223403.17978,10259065279677.984,0.78,305.04,-0.92,1.59,0,0,"Vehicle ",0.04931,16.9824,-0.154,2.45,0.2842,./files/framegrabs/SDI2_8_15_2022 01_21_09_00010.jpg
2215,2022-08-15 01:22:23,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=450]",-250580223403.17978,10259065279677.984,0.75,212.56,-1.07,1.46,0,0,"",0.07669,16.9824,-0.167,2.44,0.4484,./files/dscs/R2215_30222.jpg
2215,2022-08-15 01:23:31,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=1/125] [ISO Equivalent=400]",-250580223403.17978,10259065279677.984,0.79,143.83,-1.22,2.22,0,0,"",0.08563,16.8745,-0.16,3.31,0.5041,./files/dscs/R2215_30223.jpg
2215,2022-08-15 01:24:41,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=450]",-250580223403.17978,10259065279677.984,0.79,107.37,-1.65,1.78,0,0,"",0.07478,16.7787,-0.165,3,0.4389,./files/dscs/R2215_30224.jpg
2215,2022-08-15 01:25:20,"Toolbox latched",-250580223403.17978,10259065279677.984,0.78,104.31,-0.46,0.81,0,0,"Vehicle ",0.07028,16.7474,-0.157,3.5,0.4119,./files/framegrabs/SDI2_8_15_2022 01_21_09_00249.jpg
2215,2022-08-15 01:29:14,"Toolbox off deck",-250580223403.17978,10259065279677.984,0.8,103.58,-0.43,0.68,0,0,"Vehicle ",0.07174,16.69,-0.166,3.12,0.4214,./files/framegrabs/SDI2_8_15_2022 01_21_09_00483.jpg
2215,2022-08-15 01:30:04,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=1/200] [ISO Equivalent=400]",-250580223403.17978,10259065279677.984,0.79,166.59,0.37,0.43,0,0,"",0.08757,16.6825,-0.186,2.85,0.5184,./files/dscs/R2215_30225.jpg
