IRLS CTD Data CSV Export. (Version 1.0)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2217,"Swap CTDPFB304 (Chadwick).  
Recover COVIS Thermistors.  
Beware Calibration Spheres on 'invisible' tether, COVIS target 1&amp;2.",2022-08-15 15:42:26,2022-08-15 19:49:26

CTD Measurments:
Timestamp,Latitude,Longitude,Depth(m),Heading,Pitch(deg),Roll(deg),Altitude(m),Speed(knots),Conductivity(Sm),Temperature(C),Pressure (dbar),Oxygen (ml/l),Salinity (PSU),v0,v1,v2,v3,v4,v5
2022-08-15 15:43:03,-250580223403.17978,10259065279677.984,0.74,259.41,-0.98,0.18,0,0,0.10874,16.2041,-0.155,3.18,0.6571,1.5175,0.0007,0.0004,0.0001,5,0.0001
2022-08-15 15:43:04,-250580223403.17978,10259065279677.984,0.77,256.62,-1.8,0.47,0,0,0.10704,16.2043,-0.162,3.16,0.6463,1.5103,0.0003,0.0002,0.0002,5,0.0003
2022-08-15 15:43:05,-250580223403.17978,10259065279677.984,0.77,254.43,-2.02,0.29,0,0,0.09705,16.2044,-0.158,3.14,0.5836,1.5038,0.0008,0,0.0003,5,0.0002
2022-08-15 15:43:06,-250580223403.17978,10259065279677.984,0.77,252.17,-2.08,0.32,0,0,0.09077,16.2046,-0.156,3.12,0.5443,1.4981,0.0005,0.0004,0.0002,5,0.0003
2022-08-15 15:43:07,-250580223403.17978,10259065279677.984,0.77,249.86,-1.58,0.78,0,0,0.08734,16.2046,-0.155,3.11,0.5229,1.4951,0.0005,0.0001,0.0001,5,0.0002
2022-08-15 15:43:09,-250580223403.17978,10259065279677.984,0.75,245.06,-0.87,0.25,0,0,0.09715,16.2044,-0.159,3.1,0.5842,1.4911,0.0005,0.0002,0.0001,5,0.0002
2022-08-15 15:43:10,-250580223403.17978,10259065279677.984,0.76,242.79,-1.09,0.49,0,0,0.10092,16.2041,-0.146,3.09,0.6078,1.4872,0.0005,0.0001,0.0003,5,0.0001
2022-08-15 15:43:11,-250580223403.17978,10259065279677.984,0.76,240.3,-1.48,0.7,0,0,0.09038,16.2037,-0.158,3.07,0.5419,1.4826,0.0004,0.0002,0.0001,5,0.0004
2022-08-15 15:43:12,-250580223403.17978,10259065279677.984,0.75,237.82,-1.75,0.52,0,0,0.09215,16.2031,-0.152,3.06,0.553,1.4789,0.0005,0.0001,0.0002,5,0.0001
