IRLS Dive Data CSV Export. (Version 1.2)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2217,"Swap CTDPFB304 (Chadwick).  
Recover COVIS Thermistors.  
Beware Calibration Spheres on 'invisible' tether, COVIS target 1&amp;2.",2022-08-15 15:42:26,2022-08-15 19:49:26

Site(s):
Name,Comments

Scientist(s):
Name, Organization

Observations:
Dive Number,Date(UTC),Observation,Latitude,Longitude,Depth(m),Heading,Pitch(deg),Roll(deg),Altitude(m),Speed(knots),Metadata,conductivity_Sm,temperature_C,pressure_db,oxygen_sb43_mll,salinity_psu,File
2217,2022-08-15 15:05:52,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=800]",0,0,0,0,0,0,0,0,"",-,-,-,-,-,./files/dscs/R2217_31037.jpg
2217,2022-08-15 15:45:06,"ROPOS off deck",-250580223403.17978,10259065279677.984,0.73,132.27,-1.09,0.52,0,0,"Vehicle ",0.12921,16.0722,-0.152,2.83,0.7893,./files/framegrabs/SDI1_8_15_2022 15_43_18_00099.jpg
2217,2022-08-15 15:48:21,"Ehan logging",-250580223403.17978,10259065279677.984,0.77,130.34,-0.14,0.46,0,0,"Logger ",0.3898,15.9659,-0.156,2.98,2.5351,./files/framegrabs/SDI1_8_15_2022 15_43_18_00302.jpg
2217,2022-08-15 15:50:01,"ROV and basket over water",-250580223403.17978,10259065279677.984,0.76,169.71,-1.48,0.74,0,0,"",0.20733,15.9736,-0.151,3.21,1.2999,./files/framegrabs/SDI2_8_15_2022 15_43_20_00400.jpg
2217,2022-08-15 15:51:54,"ROV in water",-250580223403.17978,10259065279677.984,1.82,159.37,-4.17,1.58,0,0,"Vehicle ",4.11392,16.5435,0.551,3.53,32.1041,./files/framegrabs/SDI1_8_15_2022 15_43_18_00511.jpg
2217,2022-08-15 15:54:19,"first float on",45.9340841,-130.0143708,25.8,160.29,0.92,0.43,1.77,0.51,"Vehicle ",3.96578,15.0157,24.144,4.95,32.0231,./files/framegrabs/SDI1_8_15_2022 15_43_18_00658.jpg
2217,2022-08-15 16:01:08,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=1/60] [ISO Equivalent=12800]",45.9340342,-130.0143485,78.02,146.59,0.62,0.14,2.12,0,"",3.37253,8.1201,76.653,4.99,32.1945,./files/dscs/R2217_31038.jpg
2217,2022-08-15 16:02:49,"all floats on",45.934034,-130.0143482,89.42,146.43,0.81,0.04,2.12,0,"Vehicle ",3.35674,7.8264,87.911,4.85,32.292,./files/framegrabs/SDI2_8_15_2022 15_43_20_01168.jpg
2217,2022-08-15 16:23:17,"fish",45.9337428,-130.0139287,520.15,172.57,1.27,0.59,1.75,0,"Biology ",3.22604,4.5176,522.865,0.64,33.8373,./files/framegrabs/SDI1_8_15_2022 15_43_18_02397.jpg
