IRLS CTD Data CSV Export. (Version 1.0)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2218,"Swap LJ01D (BEP)",2022-08-19 02:55:00,2022-08-19 08:33:00

CTD Measurments:
Timestamp,Latitude,Longitude,Depth(m),Heading,Pitch(deg),Roll(deg),Altitude(m),Speed(knots),Conductivity(Sm),Temperature(C),Pressure (dbar),Oxygen (ml/l),Salinity (PSU),v0,v1,v2,v3,v4,v5
2022-08-19 02:55:01,44.637194,-124.3058372,0.78,158.66,-1.58,0.6,0,0,0.05542,16.4217,-0.181,3.73,0.3248,1.6983,0.0001,0.0002,0.0002,5,0.0001
2022-08-19 02:55:02,44.637194,-124.3058372,0.79,158.72,-1.6,0.99,0,0,0.05522,16.4207,-0.178,3.81,0.3236,1.7255,0.0001,0.0001,0,5,0.0001
2022-08-19 02:55:03,44.637194,-124.3058372,0.78,158.59,-1.31,0.98,0,0,0.055,16.42,-0.172,3.87,0.3223,1.7441,0.0001,0.0001,0.0002,5,0
2022-08-19 02:55:04,44.637194,-124.3058372,0.8,158.46,-0.82,0.5,0,0,0.05511,16.419,-0.172,3.89,0.3229,1.752,0.0001,0.0001,0,5,0.0001
2022-08-19 02:55:05,44.637194,-124.3058372,0.8,158.45,-0.6,0.03,0,0,0.05528,16.4177,-0.177,3.9,0.324,1.7538,0.0001,0.0001,0,5,0.0002
2022-08-19 02:55:06,44.637194,-124.3058372,0.8,158.43,-0.74,0.01,0,0,0.05534,16.4165,-0.176,3.88,0.3244,1.7485,0.0003,0.0001,0.0002,5,0.0001
2022-08-19 02:55:07,44.637194,-124.3058372,0.81,158.47,-1.22,0.34,0,0,0.05533,16.4154,-0.175,3.85,0.3243,1.7367,0.0002,0.0001,0,5,0
2022-08-19 02:55:08,44.637194,-124.3058372,0.79,158.6,-1.56,0.48,0,0,0.05523,16.4146,-0.179,3.8,0.3237,1.7217,0.0001,0.0002,0.0001,5,0
2022-08-19 02:55:09,44.637194,-124.3058372,0.78,158.9,-1.81,0.36,0,0,0.05501,16.414,-0.174,3.75,0.3224,1.7055,0.0001,0.0001,0,5,0
2022-08-19 02:55:10,44.637194,-124.3058372,0.78,159.08,-1.76,0.28,0,0,0.05467,16.4134,-0.184,3.7,0.3203,1.6903,0.0002,0,0,5,0.0001
2022-08-19 02:55:11,44.637194,-124.3058372,0.77,159.08,-1.4,0.52,0,0,0.05435,16.4126,-0.178,3.67,0.3184,1.6797,0.0002,0.0001,0.0001,5,0.0001
2022-08-19 02:55:12,44.637194,-124.3058372,0.76,158.78,-1.12,0.84,0,0,0.05444,16.4115,-0.175,3.65,0.3189,1.6713,0.0001,0.0001,0,5,0
2022-08-19 02:55:13,44.637194,-124.3058372,0.79,158.42,-0.98,0.87,0,0,0.05468,16.4102,-0.188,3.61,0.3204,1.6609,0.0003,0.0001,0,5,0.0001
2022-08-19 02:55:14,44.637194,-124.3058372,0.8,158.27,-1.06,0.53,0,0,0.05479,16.4089,-0.176,3.58,0.3211,1.6507,0,0,0.0001,5,0.0002
2022-08-19 02:55:15,44.637194,-124.3058372,0.8,158.43,-1.19,0.09,0,0,0.05474,16.408,-0.18,3.55,0.3208,1.6413,0.0002,0.0001,0,5,0.0001
2022-08-19 02:55:16,44.637194,-124.3058372,0.79,158.87,-1.35,0.14,0,0,0.05466,16.407,-0.186,3.53,0.3203,1.6324,0.0001,0,0.0001,5,0.0002
2022-08-19 02:55:17,44.637194,-124.3058372,0.78,159.27,-1.4,0.03,0,0,0.05441,16.4062,-0.18,3.5,0.3188,1.6223,0.0003,0.0001,0.0001,5,0.0001
2022-08-19 02:55:18,44.637194,-124.3058372,0.76,159.32,-1.22,0.62,0,0,0.05399,16.4055,-0.181,3.47,0.3163,1.6129,0.0001,0.0001,0,5,0.0001
2022-08-19 02:55:19,44.637194,-124.3058372,0.78,158.95,-0.74,1.17,0,0,0.05377,16.4048,-0.186,3.44,0.315,1.6059,0.0001,0,0.0001,5,0.0001
2022-08-19 02:55:21,44.637194,-124.3058372,0.82,158.54,-0.76,0.55,0,0,0.05455,16.4015,-0.175,3.46,0.3197,1.6092,0,0,0,5,0
2022-08-19 02:55:22,44.637194,-124.3058372,0.83,158.52,-1.23,0.05,0,0,0.05459,16.4002,-0.171,3.49,0.32,1.6203,0.0003,0,0,5,0.0002
2022-08-19 02:55:23,44.637194,-124.3058372,0.81,158.98,-2,0.06,0,0,0.05457,16.3993,-0.18,3.52,0.3198,1.6314,0.0002,0.0001,0.0002,5,0.0002
2022-08-19 02:55:24,44.637194,-124.3058372,0.78,159.34,-2.1,0.46,0,0,0.05435,16.399,-0.184,3.55,0.3185,1.6414,0.0001,0,0.0001,5,0.0001
2022-08-19 02:55:25,44.637194,-124.3058372,0.75,159.46,-1.58,0.87,0,0,0.05386,16.3987,-0.173,3.57,0.3155,1.6463,0.0001,0,0,5,0.0001
2022-08-19 02:55:26,44.637194,-124.3058372,0.79,159.19,-0.53,0.92,0,0,0.05381,16.3977,-0.172,3.62,0.3153,1.664,0.0001,0.0002,0,5,0.0001
2022-08-19 02:55:27,44.637194,-124.3058372,0.79,159.16,-0.29,0.62,0,0,0.05443,16.3959,-0.169,3.69,0.319,1.6844,0.0001,0,0.0001,5,0
2022-08-19 02:55:28,44.637194,-124.3058372,0.8,159.34,-0.37,0.38,0,0,0.05462,16.3939,-0.179,3.72,0.3202,1.6958,0.0002,0,0,5,0.0001
2022-08-19 02:55:29,44.637194,-124.3058372,0.8,159.32,-0.69,0.42,0,0,0.0546,16.393,-0.181,3.75,0.3201,1.7042,0,0.0001,0.0002,5,0.0001
2022-08-19 02:55:30,44.637194,-124.3058372,0.8,159.26,-0.88,0.62,0,0,0.05458,16.3922,-0.177,3.77,0.32,1.7099,0.0004,0,0,5,0.0001
2022-08-19 02:55:31,44.637194,-124.3058372,0.79,159.29,-0.87,0.78,0,0,0.05462,16.3915,-0.188,3.76,0.3202,1.7083,0.0001,0.0002,0,5,0
2022-08-19 02:55:32,44.637194,-124.3058372,0.79,159.41,-0.77,0.73,0,0,0.0546,16.3907,-0.181,3.74,0.3201,1.6999,0,0,0,5,0.0001
2022-08-19 02:55:33,44.637194,-124.3058372,0.79,159.46,-0.74,0.55,0,0,0.05451,16.3899,-0.181,3.7,0.3196,1.6879,0.0002,0,0,5,0.0003
2022-08-19 02:55:34,44.637194,-124.3058372,0.8,159.44,-1.01,0.42,0,0,0.05445,16.389,-0.177,3.66,0.3192,1.6743,0.0002,0,0.0001,5,0
2022-08-19 02:55:35,44.637194,-124.3058372,0.8,159.5,-1.41,0.44,0,0,0.05444,16.3881,-0.179,3.61,0.3192,1.6602,0.0001,0.0001,0.0001,5,0.0001
2022-08-19 02:55:36,44.637194,-124.3058372,0.78,159.72,-1.76,0.61,0,0,0.05436,16.3871,-0.198,3.57,0.3186,1.646,0.0002,0.0001,0,5,0.0001
2022-08-19 02:55:37,44.637194,-124.3058372,0.78,159.56,-1.28,0.96,0,0,0.05405,16.3866,-0.181,3.53,0.3168,1.6328,0,0,0.0001,5,0
2022-08-19 02:55:38,44.637194,-124.3058372,0.8,159.29,-0.44,1.12,0,0,0.05376,16.386,-0.176,3.5,0.315,1.6228,0.0001,0.0001,0,5,0
2022-08-19 02:55:40,44.637194,-124.3058372,0.81,159.34,-0.06,0.09,0,0,0.05432,16.3829,-0.18,3.54,0.3185,1.637,0.0002,0,0,5,0
2022-08-19 02:55:41,44.637194,-124.3058372,0.8,159.42,-0.44,0.15,0,0,0.05429,16.3815,-0.178,3.57,0.3182,1.6466,0,0,0.0001,5,0.0001
2022-08-19 02:55:42,44.637194,-124.3058372,0.79,159.46,-0.9,0.23,0,0,0.05427,16.3807,-0.181,3.58,0.3181,1.6484,0.0001,0.0002,0,5,0.0001
2022-08-19 02:55:43,44.637194,-124.3058372,0.78,159.46,-1.22,0.97,0,0,0.05428,16.3803,-0.175,3.57,0.3182,1.645,0.0001,0.0002,0,5,0
2022-08-19 02:55:44,44.637194,-124.3058372,0.77,159.33,-1.21,1.51,0,0,0.05428,16.3797,-0.179,3.55,0.3182,1.6386,0.0001,0,0,5,0
2022-08-19 02:55:45,44.637194,-124.3058372,0.79,159.13,-0.88,1.48,0,0,0.05422,16.3789,-0.18,3.53,0.3179,1.6343,0,0,0.0002,5,0.0003
2022-08-19 02:55:46,44.637194,-124.3058372,0.82,159.1,-0.69,0.83,0,0,0.05428,16.378,-0.183,3.53,0.3182,1.6338,0.0002,0,0.0001,5,0.0001
