IRLS CTD Data CSV Export. (Version 1.0)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2220,"Deploy new BEP to sea floor.
Recover old BEP.",2022-08-19 16:00:00,2022-08-19 19:51:00

CTD Measurments:
Timestamp,Latitude,Longitude,Depth(m),Heading,Pitch(deg),Roll(deg),Altitude(m),Speed(knots),Conductivity(Sm),Temperature(C),Pressure (dbar),Oxygen (ml/l),Salinity (PSU),v0,v1,v2,v3,v4,v5
2022-08-19 16:00:01,44.369386,-124.9536247,0.78,107.34,-0.24,0.05,0,0,0.43153,17.2738,-0.183,3.37,2.7351,1.6179,0.0003,0.0001,0.0001,5,0.0001
2022-08-19 16:00:02,44.369386,-124.9536247,0.79,107.42,-0.75,0.57,0,0,0.38641,17.2735,-0.173,3.35,2.4322,1.609,0.0002,0.0002,0,5,0
2022-08-19 16:00:03,44.369386,-124.9536247,0.83,108.09,-1.51,1.07,0,0,0.2829,17.2732,-0.169,3.34,1.7478,1.6,0.0001,0.0001,0.0001,5,0.0001
2022-08-19 16:00:04,44.369386,-124.9536247,0.82,108.54,-1.59,0.49,0,0,0.25589,17.2728,-0.166,3.31,1.572,1.5915,0.0001,0.0001,0.0001,5,0.0001
2022-08-19 16:00:05,44.369386,-124.9536247,0.81,108.56,-1.79,0.48,0,0,0.22783,17.2723,-0.174,3.29,1.3907,1.5827,0.0002,0.0002,0.0001,5,0.0003
2022-08-19 16:00:06,44.369386,-124.9536247,0.8,108.41,-1.25,1,0,0,0.26772,17.2719,-0.184,3.26,1.6489,1.5737,0.0001,0.0001,0.0001,5,0
2022-08-19 16:00:07,44.369386,-124.9536247,0.77,107.67,-0.03,0.17,0,0,0.29065,17.2716,-0.175,3.23,1.7986,1.5653,0.0003,0.0001,0,5,0.0001
2022-08-19 16:00:08,44.369386,-124.9536247,0.77,106.87,-0.37,0.18,0,0,0.40243,17.2714,-0.192,3.21,2.5396,1.5617,0.0003,0,0,5,0.0001
2022-08-19 16:00:09,44.369386,-124.9536247,0.77,105.74,0.02,1.09,0,0,0.5709,17.2719,-0.183,3.24,3.686,1.5823,0.0002,0,0,5,0
