IRLS Dive Data CSV Export. (Version 1.2)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2220,"Deploy new BEP to sea floor.
Recover old BEP.",2022-08-19 16:00:00,2022-08-19 19:51:00

Site(s):
Name,Comments

Scientist(s):
Name, Organization

Observations:
Dive Number,Date(UTC),Observation,Latitude,Longitude,Depth(m),Heading,Pitch(deg),Roll(deg),Altitude(m),Speed(knots),Metadata,conductivity_Sm,temperature_C,pressure_db,oxygen_sb43_mll,salinity_psu,File
2220,2022-08-19 14:56:48,"DSC: Please add comment [Focal Length=26] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2200]",0,0,0,0,0,0,0,0,"",-,-,-,-,-,./files/dscs/R2220_31386.jpg
2220,2022-08-19 15:48:10,"Kathryn started logging",0,0,0,0,0,0,0,0,"Logger ",-,-,-,-,-,
2220,2022-08-19 15:56:46,"crane attached",44.369386,-124.9536247,0.81,111.41,1.77,1.08,0,0,"Vehicle ",-,-,-,-,-,
2220,2022-08-19 15:59:50,"ROPOS in air",44.369386,-124.9536247,0.82,108.62,-1.11,1.04,0,0,"Vehicle ",0.27313,17.278,-0.175,3.82,1.6839,
2220,2022-08-19 16:03:03,"Back on deck, attached to new LJ01C",44.369386,-124.9536247,0.83,286.21,-0.56,2.21,0,0,"Vehicle ",0.2409,17.1771,-0.176,3.26,1.4784,
2220,2022-08-19 16:05:27,"in air",44.369386,-124.9536247,0.82,282.26,-1.13,0.2,0,0,"",0.18383,17.1546,-0.174,3.39,1.1127,./files/framegrabs/SDI2_8_19_2022 15_57_26_00479.jpg
2220,2022-08-19 16:20:30,"fully underwater, descending",44.369386,-124.9536247,2.19,293.29,-4.9,0.78,0,0,"Vehicle ",-,-,-,-,-,./files/framegrabs/SDI2_8_19_2022 15_57_26_01380.jpg
2220,2022-08-19 16:23:40,"first football on",44.3694367,-124.9531117,25.78,280.82,6.8,0.4,0.77,0.53,"",3.56572,10.3347,24.073,5,32.2118,
2220,2022-08-19 16:27:21,"bioluminescence",44.3694728,-124.9531602,53.85,287.06,-2.6,0.64,0.82,0.63,"Biology ",3.47165,8.6279,51.914,3.62,32.782,./files/framegrabs/SDI1_8_19_2022 15_57_24_01794.jpg
