IRLS CTD Data CSV Export. (Version 1.0)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2224,"Install MARUM CTDPFA110",2022-08-21 01:28:00,2022-08-21 05:14:00

CTD Measurments:
Timestamp,Latitude,Longitude,Depth(m),Heading,Pitch(deg),Roll(deg),Altitude(m),Speed(knots),Conductivity(Sm),Temperature(C),Pressure (dbar),Oxygen (ml/l),Salinity (PSU),v0,v1,v2,v3,v4,v5
2022-08-21 01:28:01,44.56984,-125.1467779,0.8,350.6,0.87,1.27,0,0,0.11935,17.3588,-0.167,3.6,0.7042,1.6827,0.0001,0.0001,0,5,0
2022-08-21 01:28:02,44.56984,-125.1467779,0.81,350.89,0.4,1.08,0,0,0.15066,17.358,-0.173,3.6,0.8986,1.6837,0.0002,0,0,5,0.0001
2022-08-21 01:28:03,44.56984,-125.1467779,0.81,351.26,-1.06,0.64,0,0,0.17486,17.3567,-0.169,3.59,1.0506,1.6811,0.0002,0.0001,0.0001,5,0.0002
2022-08-21 01:28:04,44.56984,-125.1467779,0.8,351.24,-1.27,0.17,0,0,0.11841,17.3558,-0.183,3.57,0.6984,1.674,0.0002,0.0001,0.0001,5,0.0003
2022-08-21 01:28:05,44.56984,-125.1467779,0.76,350.93,-0.64,0.52,0,0,0.09911,17.3552,-0.175,3.56,0.5801,1.6668,0.0001,0.0001,0.0001,5,0
2022-08-21 01:28:06,44.56984,-125.1467779,0.76,350.65,-0.37,0.71,0,0,0.09857,17.3553,-0.177,3.57,0.5768,1.6726,0,0,0.0003,5,0.0003
2022-08-21 01:28:07,44.56984,-125.1467779,0.76,350.49,-0.13,0.89,0,0,0.09539,17.3557,-0.18,3.64,0.5575,1.6958,0.0004,0,0.0001,5,0.0001
2022-08-21 01:28:08,44.56984,-125.1467779,0.77,350.26,-0.39,0.47,0,0,0.10693,17.3561,-0.17,3.7,0.6279,1.7159,0.0001,0.0001,0.0001,5,0.0001
2022-08-21 01:28:09,44.56984,-125.1467779,0.78,350.56,-1.53,0.94,0,0,0.12116,17.3563,-0.175,3.72,0.7154,1.7237,0.0002,0.0001,0.0001,5,0.0004
2022-08-21 01:28:10,44.56984,-125.1467779,0.79,350.71,-1.49,1.58,0,0,0.10835,17.356,-0.191,3.72,0.6366,1.7207,0.0001,0.0001,0,5,0.0001
