IRLS Dive Data CSV Export. (Version 1.2)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2224,"Install MARUM CTDPFA110",2022-08-21 01:28:00,2022-08-21 05:14:00

Site(s):
Name,Comments

Scientist(s):
Name, Organization

Observations:
Dive Number,Date(UTC),Observation,Latitude,Longitude,Depth(m),Heading,Pitch(deg),Roll(deg),Altitude(m),Speed(knots),Metadata,conductivity_Sm,temperature_C,pressure_db,oxygen_sb43_mll,salinity_psu,File
2224,2022-08-21 00:44:57,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1600]",0,0,0,0,0,0,0,0,"",-,-,-,-,-,./files/dscs/R2224_32059.jpg
2224,2022-08-21 01:18:49,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1400]",44.56984,-125.1467779,0.5,180,0,0,0,0,"",0.1276,17.3604,-0.161,3.59,0.7551,./files/dscs/R2224_32060.jpg
2224,2022-08-21 01:33:32,"off deck",44.56984,-125.1467779,0.79,163.48,-1.33,0.29,0,0,"Vehicle ",0.05969,17.3079,-0.178,3.36,0.3433,
2224,2022-08-21 01:34:12,"Latched basket",44.56984,-125.1467779,0.73,163.16,-0.62,0.23,0,0,"Asset Vehicle ",0.0771,17.3055,-0.181,3.57,0.4474,
2224,2022-08-21 01:38:04,"arnav started logging",44.56984,-125.1467779,0.83,159.22,-0.25,0.78,0,0,"Logger ",0.10012,17.2285,-0.189,3.63,0.5881,
2224,2022-08-21 01:39:19,"basket off deck",44.56984,-125.1467779,0.8,162.36,0.3,3.79,0,0,"Asset Vehicle ",0.3692,17.1987,-0.178,3.69,2.3216,
2224,2022-08-21 01:42:41,"ropos in water",44.56984,-125.1467779,0.82,235.14,-2.65,1.26,0,0,"Asset ",0.14046,17.0432,-0.177,3.57,0.8413,
2224,2022-08-21 01:45:24,"first football on",44.5707467,-125.1459509,26.03,205.21,3.32,0.37,1.81,0,"Vehicle ",3.53278,10.0156,24.578,4.8,32.1632,
2224,2022-08-21 01:50:37,"long cytonophore",44.570617,-125.145998,69.09,203.64,10.52,0.35,2.13,0,"Biology ",-,-,-,-,-,
2224,2022-08-21 01:50:46,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=5600]",44.5706177,-125.1460022,68.87,204.71,2.23,0.46,2.13,0,"",3.51037,8.5547,67.247,3.11,33.2502,./files/dscs/R2224_32061.jpg
2224,2022-08-21 01:54:01,"last football",44.5705976,-125.1458297,90.26,181.51,4.51,1.11,2.11,0.04,"Vehicle ",3.53985,8.494,88.942,2.58,33.6082,
2224,2022-08-21 01:54:56,"another cytonophore",44.5705437,-125.1458118,97.76,182.02,5.59,0.7,2.12,0,"Biology ",3.54549,8.46,96.552,2.51,33.6967,./files/framegrabs/SDI1_8_21_2022 01_21_27_02000.jpg
2224,2022-08-21 01:55:16,"another cytonophore",44.5705091,-125.1458058,103.29,181.5,2.51,0.68,2.12,0,"",3.54731,8.4318,102.515,2.52,33.7401,./files/framegrabs/SDI1_8_21_2022 01_21_27_02021.jpg
2224,2022-08-21 02:00:38,"larvation",44.5702018,-125.1462015,219.69,222.5,0.58,0.32,2.12,0.05,"Biology ",3.46716,7.2251,219.422,1.48,33.9943,./files/framegrabs/SDI2_8_21_2022 01_21_29_02344.jpg
2224,2022-08-21 02:07:04,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=9000]",44.569873,-125.1468584,389.26,223.13,2.88,0.98,1.73,0,"",3.3747,6.019,391.288,0.78,34.0847,./files/dscs/R2224_32062.jpg
2224,2022-08-21 02:08:00,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=9000]",44.5698253,-125.1469658,413.58,223.88,2.02,1.26,1.73,0,"",3.36984,5.9486,415.673,0.72,34.0888,./files/dscs/R2224_32063.jpg
2224,2022-08-21 02:08:05,"some kind of jelly",44.5698196,-125.146979,415.62,223.59,0.67,0.64,1.73,0,"Biology ",3.36503,5.8943,417.677,0.72,34.0882,./files/framegrabs/SDI1_8_21_2022 01_21_27_02793.jpg
2224,2022-08-21 02:08:18,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=9000]",44.5698153,-125.1470007,420.82,222.6,2.14,0.75,1.73,0,"",3.36126,5.8524,423.042,0.73,34.0852,./files/dscs/R2224_32064.jpg
2224,2022-08-21 02:09:12,"larvacean",44.5697711,-125.1470996,443.71,223.48,1.02,0.72,2.12,0.1,"Biology ",3.35449,5.7514,446.083,0.67,34.099,./files/framegrabs/SDI1_8_21_2022 01_21_27_02858.jpg
2224,2022-08-21 02:10:10,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=10000]",44.569706,-125.1471913,467.58,224.8,3,1.01,1.94,0.1,"",3.33687,5.5424,470.174,0.61,34.0983,./files/dscs/R2224_32065.jpg
2224,2022-08-21 02:11:03,"plant?",44.5697744,-125.1470713,491.93,122.11,0.46,2.48,2.12,0.08,"Biology ",3.31731,5.3089,495.031,0.6,34.0993,./files/framegrabs/SDI1_8_21_2022 01_21_27_02967.jpg
2224,2022-08-21 02:16:04,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=12800]",44.5698169,-125.1466085,622.51,170.47,3.33,0.37,2.12,0.03,"",3.27788,4.7001,626.596,0.28,34.2003,./files/dscs/R2224_32066.jpg
2224,2022-08-21 02:23:04,"big red jelly",44.5697877,-125.1463923,770.38,215.02,0.81,2.75,4.46,0.57,"Biology ",3.26301,4.3611,775.875,0.17,34.3007,./files/framegrabs/SDI1_8_21_2022 01_21_27_03690.jpg
2224,2022-08-21 02:23:45,"landed at seafloor",44.5697993,-125.1464013,774.94,180.47,-5.74,5.26,2.17,0.12,"Asset Vehicle ",3.26212,4.3455,780.48,0.17,34.3041,
2224,2022-08-21 02:25:32,"unlatched",44.5698016,-125.1463797,774.09,179.74,-4.57,2.43,3.26,0.39,"Asset ",3.26245,4.3493,779.484,0.17,34.3045,
2224,2022-08-21 02:25:47,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2800]",44.5698228,-125.1463918,774.57,155.22,-5.46,2.33,2.28,0.47,"",3.26209,4.3449,780.151,0.17,34.3046,./files/dscs/R2224_32067.jpg
