IRLS Dive Data CSV Export. (Version 1.2)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2238,"Replace LJ03 structure @ Axial base",2022-08-29 06:22:32,2022-08-29 16:10:32

Site(s):
Name,Comments
"Axial Base",""

Scientist(s):
Name, Organization
"Chief Scientist","Organi"

Observations:
Dive Number,Date(UTC),Observation,Latitude,Longitude,Depth(m),Heading,Pitch(deg),Roll(deg),Altitude(m),Speed(knots),Metadata,conductivity_Sm,temperature_C,pressure_db,oxygen_sb43_mll,salinity_psu,File
2238,2022-08-29 05:50:57,"DSC: Please add comment [Focal Length=24] [F-Stop=9] [Exposure time=0.01] [ISO Equivalent=7200]",0,0,0,0,0,0,0,0,"",-,-,-,-,-,./files/dscs/R2238_40759.jpg
2238,2022-08-29 06:09:47,"DSC: Please add comment [Focal Length=24] [F-Stop=9] [Exposure time=0.01] [ISO Equivalent=8000]",45.816791,-129.754175,0.8,340.26,-0.17,0.04,0,0,"",0.14532,18.1697,-0.193,3.06,0.8486,./files/dscs/R2238_40760.jpg
2238,2022-08-29 06:28:01,"Annika started logging",45.816791,-129.754175,0.81,202.47,-2.49,0.19,0,0,"Logger ",0.14517,18.2396,-0.177,2.82,0.8462,
2238,2022-08-29 06:28:18,"ROV off deck",45.816791,-129.754175,0.79,188.1,-0.54,0.14,0,0,"Vehicle ",0.19083,18.2352,-0.18,2.88,1.1277,
2238,2022-08-29 06:31:36,"LJO3A off deck",45.816791,-129.754175,0.81,148.78,0.02,1.52,0,0,"Asset ",0.41011,18.1787,-0.196,3.61,2.535,
2238,2022-08-29 06:35:44,"ROV in water",0,0,0,0,0,0,0,0,"Vehicle ",-,-,-,-,-,
2238,2022-08-29 06:38:57,"first football on",45.8172589,-129.7546078,31.17,179.59,5.71,0.7,0,0,"Vehicle ",3.93116,14.2186,29.556,5.31,32.3671,
2238,2022-08-29 06:48:12,"McKenna started logging",45.8170996,-129.7546138,97.09,179.42,3.71,0.2,1.22,0,"Logger ",3.38249,7.892,95.798,4.89,32.5023,./files/framegrabs/SDI2_8_29_2022 06_02_10_02759.jpg
2238,2022-08-29 06:49:26,"last football on",45.8170837,-129.7545388,117.88,180.36,2.32,0.26,1.22,0,"Vehicle ",3.39011,7.627,116.578,4.43,32.8223,./files/framegrabs/SDI1_8_29_2022 06_02_08_02830.jpg
2238,2022-08-29 07:01:49,"tiny fish",45.8165873,-129.7543499,346.02,177.51,2.76,0.35,1.22,0,"Biology ",3.31112,5.4984,347.179,1.66,33.9115,./files/framegrabs/SDI1_8_29_2022 06_02_08_03580.jpg
2238,2022-08-29 07:06:24,"DSC: Please add comment [Focal Length=24] [F-Stop=9] [Exposure time=0.01] [ISO Equivalent=10000]",45.8163826,-129.7544366,451.39,177.31,5.73,0.57,1.22,0,"",3.25926,4.7773,453.698,0.94,33.9933,./files/dscs/R2238_40761.jpg
2238,2022-08-29 07:07:18,"jellyfish",45.8163402,-129.7544499,471.55,177.44,2.92,0.49,1.22,0,"Biology ",3.25254,4.6721,473.946,0.86,34.0125,./files/framegrabs/SDI1_8_29_2022 06_02_08_03907.jpg
2238,2022-08-29 07:07:57,"DSC: Please add comment [Focal Length=24] [F-Stop=9] [Exposure time=0.01] [ISO Equivalent=8000]",45.8163137,-129.7544459,486.29,177.34,4.31,0.11,1.22,0,"",3.24848,4.6047,488.88,0.8,34.0266,./files/dscs/R2238_40762.jpg
2238,2022-08-29 07:11:44,"DSC: Please add comment [Focal Length=24] [F-Stop=9] [Exposure time=0.01] [ISO Equivalent=8000]",45.8161552,-129.7544579,573.06,177.23,6.05,0.55,1.22,0,"",3.24285,4.407,576.603,0.4,34.1192,./files/dscs/R2238_40763.jpg
2238,2022-08-29 07:11:55,"leaf (likely from ROPOS)",45.8161474,-129.7544566,576.92,177.26,2.67,0.41,1.22,0,"Biology ",3.24041,4.3673,580.425,0.4,34.1295,./files/framegrabs/SDI1_8_29_2022 06_02_08_04181.jpg
2238,2022-08-29 07:13:18,"DSC: Please add comment [Focal Length=24] [F-Stop=9] [Exposure time=0.01] [ISO Equivalent=8000]",45.816085,-129.7544768,609.01,177.3,6.21,0.49,1.22,0,"",-,-,-,-,-,./files/dscs/R2238_40764.jpg
2238,2022-08-29 07:17:18,"red jellyfish remains",45.8167455,-129.754575,714.99,179.98,0.63,0.01,1.22,0,"Biology ",3.228,4.0745,719.869,0.24,34.215,./files/framegrabs/SDI1_8_29_2022 06_02_08_04504.jpg
2238,2022-08-29 07:19:58,"DSC: Please add comment [Focal Length=24] [F-Stop=9] [Exposure time=0.01] [ISO Equivalent=7200]",45.8170555,-129.7546562,778.8,180.44,-0.4,0.07,1.22,0,"",3.21716,3.8875,784.555,0.2,34.248,./files/dscs/R2238_40765.jpg
2238,2022-08-29 07:21:32,"larvacean",45.8169714,-129.7546813,815.45,180.25,-1.42,0.14,1.22,0,"Biology ",3.21072,3.7693,821.62,0.19,34.2758,./files/framegrabs/SDI1_8_29_2022 06_02_08_04760.jpg
2238,2022-08-29 07:26:09,"green man",45.8168751,-129.7546752,933.87,179.65,1.71,0.76,1.22,0,"Vehicle ",3.19749,3.4944,941.595,0.17,34.3439,./files/framegrabs/SDI1_8_29_2022 06_02_08_05037.jpg
2238,2022-08-29 07:33:54,"caleb started logging",45.8167317,-129.7547248,1131.03,179.78,0.14,0.27,1.22,0,"Logger ",-,-,-,-,-,
2238,2022-08-29 07:35:20,"greenman arms down",45.8166978,-129.7547241,1167.33,179.67,1.23,0.56,1.22,0,"Other ",3.16962,2.9771,1178.042,0.25,34.4323,./files/framegrabs/SDI1_8_29_2022 06_02_08_05584.jpg
