IRLS Dive Data CSV Export. (Version 1.2)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2242,"Swap CTD at MJ03F",2022-08-30 16:41:00,2022-08-30 20:58:00

Site(s):
Name,Comments
"Central Caldera",""

Scientist(s):
Name, Organization

Observations:
Dive Number,Date(UTC),Observation,Latitude,Longitude,Depth(m),Heading,Pitch(deg),Roll(deg),Altitude(m),Speed(knots),Metadata,conductivity_Sm,temperature_C,pressure_db,oxygen_sb43_mll,salinity_psu,File
2242,2022-08-30 16:43:14,"mai started loggin",45.955199,-130.0082901,0.82,243.04,-0.8,0.21,0,0,"Logger ",0.18227,17.5871,-0.152,2.9,1.0913,
2242,2022-08-30 16:43:33,"preparing to launch ROV",45.955199,-130.0082901,0.83,207.31,-2.12,0.26,0,0,"Vehicle ",0.12854,17.5679,-0.145,3.25,0.7571,./files/framegrabs/SDI2_8_30_2022 16_29_46_00819.jpg
2242,2022-08-30 16:50:13,"ROV in water",45.9551991,-130.0082085,11.59,210.46,4.69,-0.15,0,0,"Vehicle ",4.26024,17.9757,9.895,4.45,32.216,./files/framegrabs/SDI2_8_30_2022 16_29_46_01223.jpg
2242,2022-08-30 16:52:24,"first football on",45.9552609,-130.0081897,27.55,215.38,4.36,0.26,1.29,0,"Vehicle ",4.04467,15.778,25.714,5.01,32.1049,
2242,2022-08-30 16:55:42,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=800]",45.9552034,-130.0082158,57.1,213.72,3.26,0.01,2.09,0.2,"",3.56839,10.231,55.534,5.16,32.3173,./files/dscs/R2242_41660.jpg
2242,2022-08-30 17:02:24,"last football on",45.9551248,-130.0083025,93.01,213.22,5.19,0.14,2.1,0.06,"Vehicle ",3.3898,8.0854,91.871,4.99,32.4026,
2242,2022-08-30 17:12:24,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=900]",45.9549957,-130.0088394,270.11,263.85,0.31,0.56,1.41,0.06,"",3.33407,5.8541,270.266,2.31,33.853,./files/dscs/R2242_41661.jpg
2242,2022-08-30 17:13:07,"jelly fish",45.9550152,-130.0088768,286.96,263.33,2.3,0.79,2.1,0.05,"Biology ",3.31641,5.6418,287.672,2.1,33.8572,./files/framegrabs/SDI1_8_30_2022 16_29_44_02601.jpg
2242,2022-08-30 17:13:08,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=900]",45.9550159,-130.0088773,287.59,263.47,2.3,0.49,2.11,0.1,"",3.31557,5.6336,288.221,2.1,33.8556,./files/dscs/R2242_41662.jpg
2242,2022-08-30 17:16:09,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=900]",45.9548961,-130.0089156,357.81,239.79,3.78,0.3,1.54,0,"",3.27483,5.1027,358.95,1.58,33.8903,./files/dscs/R2242_41663.jpg
2242,2022-08-30 17:17:45,"fish",45.9548343,-130.0089383,394.9,239.57,1.9,0.53,1.76,0,"Biology ",3.26089,4.8867,396.477,1.27,33.9298,./files/framegrabs/SDI1_8_30_2022 16_29_44_02879.jpg
2242,2022-08-30 17:19:36,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=900]",45.9547774,-130.0090585,436.83,239.63,3.97,0.26,2.11,0,"",-,-,-,-,-,./files/dscs/R2242_41664.jpg
2242,2022-08-30 17:19:37,"tonopteris worm",45.9547774,-130.0090585,437.01,239.95,2.64,0.3,2.11,0,"Biology ",3.24427,4.6383,438.899,1.09,33.9689,./files/framegrabs/SDI1_8_30_2022 16_29_44_02992.jpg
2242,2022-08-30 17:25:27,"micid shrimp",45.9549998,-130.0084676,580.18,239.55,1.49,0.59,2.11,0,"Biology ",3.23638,4.3403,583.333,0.45,34.1087,./files/framegrabs/SDI1_8_30_2022 16_29_44_03343.jpg
2242,2022-08-30 17:26:27,"jelly",45.9549427,-130.0085848,602.46,239.01,-0.28,1.16,2.11,0,"Biology ",3.23752,4.3121,606.174,0.38,34.1394,./files/framegrabs/SDI1_8_30_2022 16_29_44_03403.jpg
2242,2022-08-30 17:28:20,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=900]",45.9547969,-130.0089023,642.65,240.34,-0.14,0.56,1.82,0,"",3.22709,4.1433,646.827,0.31,34.1705,./files/dscs/R2242_41665.jpg
2242,2022-08-30 17:33:06,"jelly fish",45.9549181,-130.0087889,752.85,240.26,2.35,0.1,1.82,0,"Biology ",3.21755,3.9283,757.916,0.24,34.2239,./files/framegrabs/SDI1_8_30_2022 16_29_44_03798.jpg
2242,2022-08-30 17:33:09,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=900]",45.9549176,-130.0087838,755.18,239.76,3.26,0.4,1.82,0,"",3.21715,3.925,760.361,0.24,34.2213,./files/dscs/R2242_41666.jpg
2242,2022-08-30 17:33:36,"jelly fish",45.9549398,-130.0087556,765.34,240.09,1.91,0.42,1.82,0,"Biology ",3.21892,3.9285,770.647,0.23,34.2333,./files/framegrabs/SDI1_8_30_2022 16_29_44_03831.jpg
2242,2022-08-30 17:33:37,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=900]",45.9549453,-130.0087508,765.66,239.9,1.51,0.42,1.82,0,"",3.21897,3.9288,771.014,0.23,34.2335,./files/dscs/R2242_41667.jpg
2242,2022-08-30 17:36:26,"shrimp?",45.9550888,-130.0085315,831.55,239.69,0.69,0.06,1.82,0,"Biology ",3.20715,3.7267,837.694,0.2,34.2695,./files/framegrabs/SDI1_8_30_2022 16_29_44_04000.jpg
2242,2022-08-30 17:37:41,"fish?",45.9550237,-130.0086601,858.16,240.38,1.38,0.1,1.82,0,"Biology ",-,-,-,-,-,./files/framegrabs/SDI1_8_30_2022 16_29_44_04076.jpg
2242,2022-08-30 17:39:34,"larvacean",45.9549119,-130.008936,898.96,240.14,0.97,0,1.82,0,"Biology ",3.20368,3.6056,905.885,0.17,34.3196,./files/framegrabs/SDI1_8_30_2022 16_29_44_04189.jpg
2242,2022-08-30 17:40:52,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=900]",45.9548589,-130.0090941,928.03,240.15,3.83,0.02,1.82,0,"",3.19982,3.5294,935.673,0.17,34.3382,./files/dscs/R2242_41668.jpg
2242,2022-08-30 17:41:02,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=900]",45.9548566,-130.0091225,931.02,240.08,1.6,0.12,1.82,0,"",3.19969,3.5228,938.332,0.17,34.3422,./files/dscs/R2242_41669.jpg
2242,2022-08-30 17:42:54,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=900]",45.9548933,-130.0090551,975.55,239.9,2.03,0.32,1.82,0,"",3.19386,3.4107,983.49,0.18,34.3669,./files/dscs/R2242_41670.jpg
2242,2022-08-30 17:43:04,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=900]",45.9549014,-130.0090532,979.99,239.31,1.21,0.86,1.82,0,"",3.19282,3.3979,987.87,0.18,34.3656,./files/dscs/R2242_41671.jpg
2242,2022-08-30 17:43:05,"larvacean",45.9549014,-130.0090532,980.25,239.38,1.4,0.32,1.82,0,"Biology ",3.1928,3.3959,988.294,0.18,34.3673,./files/framegrabs/SDI1_8_30_2022 16_29_44_04399.jpg
2242,2022-08-30 17:44:19,"dinner plate jelly",45.9549059,-130.008959,1008.92,239.36,2.01,1.07,2.11,0.04,"Biology ",3.18488,3.2717,1017.322,0.19,34.3879,./files/framegrabs/SDI1_8_30_2022 16_29_44_04477.jpg
2242,2022-08-30 17:44:21,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=900]",45.9549057,-130.0089589,1010.04,239.34,1.83,0.45,2.1,0.03,"",3.18426,3.2606,1018.395,0.19,34.3916,./files/dscs/R2242_41672.jpg
2242,2022-08-30 17:45:43,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=900]",45.9549107,-130.0089475,1039.96,239.22,2.38,1.52,2.09,0.04,"",3.18106,3.1948,1048.854,0.21,34.4068,./files/dscs/R2242_41673.jpg
2242,2022-08-30 17:45:45,"dinner plate jelly",45.9549177,-130.0089515,1041.1,239.53,1.19,0.8,2.09,0,"Biology ",3.18087,3.1909,1050.03,0.21,34.408,./files/framegrabs/SDI1_8_30_2022 16_29_44_04559.jpg
2242,2022-08-30 17:46:24,"dinner plate jelly",45.9548948,-130.0089302,1055.6,239.86,2.56,0.5,2.11,0.03,"Biology ",3.18029,3.173,1064.876,0.22,34.4123,./files/framegrabs/SDI1_8_30_2022 16_29_44_04598.jpg
2242,2022-08-30 17:46:29,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=900]",45.9549003,-130.0089358,1056.6,240.35,0.87,0.19,2.11,0,"",3.18038,3.1731,1065.582,0.22,34.4129,./files/dscs/R2242_41674.jpg
2242,2022-08-30 17:47:32,"laaravacean",45.9548902,-130.0088915,1081.33,240.17,2.61,0.39,2.11,0,"Biology ",3.17871,3.1416,1091.091,0.22,34.4129,./files/framegrabs/SDI1_8_30_2022 16_29_44_04667.jpg
2242,2022-08-30 17:48:10,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=900]",45.9548532,-130.0088224,1094.83,171.99,-0.15,1.14,2.11,0,"",3.176,3.096,1104.309,0.23,34.4215,./files/dscs/R2242_41675.jpg
2242,2022-08-30 17:48:10,"dinner plate jelly",45.9548532,-130.0088224,1094.83,171.99,-0.15,1.14,2.11,0,"Biology ",3.176,3.096,1104.309,0.23,34.4215,./files/framegrabs/SDI1_8_30_2022 16_29_44_04705.jpg
2242,2022-08-30 17:49:47,"dinner plate jelly fish",45.9548146,-130.0088422,1131.73,314.87,1.12,1,2.11,0,"Biology ",3.17126,3.0184,1141.972,0.24,34.4269,./files/framegrabs/SDI1_8_30_2022 16_29_44_04801.jpg
2242,2022-08-30 17:51:48,"dinner plate jelly",45.9548406,-130.0088014,1178.81,322.79,1.69,1.3,2.1,0,"Biology ",3.16474,2.9085,1189.151,0.27,34.4402,./files/framegrabs/SDI1_8_30_2022 16_29_44_04922.jpg
2242,2022-08-30 17:54:56,"dinner plate jelly",45.9549632,-130.008802,1248.9,241.57,0.55,0.47,2.1,0.03,"Biology ",3.15734,2.7733,1260.204,0.31,34.4573,./files/framegrabs/SDI1_8_30_2022 16_29_44_05115.jpg
2242,2022-08-30 17:55:39,"dinner plate jelly",45.9549626,-130.0087137,1265.27,242.33,0.81,0.18,2.1,0.03,"Biology ",3.15595,2.747,1276.925,0.32,34.4598,./files/framegrabs/SDI1_8_30_2022 16_29_44_05153.jpg
2242,2022-08-30 17:59:29,"siphonophores",45.9549496,-130.0088188,1350.59,241.87,1.46,0.16,2.11,0,"Biology ",3.14247,2.5211,1363.553,0.45,34.4912,./files/framegrabs/SDI1_8_30_2022 16_29_44_05384.jpg
2242,2022-08-30 18:06:57,"some kind of jelly ?",45.9549294,-130.0088124,1506.81,241.75,1.92,0.32,2.09,0.05,"Biology ",3.13977,2.3902,1522.57,0.58,34.5168,./files/framegrabs/SDI1_8_30_2022 16_29_44_05832.jpg
2242,2022-08-30 18:07:02,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=800]",45.9549295,-130.0088204,1506.61,242.63,1.27,0.69,2.11,0,"",3.13994,2.3925,1521.739,0.58,34.5168,./files/dscs/R2242_41676.jpg
2242,2022-08-30 18:07:36,"MJ03F detected on sea floor",45.9549032,-130.0087769,1513.41,241.97,1.02,0.79,2.09,0.04,"Vehicle ",3.13944,2.3818,1528.747,0.58,34.5185,./files/framegrabs/SDI1_8_30_2022 16_29_44_05870.jpg
2242,2022-08-30 18:08:28,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=800]",45.954871,-130.0087732,1517.74,240.5,3.8,0.45,2.1,0.08,"",3.13863,2.3683,1533.236,0.59,34.5207,./files/dscs/R2242_41677.jpg
2242,2022-08-30 18:08:35,"MJ03F",45.9548664,-130.0087818,1517.35,242.11,1.63,0.89,2.1,0,"Vehicle ",3.13859,2.3697,1532.959,0.59,34.5189,./files/framegrabs/SDI1_8_30_2022 16_29_44_05930.jpg
2242,2022-08-30 18:09:02,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=0.01] [ISO Equivalent=640]",45.9548712,-130.0088024,1520.39,240.72,0.83,0.33,2.1,0,"",3.139,2.3716,1535.693,0.6,34.5204,./files/dscs/R2242_41678.jpg
2242,2022-08-30 18:09:48,"landing near MJ03F",45.9548694,-130.0088005,1524.65,242.06,-1.14,1.81,2.21,0.03,"Vehicle ",3.13878,2.3669,1540.104,0.6,34.5205,./files/framegrabs/SDI1_8_30_2022 16_29_44_06000.jpg
2242,2022-08-30 18:10:37,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/160] [ISO Equivalent=400]",45.9548744,-130.0088037,1524.59,242.07,-1.09,1.66,2.2,0,"",3.13862,2.365,1540.12,0.6,34.5206,./files/dscs/R2242_41679.jpg
2242,2022-08-30 18:10:46,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/160] [ISO Equivalent=400]",45.954875,-130.0088112,1524.65,242.08,-1.09,1.66,2.21,0,"",3.13857,2.3644,1540.116,0.6,34.5207,./files/dscs/R2242_41680.jpg
2242,2022-08-30 18:11:02,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/160] [ISO Equivalent=400]",45.9548713,-130.0088299,1524.65,242.08,-1.09,1.67,2.21,0,"",3.13856,2.364,1540.115,0.6,34.521,./files/dscs/R2242_41681.jpg
2242,2022-08-30 18:11:38,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/160] [ISO Equivalent=400]",45.9548809,-130.0088001,1524.4,242.43,-5.21,0.29,2.24,0,"",3.13858,2.3643,1540.005,0.6,34.5208,./files/dscs/R2242_41682.jpg
2242,2022-08-30 18:11:54,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/125] [ISO Equivalent=400]",45.9548729,-130.0088124,1523.29,230.41,-3.98,2.06,3.59,0.25,"",3.13869,2.3665,1538.775,0.6,34.5205,./files/dscs/R2242_41683.jpg
2242,2022-08-30 18:12:33,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/125] [ISO Equivalent=400]",45.9548152,-130.0088555,1522.17,317.92,-3.49,3.12,4.41,0.33,"",3.13875,2.3678,1537.63,0.6,34.5204,./files/dscs/R2242_41684.jpg
2242,2022-08-30 18:13:13,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/500] [ISO Equivalent=400]",45.9548035,-130.0089118,1524.21,348.33,-3.35,1.9,2.33,0.11,"",3.13875,2.3672,1539.692,0.6,34.5201,./files/dscs/R2242_41685.jpg
2242,2022-08-30 18:14:03,"right arm grabbing onto MJ03F",45.9548093,-130.0089154,1525.65,344.37,-6.14,1.45,0.88,0.05,"Asset ",3.13874,2.366,1541.25,0.6,34.5204,./files/framegrabs/SDI2_8_30_2022 16_29_46_06254.jpg
2242,2022-08-30 18:14:16,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/800] [ISO Equivalent=400]",45.9548091,-130.0089246,1525.46,6.19,-3.76,1.29,1.17,0,"",3.13875,2.3661,1540.961,0.6,34.5205,./files/dscs/R2242_41686.jpg
2242,2022-08-30 18:15:18,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/1250] [ISO Equivalent=400]",45.9548051,-130.0089188,1525.53,355.42,-1.21,2.68,0.93,0,"",3.13884,2.3667,1541.082,0.6,34.5209,./files/dscs/R2242_41687.jpg
2242,2022-08-30 18:15:30,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/1250] [ISO Equivalent=400]",45.9548042,-130.0089215,1525.51,355.25,-1.66,2.69,0.96,0,"",-,-,-,-,-,./files/dscs/R2242_41688.jpg
2242,2022-08-30 18:15:32,"left arm pulling pole handle",45.9548037,-130.0089215,1525.52,355.07,-1.36,2.71,0.96,0,"Asset ",3.13915,2.3688,1541.064,0.6,34.5225,./files/framegrabs/SDI1_8_30_2022 16_29_44_06346.jpg
2242,2022-08-30 18:19:04,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/500] [ISO Equivalent=400]",45.9547596,-130.0088964,1525.8,333.55,-1.73,0.1,0.69,0.03,"",3.13879,2.3671,1541.213,0.6,34.5199,./files/dscs/R2242_41689.jpg
2242,2022-08-30 18:19:08,"left arm moving pole handle towards CTD",45.9547598,-130.0088975,1525.86,333.17,0.32,0.5,0.65,0,"Asset ",3.13885,2.3665,1541.219,0.6,34.5212,./files/framegrabs/SDI1_8_30_2022 16_29_44_06558.jpg
2242,2022-08-30 18:19:20,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/800] [ISO Equivalent=400]",45.9547617,-130.0089002,1525.86,333.16,-0.24,0.32,0.66,0,"",3.13865,2.3642,1541.214,0.6,34.5212,./files/dscs/R2242_41690.jpg
2242,2022-08-30 18:19:36,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/800] [ISO Equivalent=400]",45.9547622,-130.0088994,1525.83,333.15,-0.39,0.27,0.66,0,"",3.1386,2.3637,1541.216,0.6,34.5212,./files/dscs/R2242_41691.jpg
2242,2022-08-30 18:20:12,"right arm grabbing onto CTD",45.9547541,-130.0088994,1525.84,333.15,-0.42,0.26,0.66,0,"Asset ",3.1385,2.3627,1541.21,0.6,34.521,./files/framegrabs/SDI1_8_30_2022 16_29_44_06626.jpg
2242,2022-08-30 18:20:41,"right arm lifting CTD upwards",45.9547497,-130.0089045,1525.83,333.14,-1.66,0.14,0.69,0,"Asset ",3.13856,2.363,1541.222,0.6,34.5214,./files/framegrabs/SDI1_8_30_2022 16_29_44_06649.jpg
2242,2022-08-30 18:20:46,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/800] [ISO Equivalent=400]",45.9547497,-130.008908,1525.84,333.14,-1.66,0.13,0.68,0,"",3.13859,2.3633,1541.217,0.6,34.5214,./files/dscs/R2242_41692.jpg
2242,2022-08-30 18:21:33,"right arm moving upwards with CTD",45.9547778,-130.0089027,1524.34,327.49,-6.54,2.42,2.2,0.22,"Asset ",3.14099,2.3892,1539.971,0.6,34.5239,./files/framegrabs/SDI1_8_30_2022 16_29_44_06703.jpg
2242,2022-08-30 18:22:10,"ROPOS moving CTD towards tool basket",45.9548097,-130.0088788,1522.03,22.44,-5.41,1.87,4.64,0.4,"Vehicle ",3.13892,2.3723,1537.378,0.59,34.5178,./files/framegrabs/SDI2_8_30_2022 16_29_46_06742.jpg
2242,2022-08-30 18:23:32,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/800] [ISO Equivalent=400]",45.9548906,-130.0087752,1524.5,250.23,-6.36,0.58,2.42,0.1,"",3.13883,2.3665,1540.045,0.6,34.5216,./files/dscs/R2242_41693.jpg
2242,2022-08-30 18:23:42,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/400] [ISO Equivalent=400]",45.9548913,-130.0087728,1525.64,250.04,-6.02,2.18,1.32,0,"",3.13868,2.3651,1541.124,0.6,34.5207,./files/dscs/R2242_41694.jpg
2242,2022-08-30 18:23:59,"setting down CTD on sea floor",45.9548884,-130.0087714,1526.38,250.85,-2.93,1,0.65,0,"Vehicle ",3.13883,2.3669,1541.771,0.6,34.5204,./files/framegrabs/SDI1_8_30_2022 16_29_44_06851.jpg
2242,2022-08-30 18:25:12,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/640] [ISO Equivalent=400]",45.9548904,-130.0087553,1526.31,250.84,-2.93,1.01,0.65,0,"",3.13875,2.3656,1541.778,0.6,34.5207,./files/dscs/R2242_41695.jpg
2242,2022-08-30 18:26:14,"right arm lets go of CTD",45.9548923,-130.0087496,1526.35,250.84,-2.91,1.05,0.65,0,"Asset ",3.13872,2.3651,1541.787,0.6,34.5208,./files/framegrabs/SDI1_8_30_2022 16_29_44_06988.jpg
2242,2022-08-30 18:26:41,"left arm releases rope",45.9548919,-130.0087456,1526.37,250.85,-2.9,1.05,0.65,0,"Asset ",3.13868,2.3647,1541.787,0.6,34.5207,./files/framegrabs/SDI1_8_30_2022 16_29_44_07017.jpg
2242,2022-08-30 18:26:53,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/500] [ISO Equivalent=400]",45.9548912,-130.0087437,1526.41,250.83,-2.9,1.05,0.64,0,"",3.13868,2.3649,1541.777,0.6,34.5206,./files/dscs/R2242_41696.jpg
2242,2022-08-30 18:27:25,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/320] [ISO Equivalent=400]",45.9549118,-130.0087553,1525.3,207.93,-3.96,1.53,1.88,0.5,"",-,-,-,-,-,./files/dscs/R2242_41697.jpg
2242,2022-08-30 18:27:28,"CTD placed next to tool basket",45.9549157,-130.0087642,1525.27,197.39,-3.51,1.79,1.94,0.59,"Vehicle ",3.13863,2.3653,1540.629,0.6,34.5202,./files/framegrabs/SDI1_8_30_2022 16_29_44_07062.jpg
2242,2022-08-30 18:27:35,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/320] [ISO Equivalent=400]",45.9549184,-130.0087883,1524.92,168.41,-3.35,1.01,2.21,0.58,"",3.13879,2.3658,1540.421,0.6,34.5216,./files/dscs/R2242_41698.jpg
2242,2022-08-30 18:27:45,"DSC: Please add comment [Focal Length=24] [F-Stop=2.8] [Exposure time=1/320] [ISO Equivalent=400]",45.9549086,-130.00881,1525.24,144.91,-2.09,0.08,1.85,0.48,"",3.13861,2.3645,1540.674,0.6,34.5207,./files/dscs/R2242_41699.jpg
2242,2022-08-30 18:28:45,"left arm grabbing onto blue rope in basket",45.9548882,-130.0088102,1526.56,155.43,0.84,1.72,0.61,0,"Asset ",3.13899,2.3672,1541.864,0.6,34.5219,
2242,2022-08-30 18:29:26,"right arm fully opens tool basket",45.9548908,-130.0088135,1526.55,155.04,0.89,1.72,0.6,0,"Asset ",3.13865,2.3641,1541.859,0.6,34.521,./files/framegrabs/SDI1_8_30_2022 16_29_44_07182.jpg
