stream,param,test_executed,1,2,3,4,9,total,pass,not_evaluated,interesting,,missing_data
CE04OSPS-PC01B-4A-CTDPFA109-streamed-ctdpf_optode_sample,corrected_dissolved_oxygen,climatology_test,209270604,0,640093,0,1,209910698,99.7,0,0.3,,0
CE04OSBP-LJ01C-06-CTDBPO108-streamed-ctdbp_no_sample,corrected_dissolved_oxygen,climatology_test,279193281,0,1125706,0,1,280318988,99.6,0,0.4,,0
RS03AXPS-PC03A-4A-CTDPFA303-streamed-ctdpf_optode_sample,corrected_dissolved_oxygen,climatology_test,254572816,0,2364229,0,0,256937045,99.08,0,0.92,,0
CE02SHBP-LJ01D-06-CTDBPN106-streamed-ctdbp_no_sample,corrected_dissolved_oxygen,climatology_test,255113023,0,4921697,0,2,260034722,98.11,0,1.89,,0
RS03AXPS-SF03A-2A-CTDPFA302-streamed-ctdpf_sbe43_sample,corrected_dissolved_oxygen,climatology_test,224943371,144893,14113347,0,0,239201611,94.04,0.06,5.9,,0
RS01SLBS-LJ01A-12-CTDPFB101-streamed-ctdpf_optode_sample,corrected_dissolved_oxygen,climatology_test,256384776,0,26828437,0,0,283213213,90.53,0,9.47,,0
RS01SBPS-PC01A-4A-CTDPFA103-streamed-ctdpf_optode_sample,corrected_dissolved_oxygen,climatology_test,228493488,0,28837988,0,0,257331476,88.79,0,11.21,,0
RS03AXBS-LJ03A-12-CTDPFB301-streamed-ctdpf_optode_sample,corrected_dissolved_oxygen,climatology_test,241274334,0,44332838,0,4,285607176,84.48,0,15.52,,0
RS01SBPS-SF01A-2A-CTDPFA102-streamed-ctdpf_sbe43_sample,corrected_dissolved_oxygen,climatology_test,163430428,47161140,2839431,0,0,213430999,76.57,22.1,1.33,,0
,,,,,,,,,,,,,
RS03AXPS-PC03A-4A-CTDPFA303-streamed-ctdpf_optode_sample,dissolved_oxygen,climatology_test,254897948,0,2039097,0,0,256937045,99.21,0,0.79,,0
CE02SHBP-LJ01D-06-CTDBPN106-streamed-ctdbp_no_sample,dissolved_oxygen,climatology_test,237717905,0,22316815,0,2,260034722,91.42,0,8.58,,0
CE04OSBP-LJ01C-06-CTDBPO108-streamed-ctdbp_no_sample,dissolved_oxygen,climatology_test,246893018,0,33425968,0,2,280318988,88.08,0,11.92,,0
RS01SBPS-PC01A-4A-CTDPFA103-streamed-ctdpf_optode_sample,dissolved_oxygen,climatology_test,223748257,0,33583219,0,0,257331476,86.95,0,13.05,,0
RS01SLBS-LJ01A-12-CTDPFB101-streamed-ctdpf_optode_sample,dissolved_oxygen,climatology_test,244136839,0,39076374,0,0,283213213,86.2,0,13.8,,0
