Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
TN422,Oregon Offshore Shallow Profiler,CE04OSPS,44.3715,-124.9615,2023-08-15T06:40:20.000Z,CTD-001,*0000000000000100,582,TN422_CTD-001,*0000000000000100,1,*0000000000000100,2023-08-15T07:01:24.000Z,221.270,*0000000001000100,219.369,44.37156,-124.96153,7.3116,*0000000000000100,7.3191,*0000000000000100,3.472921,*0000000000000100,3.473360,*0000000000000100,33.9712,33.9686,1.9494,*0000000010000100,6.74864,-0.0475,*0000000000000100,0.0488,98.7875,*0000000001000100,-9999999,*0000000011000100,1.8759234459343763,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,2.4434268482164088,37.32758157413794,34.41433905133769,0.04328748469084426,1.7489014046373366,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2253.36,*0000000000000100,*0000000000000100,991.35,24.1,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2288.26,-9999999,-9999999,7.669,47.92,2151.01,54.43,1.211,0.785
TN422,Oregon Offshore Shallow Profiler,CE04OSPS,44.3715,-124.9615,2023-08-15T06:40:20.000Z,CTD-001,*0000000000000100,582,TN422_CTD-001,*0000000000000100,3,*0000000000000100,2023-08-15T07:03:24.000Z,201.223,*0000000001000100,199.504,44.37158,-124.96151,7.4214,*0000000000000100,7.4225,*0000000000000100,3.480986,*0000000000000100,3.480943,*0000000000000100,33.9610,33.9594,2.0084,*0000000010000100,6.73223,-0.0489,*0000000000000100,0.0450,98.8814,*0000000001000100,-9999999,*0000000011000100,1.8676740119125415,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,2.381401902497027,36.00551304482759,33.71290585933412,0.03317322057074913,1.2679260190249702,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2249.47,*0000000000000100,*0000000000000100,973.37,23.9,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2287.06,-9999999,-9999999,7.677,46.88,2147.05,55.54,1.241,0.804
TN422,Oregon Offshore Shallow Profiler,CE04OSPS,44.3715,-124.9615,2023-08-15T06:40:20.000Z,CTD-001,*0000000000000100,582,TN422_CTD-001,*0000000000000100,5,*0000000000000100,2023-08-15T07:05:16.000Z,181.752,*0000000001000100,180.208,44.37158,-124.96150,7.5816,*0000000000000100,7.5736,*0000000000000100,3.493219,*0000000010000100,3.492313,*0000000010000100,33.9461,33.9442,2.0898,*0000000010000100,6.70840,-0.0431,*0000000010000100,0.0487,98.7903,*0000000001000100,-9999999,*0000000011000100,1.9873032863483733,*0000000000000100,*0000000000000100,0.010545661318761142,0.06907369544170716,1.1304347826086956,*0000000000000100,*0000000000000100,2.3838633158739597,34.59336830172414,33.21943424456004,0.031380477199762204,0.6559488497621879,*0000000000000100,*0000000000000100,33.94886101314804,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2279.06,*0000000000000100,*0000000000000100,1032.61,23.7,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2311.62,-9999999,-9999999,7.659,49.46,2175.42,54.18,1.215,0.787
TN422,Oregon Offshore Shallow Profiler,CE04OSPS,44.3715,-124.9615,2023-08-15T06:40:20.000Z,CTD-001,*0000000000000100,582,TN422_CTD-001,*0000000000000100,7,*0000000000000100,2023-08-15T07:07:07.000Z,161.066,*0000000001000100,159.706,44.37154,-124.96150,7.6304,*0000000000000100,7.6312,*0000000000000100,3.494925,*0000000000000100,3.494865,*0000000000000100,33.9268,33.9255,2.2917,*0000000010000100,6.70182,-0.0425,*0000000010000100,0.0296,99.2624,*0000000001000100,-9999999,*0000000011000100,2.1579196659907303,*0000000000000100,*0000000000000100,0.02343480293058033,0.13638086245093936,1.144404332129964,*0000000000000100,*0000000000000100,2.296922153864447,33.96435476896552,32.26923494839477,0.03314505802615935,0.8877894882282997,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2237.41,*0000000000000100,*0000000000000100,960.64,23.7,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2277.02,-9999999,-9999999,7.683,45.94,2135.23,56.25,1.267,0.821
TN422,Oregon Offshore Shallow Profiler,CE04OSPS,44.3715,-124.9615,2023-08-15T06:40:20.000Z,CTD-001,*0000000000000100,582,TN422_CTD-001,*0000000000000100,9,*0000000000000100,2023-08-15T07:08:56.000Z,140.804,*0000000001000100,139.622,44.37158,-124.96148,7.8341,*0000000000000100,7.8361,*0000000000000100,3.507590,*0000000010000100,3.507573,*0000000010000100,33.8748,33.8727,2.5622,*0000000010000100,6.67326,-0.0436,*0000000010000100,0.0258,99.3580,*0000000001000100,-9999999,*0000000011000100,2.3812438194323593,*0000000000000100,*0000000000000100,0.01699023212467073,0.11051612906419517,1.1312217194570136,*0000000000000100,*0000000000000100,2.236295778537455,30.15526584310345,31.191513286355526,0.05452157167063021,0.8332245326991676,*0000000000000100,*0000000000000100,33.878365297566006,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2224.99,*0000000000000100,*0000000000000100,961.68,24.1,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2264.6,-9999999,-9999999,7.682,45.69,2123.25,56.04,1.268,0.821
TN422,Oregon Offshore Shallow Profiler,CE04OSPS,44.3715,-124.9615,2023-08-15T06:40:20.000Z,CTD-001,*0000000000000100,582,TN422_CTD-001,*0000000000000100,11,*0000000000000100,2023-08-15T07:10:51.000Z,121.507,*0000000001000100,120.492,44.37158,-124.96152,8.0090,*0000000000000100,8.0090,*0000000000000100,3.519541,*0000000000000100,3.519430,*0000000000000100,33.8427,33.8414,2.8060,*0000000010000100,6.64837,-0.0489,*0000000000000100,0.0285,99.2899,*0000000001000100,-9999999,*0000000011000100,2.628977769664266,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,2.147478482996433,28.936368255172415,30.280190394649228,0.03478301985731273,1.3950969642092745,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2211.5,*0000000000000100,*0000000000000100,913.89,24.0,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2257.7,-9999999,-9999999,7.703,43.16,2109.64,58.7,1.333,0.864
TN422,Oregon Offshore Shallow Profiler,CE04OSPS,44.3715,-124.9615,2023-08-15T06:40:20.000Z,CTD-001,*0000000000000100,582,TN422_CTD-001,*0000000000000100,13,*0000000000000100,2023-08-15T07:12:46.000Z,100.307,*0000000001000100,99.475,44.37158,-124.96154,8.2128,*0000000000000100,8.2187,*0000000000000100,3.527904,*0000000010000100,3.528374,*0000000010000100,33.7455,33.7447,2.9488,*0000000010000100,6.62216,-0.0449,*0000000010000100,0.0326,99.1876,*0000000001000100,-9999999,*0000000011000100,2.594314156616333,*0000000000000100,*0000000000000100,0.02343480293058033,0.11964925849402935,1.1612903225806452,*0000000000000100,*0000000000000100,2.20505945,27.396318150000003,29.736841125,0.054577875,0.36012925,*0000000000000100,*0000000000000100,33.72042092447531,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2209.8,*0000000000000100,*0000000000000100,951.44,23.8,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2251.59,-9999999,-9999999,7.687,44.64,2108.36,56.8,1.296,0.84
TN422,Oregon Offshore Shallow Profiler,CE04OSPS,44.3715,-124.9615,2023-08-15T06:40:20.000Z,CTD-001,*0000000000000100,582,TN422_CTD-001,*0000000000000100,15,*0000000000000100,2023-08-15T07:14:46.000Z,80.561,*0000000001000100,79.897,44.37156,-124.96150,8.4458,*0000000000000100,8.4489,*0000000000000100,3.523858,*0000000000000100,3.523846,*0000000000000100,33.4892,33.4861,3.5240,*0000000010000100,6.59865,-0.0067,*0000000010000100,0.0214,99.4661,*0000000001000100,-9999999,*0000000011000100,3.2723663298459127,*0000000000000100,*0000000000000100,0.022848932857315814,0.14677491415411661,1.1326530612244898,*0000000000000100,*0000000000000100,1.8649179864447085,21.422110293103447,25.53190477740785,0.03377051985731271,1.3486053193816885,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2192.21,*0000000000000100,*0000000000000100,775.47,23.7,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2260.17,-9999999,-9999999,7.773,36.15,2087.34,68.71,1.578,1.023
TN422,Oregon Offshore Shallow Profiler,CE04OSPS,44.3715,-124.9615,2023-08-15T06:40:20.000Z,CTD-001,*0000000000000100,582,TN422_CTD-001,*0000000000000100,17,*0000000000000100,2023-08-15T07:16:52.000Z,60.099,*0000000001000100,59.606,44.37156,-124.96150,8.9745,*0000000000000100,8.9790,*0000000000000100,3.512118,*0000000000000100,3.512052,*0000000000000100,32.8799,32.8751,4.7663,*0000000010000100,6.54718,0.2762,*0000000000000100,0.0336,99.1621,*0000000001000100,-9999999,*0000000011000100,4.459213267728493,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,1.3744765440546969,11.657970474137931,16.461089846700357,0.05486154925683709,1.7667542464922712,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2124.93,*0000000000000100,*0000000000000100,588.21,23.7,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2226.91,-9999999,-9999999,7.881,27.04,2012.65,85.25,1.975,1.281
TN422,Oregon Offshore Shallow Profiler,CE04OSPS,44.3715,-124.9615,2023-08-15T06:40:20.000Z,CTD-001,*0000000000000100,582,TN422_CTD-001,*0000000000000100,19,*0000000000000100,2023-08-15T07:18:57.000Z,40.541,*0000000001000100,40.210,44.37158,-124.96150,9.3838,*0000000000000100,9.4193,*0000000000000100,3.504552,*0000000010000100,3.506958,*0000000010000100,32.4357,32.4282,6.2527,*0000000010000100,6.50679,0.8518,*0000000010000100,0.0823,97.9654,*0000000001000100,-9999999,*0000000011000100,5.777345317384867,*0000000000000100,*0000000000000100,0.09315334164905684,0.6309212433827383,1.1266932270916334,*0000000000000100,*0000000000000100,0.857774529726516,6.790939117241379,5.982975427705114,0.2725774683709869,1.3641297468489892,*0000000000000100,*0000000000000100,32.42835567445679,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2045.13,*0000000000000100,*0000000000000100,411.0,23.9,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2194.72,-9999999,-9999999,8.018,18.73,1915.17,111.23,2.597,1.686
