"id","ts","event_value","event_author","event_free_text","event_option.actions","event_option.filename","event_option.milestone","event_option.nav","event_option.new_watchstander","event_option.type","vehicleReNavData.altitude_uom","vehicleReNavData.altitude_value","vehicleReNavData.depth_uom","vehicleReNavData.depth_value","vehicleReNavData.heading_uom","vehicleReNavData.heading_value","vehicleReNavData.latitude_uom","vehicleReNavData.latitude_value","vehicleReNavData.longitude_uom","vehicleReNavData.longitude_value","vehicleReNavData.pitch_uom","vehicleReNavData.pitch_value","vehicleReNavData.roll_uom","vehicleReNavData.roll_value","vehicleRealtimeFramegrabberData.camera_name_2_uom","vehicleRealtimeFramegrabberData.camera_name_2_value","vehicleRealtimeFramegrabberData.camera_name_3_uom","vehicleRealtimeFramegrabberData.camera_name_3_value","vehicleRealtimeFramegrabberData.camera_name_4_uom","vehicleRealtimeFramegrabberData.camera_name_4_value","vehicleRealtimeFramegrabberData.camera_name_uom","vehicleRealtimeFramegrabberData.camera_name_value","vehicleRealtimeFramegrabberData.filename_2_uom","vehicleRealtimeFramegrabberData.filename_2_value","vehicleRealtimeFramegrabberData.filename_3_uom","vehicleRealtimeFramegrabberData.filename_3_value","vehicleRealtimeFramegrabberData.filename_4_uom","vehicleRealtimeFramegrabberData.filename_4_value","vehicleRealtimeFramegrabberData.filename_uom","vehicleRealtimeFramegrabberData.filename_value","vehicleRealtimeNavData.altitude_uom","vehicleRealtimeNavData.altitude_value","vehicleRealtimeNavData.depth_uom","vehicleRealtimeNavData.depth_value","vehicleRealtimeNavData.heading_uom","vehicleRealtimeNavData.heading_value","vehicleRealtimeNavData.latitude_uom","vehicleRealtimeNavData.latitude_value","vehicleRealtimeNavData.local_x_uom","vehicleRealtimeNavData.local_x_value","vehicleRealtimeNavData.local_y_uom","vehicleRealtimeNavData.local_y_value","vehicleRealtimeNavData.longitude_uom","vehicleRealtimeNavData.longitude_value","vehicleRealtimeNavData.pitch_uom","vehicleRealtimeNavData.pitch_value","vehicleRealtimeNavData.roll_uom","vehicleRealtimeNavData.roll_value","vehicleTemperatureProbe.probe1_temperature_uom","vehicleTemperatureProbe.probe1_temperature_value","vehicleTemperatureProbe.probe2_temperature_uom","vehicleTemperatureProbe.probe2_temperature_value","vehicleTemperatureProbe.probe3_temperature_uom","vehicleTemperatureProbe.probe3_temperature_value","vehicleTemperatureProbe.probe4_temperature_uom","vehicleTemperatureProbe.probe4_temperature_value"
"64e498c295482d0019b1e21b","2023-08-22T11:15:14.837Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_111514837.jpg",,"/BrowCam.20230822_111514837.jpg",,"/UserSelect.20230822_111514837.jpg",,"/SciCam.20230822_111514837.jpg","meters","0.00","meters","0.42","deg","176.56","ddeg","44.6336784","meters","0.00","meters","0.00","ddeg","-124.3080789","deg","0.0","deg","-1.4","degC","10.80","degC","-999.99","degC","-999.99","degC","-999.99"
"64e498e095482d0019b1e21f","2023-08-22T11:15:44.884Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_111544884.jpg",,"/BrowCam.20230822_111544884.jpg",,"/UserSelect.20230822_111544884.jpg",,"/SciCam.20230822_111544884.jpg","meters","0.00","meters","0.43","deg","176.85","ddeg","44.6336784","meters","0.00","meters","0.00","ddeg","-124.3080789","deg","0.4","deg","-2.0","degC","10.76","degC","-999.99","degC","-999.99","degC","-999.99"
"64e498fe95482d0019b1e223","2023-08-22T11:16:14.930Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_111614930.jpg",,"/BrowCam.20230822_111614930.jpg",,"/UserSelect.20230822_111614930.jpg",,"/SciCam.20230822_111614930.jpg","meters","0.00","meters","0.44","deg","176.62","ddeg","44.6336784","meters","0.00","meters","0.00","ddeg","-124.3080789","deg","0.2","deg","-2.3","degC","10.77","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4991c95482d0019b1e227","2023-08-22T11:16:44.975Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_111644975.jpg",,"/BrowCam.20230822_111644975.jpg",,"/UserSelect.20230822_111644975.jpg",,"/SciCam.20230822_111644975.jpg","meters","0.00","meters","0.43","deg","174.23","ddeg","44.6336784","meters","0.00","meters","0.00","ddeg","-124.3080789","deg","0.3","deg","-2.0","degC","10.78","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4993a95482d0019b1e22b","2023-08-22T11:17:14.997Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_111714997.jpg",,"/BrowCam.20230822_111714997.jpg",,"/UserSelect.20230822_111714997.jpg",,"/SciCam.20230822_111714997.jpg","meters","0.00","meters","0.43","deg","174.23","ddeg","44.6336784","meters","0.00","meters","0.00","ddeg","-124.3080789","deg","0.2","deg","-2.2","degC","10.78","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4995995482d0019b1e22f","2023-08-22T11:17:45.038Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_111745038.jpg",,"/BrowCam.20230822_111745038.jpg",,"/UserSelect.20230822_111745038.jpg",,"/SciCam.20230822_111745038.jpg","meters","0.00","meters","0.41","deg","175.79","ddeg","44.6336784","meters","0.00","meters","0.00","ddeg","-124.3080789","deg","0.9","deg","-1.4","degC","10.80","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4997795482d0019b1e233","2023-08-22T11:18:15.065Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_111815065.jpg",,"/BrowCam.20230822_111815065.jpg",,"/UserSelect.20230822_111815065.jpg",,"/SciCam.20230822_111815065.jpg","meters","0.00","meters","0.44","deg","174.54","ddeg","44.6336784","meters","0.00","meters","0.00","ddeg","-124.3080789","deg","0.0","deg","-2.5","degC","10.81","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4999595482d0019b1e237","2023-08-22T11:18:45.108Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_111845108.jpg",,"/BrowCam.20230822_111845108.jpg",,"/UserSelect.20230822_111845108.jpg",,"/SciCam.20230822_111845108.jpg","meters","0.00","meters","0.42","deg","174.53","ddeg","44.6336784","meters","0.00","meters","0.00","ddeg","-124.3080789","deg","0.2","deg","-2.1","degC","10.75","degC","-999.99","degC","-999.99","degC","-999.99"
"64e499b395482d0019b1e23b","2023-08-22T11:19:15.168Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_111915168.jpg",,"/BrowCam.20230822_111915168.jpg",,"/UserSelect.20230822_111915168.jpg",,"/SciCam.20230822_111915168.jpg","meters","0.00","meters","0.42","deg","174.59","ddeg","44.6336784","meters","0.00","meters","0.00","ddeg","-124.3080789","deg","0.3","deg","-1.8","degC","10.79","degC","-999.99","degC","-999.99","degC","-999.99"
"64e499d195482d0019b1e23f","2023-08-22T11:19:45.213Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_111945213.jpg",,"/BrowCam.20230822_111945213.jpg",,"/UserSelect.20230822_111945213.jpg",,"/SciCam.20230822_111945213.jpg","meters","0.00","meters","0.43","deg","175.04","ddeg","44.6336784","meters","0.00","meters","0.00","ddeg","-124.3080789","deg","0.3","deg","-1.8","degC","10.77","degC","-999.99","degC","-999.99","degC","-999.99"
"64e499ef95482d0019b1e243","2023-08-22T11:20:15.273Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_112015273.jpg",,"/BrowCam.20230822_112015273.jpg",,"/UserSelect.20230822_112015273.jpg",,"/SciCam.20230822_112015273.jpg","meters","0.00","meters","0.43","deg","175.08","ddeg","44.6336784","meters","0.00","meters","0.00","ddeg","-124.3080789","deg","0.6","deg","-1.2","degC","10.77","degC","-999.99","degC","-999.99","degC","-999.99"
"64e49a0d95482d0019b1e247","2023-08-22T11:20:45.314Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_112045314.jpg",,"/BrowCam.20230822_112045314.jpg",,"/UserSelect.20230822_112045314.jpg",,"/SciCam.20230822_112045314.jpg","meters","0.00","meters","0.43","deg","175.38","ddeg","44.6336784","meters","0.00","meters","0.00","ddeg","-124.3080789","deg","-0.5","deg","-2.0","degC","10.82","degC","-999.99","degC","-999.99","degC","-999.99"
"64e49a2b95482d0019b1e24b","2023-08-22T11:21:15.335Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_112115335.jpg",,"/BrowCam.20230822_112115335.jpg",,"/UserSelect.20230822_112115335.jpg",,"/SciCam.20230822_112115335.jpg","meters","0.00","meters","0.44","deg","174.44","ddeg","44.6336784","meters","0.00","meters","0.00","ddeg","-124.3080789","deg","0.1","deg","-1.4","degC","10.79","degC","-999.99","degC","-999.99","degC","-999.99"
"64e49a4995482d0019b1e24f","2023-08-22T11:21:45.400Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_112145400.jpg",,"/BrowCam.20230822_112145400.jpg",,"/UserSelect.20230822_112145400.jpg",,"/SciCam.20230822_112145400.jpg","meters","0.00","meters","0.45","deg","174.83","ddeg","44.6336784","meters","0.00","meters","0.00","ddeg","-124.3080789","deg","-0.9","deg","-2.4","degC","10.77","degC","-999.99","degC","-999.99","degC","-999.99"
"64e49a6795482d0019b1e253","2023-08-22T11:22:15.449Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_112215449.jpg",,"/BrowCam.20230822_112215449.jpg",,"/UserSelect.20230822_112215449.jpg",,"/SciCam.20230822_112215449.jpg","meters","0.00","meters","0.44","deg","175.11","ddeg","44.6336784","meters","0.00","meters","0.00","ddeg","-124.3080789","deg","0.5","deg","-1.4","degC","10.79","degC","-999.99","degC","-999.99","degC","-999.99"
"64e49a8595482d0019b1e257","2023-08-22T11:22:45.502Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_112245502.jpg",,"/BrowCam.20230822_112245502.jpg",,"/UserSelect.20230822_112245502.jpg",,"/SciCam.20230822_112245502.jpg","meters","0.00","meters","0.44","deg","174.80","ddeg","44.6336784","meters","0.00","meters","0.00","ddeg","-124.3080789","deg","-0.3","deg","-1.6","degC","10.78","degC","-999.99","degC","-999.99","degC","-999.99"
"64e49aa395482d0019b1e25b","2023-08-22T11:23:15.523Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_112315523.jpg",,"/BrowCam.20230822_112315523.jpg",,"/UserSelect.20230822_112315523.jpg",,"/SciCam.20230822_112315523.jpg","meters","0.00","meters","0.46","deg","174.47","ddeg","44.6336784","meters","0.00","meters","0.00","ddeg","-124.3080789","deg","-0.0","deg","-2.1","degC","10.81","degC","-999.99","degC","-999.99","degC","-999.99"
