"id","ts","event_value","event_author","event_free_text","event_option.actions","event_option.event_comment","event_option.filename","event_option.milestone","event_option.new_watchstander","event_option.sample_description","event_option.sample_name","event_option.type","vehicleReNavData.altitude_uom","vehicleReNavData.altitude_value","vehicleReNavData.depth_uom","vehicleReNavData.depth_value","vehicleReNavData.heading_uom","vehicleReNavData.heading_value","vehicleReNavData.latitude_uom","vehicleReNavData.latitude_value","vehicleReNavData.longitude_uom","vehicleReNavData.longitude_value","vehicleReNavData.pitch_uom","vehicleReNavData.pitch_value","vehicleReNavData.roll_uom","vehicleReNavData.roll_value","vehicleRealtimeFramegrabberData.camera_name_2_uom","vehicleRealtimeFramegrabberData.camera_name_2_value","vehicleRealtimeFramegrabberData.camera_name_3_uom","vehicleRealtimeFramegrabberData.camera_name_3_value","vehicleRealtimeFramegrabberData.camera_name_4_uom","vehicleRealtimeFramegrabberData.camera_name_4_value","vehicleRealtimeFramegrabberData.camera_name_uom","vehicleRealtimeFramegrabberData.camera_name_value","vehicleRealtimeFramegrabberData.filename_2_uom","vehicleRealtimeFramegrabberData.filename_2_value","vehicleRealtimeFramegrabberData.filename_3_uom","vehicleRealtimeFramegrabberData.filename_3_value","vehicleRealtimeFramegrabberData.filename_4_uom","vehicleRealtimeFramegrabberData.filename_4_value","vehicleRealtimeFramegrabberData.filename_uom","vehicleRealtimeFramegrabberData.filename_value","vehicleRealtimeNavData.altitude_uom","vehicleRealtimeNavData.altitude_value","vehicleRealtimeNavData.depth_uom","vehicleRealtimeNavData.depth_value","vehicleRealtimeNavData.heading_uom","vehicleRealtimeNavData.heading_value","vehicleRealtimeNavData.latitude_uom","vehicleRealtimeNavData.latitude_value","vehicleRealtimeNavData.local_x_uom","vehicleRealtimeNavData.local_x_value","vehicleRealtimeNavData.local_y_uom","vehicleRealtimeNavData.local_y_value","vehicleRealtimeNavData.longitude_uom","vehicleRealtimeNavData.longitude_value","vehicleRealtimeNavData.pitch_uom","vehicleRealtimeNavData.pitch_value","vehicleRealtimeNavData.roll_uom","vehicleRealtimeNavData.roll_value","vehicleTemperatureProbe.probe1_temperature_uom","vehicleTemperatureProbe.probe1_temperature_value","vehicleTemperatureProbe.probe2_temperature_uom","vehicleTemperatureProbe.probe2_temperature_value","vehicleTemperatureProbe.probe3_temperature_uom","vehicleTemperatureProbe.probe3_temperature_value","vehicleTemperatureProbe.probe4_temperature_uom","vehicleTemperatureProbe.probe4_temperature_value"
"64ebfa5095482d0019b26a28","2023-08-28T01:37:20.350Z","VEHICLE","guest","",,,,"Jason off deck",,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_013720350.jpg",,"/BrowCam.20230828_013720350.jpg",,"/UserSelect.20230828_013720350.jpg",,"/SciCam.20230828_013720350.jpg","meters","0.00","meters","0.66","deg","43.36","ddeg","44.5685611","meters","0.09","meters","2.92","ddeg","-125.1491000","deg","0.4","deg","-1.6","degC","16.57","degC","-999.99","degC","-999.99","degC","-999.99"
"64ebfc1595482d0019b26a2c","2023-08-28T01:44:53.859Z","ROV Actions","guest","undervator","Latching to",,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_014453859.jpg",,"/BrowCam.20230828_014453859.jpg",,"/UserSelect.20230828_014453859.jpg",,"/SciCam.20230828_014453859.jpg","meters","0.00","meters","0.70","deg","6.42","ddeg","44.5685611","meters","0.09","meters","2.92","ddeg","-125.1491000","deg","-0.1","deg","-0.2","degC","16.44","degC","-999.99","degC","-999.99","degC","-999.99"
"64ebfc9d95482d0019b26a30","2023-08-28T01:47:09.502Z","VEHICLE","guest","",,,,"Jason in water",,,,,"meters","4.0","meters","12.823","deg","135.079","ddeg","44.56981962","ddeg","-125.14652348",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_014709502.jpg",,"/BrowCam.20230828_014709502.jpg",,"/UserSelect.20230828_014709502.jpg",,"/SciCam.20230828_014709502.jpg","meters","0.00","meters","0.72","deg","133.44","ddeg","44.5685611","meters","0.09","meters","2.92","ddeg","-125.1491000","deg","-1.1","deg","-0.4","degC","16.38","degC","-999.99","degC","-999.99","degC","-999.99"
"64ebfd0c95482d0019b26a34","2023-08-28T01:49:00.933Z","Biology Type","guest","mola mola",,,,,,,,"Fish","meters","4.0","meters","21.794","deg","189.092","ddeg","44.56983631","ddeg","-125.14649377",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_014900933.jpg",,"/BrowCam.20230828_014900933.jpg",,"/UserSelect.20230828_014900933.jpg",,"/SciCam.20230828_014900933.jpg","meters","0.00","meters","21.85","deg","187.66","ddeg","-1.4700599","meters","9923134.88","meters","-5115917.56","ddeg","-0.2334224","deg","-0.3","deg","-0.6","degC","17.55","degC","-999.99","degC","-999.99","degC","-999.99"
"64ebfd3e95482d0019b26a3c","2023-08-28T01:49:50.558Z","ROV Actions","guest","first football on","First Football on",,,,,,,,"meters","4.0","meters","25.604","deg","189.226","ddeg","44.56986515","ddeg","-125.14645987",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_014950558.jpg",,"/BrowCam.20230828_014950558.jpg",,"/UserSelect.20230828_014950558.jpg",,"/SciCam.20230828_014950558.jpg","meters","0.00","meters","25.64","deg","187.82","ddeg","-14.3632902","meters","9744143.84","meters","-6548643.82","ddeg","-2.4866203","deg","-3.1","deg","-0.0","degC","16.36","degC","-999.99","degC","-999.99","degC","-999.99"
"64ebfe6595482d0019b26a44","2023-08-28T01:54:45.373Z","ROV Actions","guest","football on","Last Football on",,,,,,,,"meters","4.0","meters","47.416","deg","190.821","ddeg","44.56982324","ddeg","-125.14653984",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_015445373.jpg",,"/BrowCam.20230828_015445373.jpg",,"/UserSelect.20230828_015445373.jpg",,"/SciCam.20230828_015445373.jpg","meters","0.00","meters","47.35","deg","189.98","ddeg","-14.3632902","meters","9744143.84","meters","-6548643.82","ddeg","-2.4866203","deg","-0.9","deg","-1.6","degC","9.58","degC","-999.99","degC","-999.99","degC","-999.99"
"64ebff7495482d0019b26a48","2023-08-28T01:59:16.619Z","FREE_FORM","guest","stopping at 140m to put on beacon",,,,,,,,,"meters","4.0","meters","131.600","deg","189.845","ddeg","44.56969784","ddeg","-125.14654993",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_015916619.jpg",,"/BrowCam.20230828_015916619.jpg",,"/UserSelect.20230828_015916619.jpg",,"/SciCam.20230828_015916619.jpg","meters","0.00","meters","131.54","deg","189.42","ddeg","-0.7728489","meters","9891049.52","meters","-5038441.83","ddeg","-0.6373234","deg","-0.2","deg","-1.1","degC","8.24","degC","-999.99","degC","-999.99","degC","-999.99"
"64ec038595482d0019b26a4c","2023-08-28T02:16:37.638Z","Biology Type","guest","long dark fish with feathery fins",,,,,,,,"Fish","meters","4.0","meters","563.713","deg","188.403","ddeg","44.56974634","ddeg","-125.14681543",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_021637638.jpg",,"/BrowCam.20230828_021637638.jpg",,"/UserSelect.20230828_021637638.jpg",,"/SciCam.20230828_021637638.jpg","meters","0.00","meters","563.93","deg","188.62","ddeg","0.0432751","meters","9938884.06","meters","-4947752.20","ddeg","-0.0351665","deg","-0.9","deg","-1.9","degC","5.07","degC","-999.99","degC","-999.99","degC","-999.99"
"64ec040495482d0019b26a50","2023-08-28T02:18:44.117Z","FREE_FORM","guest","stopping briefly at 650",,,,,,,,,"meters","4.0","meters","613.667","deg","75.095","ddeg","44.56976918","ddeg","-125.14675322",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_021844117.jpg",,"/BrowCam.20230828_021844117.jpg",,"/UserSelect.20230828_021844117.jpg",,"/SciCam.20230828_021844117.jpg","meters","0.00","meters","613.51","deg","67.38","ddeg","0.1785411","meters","9899902.71","meters","-4932721.12","ddeg","-0.5258766","deg","-2.7","deg","-0.8","degC","4.91","degC","-999.99","degC","-999.99","degC","-999.99"
"64ec049395482d0019b26a54","2023-08-28T02:21:07.705Z","Biology Type","guest","large, round and orange",,,,,,,,"Jelly","meters","4.0","meters","645.375","deg","196.488","ddeg","44.56994593","ddeg","-125.14660790",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_022107705.jpg",,"/BrowCam.20230828_022107705.jpg",,"/UserSelect.20230828_022107705.jpg",,"/SciCam.20230828_022107705.jpg","meters","0.00","meters","645.61","deg","196.61","ddeg","0.1212325","meters","9824580.70","meters","-4939089.39","ddeg","-1.4740547","deg","-1.2","deg","-1.2","degC","4.67","degC","-999.99","degC","-999.99","degC","-999.99"
