"id","ts","event_value","event_author","event_free_text","event_option.actions","event_option.event_comment","event_option.filename","event_option.highlights","event_option.milestone","event_option.new_watchstander","event_option.type","vehicleReNavData.altitude_uom","vehicleReNavData.altitude_value","vehicleReNavData.depth_uom","vehicleReNavData.depth_value","vehicleReNavData.heading_uom","vehicleReNavData.heading_value","vehicleReNavData.latitude_uom","vehicleReNavData.latitude_value","vehicleReNavData.longitude_uom","vehicleReNavData.longitude_value","vehicleReNavData.pitch_uom","vehicleReNavData.pitch_value","vehicleReNavData.roll_uom","vehicleReNavData.roll_value","vehicleRealtimeFramegrabberData.camera_name_2_uom","vehicleRealtimeFramegrabberData.camera_name_2_value","vehicleRealtimeFramegrabberData.camera_name_3_uom","vehicleRealtimeFramegrabberData.camera_name_3_value","vehicleRealtimeFramegrabberData.camera_name_4_uom","vehicleRealtimeFramegrabberData.camera_name_4_value","vehicleRealtimeFramegrabberData.camera_name_uom","vehicleRealtimeFramegrabberData.camera_name_value","vehicleRealtimeFramegrabberData.filename_2_uom","vehicleRealtimeFramegrabberData.filename_2_value","vehicleRealtimeFramegrabberData.filename_3_uom","vehicleRealtimeFramegrabberData.filename_3_value","vehicleRealtimeFramegrabberData.filename_4_uom","vehicleRealtimeFramegrabberData.filename_4_value","vehicleRealtimeFramegrabberData.filename_uom","vehicleRealtimeFramegrabberData.filename_value","vehicleRealtimeNavData.altitude_uom","vehicleRealtimeNavData.altitude_value","vehicleRealtimeNavData.depth_uom","vehicleRealtimeNavData.depth_value","vehicleRealtimeNavData.heading_uom","vehicleRealtimeNavData.heading_value","vehicleRealtimeNavData.latitude_uom","vehicleRealtimeNavData.latitude_value","vehicleRealtimeNavData.local_x_uom","vehicleRealtimeNavData.local_x_value","vehicleRealtimeNavData.local_y_uom","vehicleRealtimeNavData.local_y_value","vehicleRealtimeNavData.longitude_uom","vehicleRealtimeNavData.longitude_value","vehicleRealtimeNavData.pitch_uom","vehicleRealtimeNavData.pitch_value","vehicleRealtimeNavData.roll_uom","vehicleRealtimeNavData.roll_value","vehicleTemperatureProbe.probe1_temperature_uom","vehicleTemperatureProbe.probe1_temperature_value","vehicleTemperatureProbe.probe2_temperature_uom","vehicleTemperatureProbe.probe2_temperature_value","vehicleTemperatureProbe.probe3_temperature_uom","vehicleTemperatureProbe.probe3_temperature_value","vehicleTemperatureProbe.probe4_temperature_uom","vehicleTemperatureProbe.probe4_temperature_value"
"64ecf2eb95482d0019b29906","2023-08-28T19:18:03.630Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_191803630.jpg",,"/BrowCam.20230828_191803630.jpg",,"/UserSelect.20230828_191803630.jpg",,"/SciCam.20230828_191803630.jpg","meters","0.00","meters","0.68","deg","91.16","ddeg","44.3597301","meters","1.24","meters","2.33","ddeg","-124.9645352","deg","0.1","deg","-1.5","degC","16.76","degC","-999.99","degC","-999.99","degC","-999.99"
"64ecf30995482d0019b2990a","2023-08-28T19:18:33.672Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_191833672.jpg",,"/BrowCam.20230828_191833672.jpg",,"/UserSelect.20230828_191833672.jpg",,"/SciCam.20230828_191833672.jpg","meters","0.00","meters","0.68","deg","91.01","ddeg","44.3597301","meters","1.24","meters","2.33","ddeg","-124.9645352","deg","-0.2","deg","-1.0","degC","16.73","degC","-999.99","degC","-999.99","degC","-999.99"
"64ecf32795482d0019b2990e","2023-08-28T19:19:03.717Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_191903717.jpg",,"/BrowCam.20230828_191903717.jpg",,"/UserSelect.20230828_191903717.jpg",,"/SciCam.20230828_191903717.jpg","meters","0.00","meters","0.69","deg","90.92","ddeg","44.3597301","meters","1.24","meters","2.33","ddeg","-124.9645352","deg","-0.2","deg","-0.3","degC","16.70","degC","-999.99","degC","-999.99","degC","-999.99"
"64ecf34595482d0019b29912","2023-08-28T19:19:33.748Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_191933748.jpg",,"/BrowCam.20230828_191933748.jpg",,"/UserSelect.20230828_191933748.jpg",,"/SciCam.20230828_191933748.jpg","meters","0.00","meters","0.69","deg","91.00","ddeg","44.3597301","meters","1.24","meters","2.33","ddeg","-124.9645352","deg","-0.3","deg","-1.6","degC","16.69","degC","-999.99","degC","-999.99","degC","-999.99"
"64ecf36395482d0019b29916","2023-08-28T19:20:03.795Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_192003795.jpg",,"/BrowCam.20230828_192003795.jpg",,"/UserSelect.20230828_192003795.jpg",,"/SciCam.20230828_192003795.jpg","meters","0.00","meters","0.69","deg","90.91","ddeg","44.3597301","meters","1.24","meters","2.33","ddeg","-124.9645352","deg","0.1","deg","-1.8","degC","16.65","degC","-999.99","degC","-999.99","degC","-999.99"
"64ecf38195482d0019b2991a","2023-08-28T19:20:33.839Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_192033839.jpg",,"/BrowCam.20230828_192033839.jpg",,"/UserSelect.20230828_192033839.jpg",,"/SciCam.20230828_192033839.jpg","meters","0.00","meters","0.70","deg","90.57","ddeg","44.3597301","meters","1.24","meters","2.33","ddeg","-124.9645352","deg","-0.0","deg","-1.3","degC","16.64","degC","-999.99","degC","-999.99","degC","-999.99"
"64ecf39f95482d0019b2991e","2023-08-28T19:21:03.883Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_192103883.jpg",,"/BrowCam.20230828_192103883.jpg",,"/UserSelect.20230828_192103883.jpg",,"/SciCam.20230828_192103883.jpg","meters","0.00","meters","0.69","deg","90.98","ddeg","44.3597301","meters","1.24","meters","2.33","ddeg","-124.9645352","deg","0.0","deg","-1.3","degC","16.61","degC","-999.99","degC","-999.99","degC","-999.99"
"64ecf3bd95482d0019b29922","2023-08-28T19:21:33.903Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_192133903.jpg",,"/BrowCam.20230828_192133903.jpg",,"/UserSelect.20230828_192133903.jpg",,"/SciCam.20230828_192133903.jpg","meters","0.00","meters","0.70","deg","90.85","ddeg","44.3597301","meters","1.24","meters","2.33","ddeg","-124.9645352","deg","-0.0","deg","-1.1","degC","16.60","degC","-999.99","degC","-999.99","degC","-999.99"
"64ecf3db95482d0019b29926","2023-08-28T19:22:03.931Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_192203931.jpg",,"/BrowCam.20230828_192203931.jpg",,"/UserSelect.20230828_192203931.jpg",,"/SciCam.20230828_192203931.jpg","meters","0.00","meters","0.70","deg","90.97","ddeg","44.3597301","meters","1.24","meters","2.33","ddeg","-124.9645352","deg","0.0","deg","-1.3","degC","16.59","degC","-999.99","degC","-999.99","degC","-999.99"
"64ecf3f995482d0019b2992a","2023-08-28T19:22:33.976Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230828_192233976.jpg",,"/BrowCam.20230828_192233976.jpg",,"/UserSelect.20230828_192233976.jpg",,"/SciCam.20230828_192233976.jpg","meters","0.00","meters","0.69","deg","54.63","ddeg","44.3597301","meters","1.24","meters","2.33","ddeg","-124.9645352","deg","0.5","deg","-1.1","degC","16.56","degC","-999.99","degC","-999.99","degC","-999.99"
