"id","ts","event_value","event_author","event_free_text","event_option.actions","event_option.event_comment","event_option.filename","event_option.formation","event_option.milestone","event_option.sample_description","event_option.sample_name","event_option.type","vehicleReNavData.altitude_uom","vehicleReNavData.altitude_value","vehicleReNavData.depth_uom","vehicleReNavData.depth_value","vehicleReNavData.heading_uom","vehicleReNavData.heading_value","vehicleReNavData.latitude_uom","vehicleReNavData.latitude_value","vehicleReNavData.longitude_uom","vehicleReNavData.longitude_value","vehicleReNavData.pitch_uom","vehicleReNavData.pitch_value","vehicleReNavData.roll_uom","vehicleReNavData.roll_value","vehicleRealtimeFramegrabberData.camera_name_2_uom","vehicleRealtimeFramegrabberData.camera_name_2_value","vehicleRealtimeFramegrabberData.camera_name_3_uom","vehicleRealtimeFramegrabberData.camera_name_3_value","vehicleRealtimeFramegrabberData.camera_name_4_uom","vehicleRealtimeFramegrabberData.camera_name_4_value","vehicleRealtimeFramegrabberData.camera_name_uom","vehicleRealtimeFramegrabberData.camera_name_value","vehicleRealtimeFramegrabberData.filename_2_uom","vehicleRealtimeFramegrabberData.filename_2_value","vehicleRealtimeFramegrabberData.filename_3_uom","vehicleRealtimeFramegrabberData.filename_3_value","vehicleRealtimeFramegrabberData.filename_4_uom","vehicleRealtimeFramegrabberData.filename_4_value","vehicleRealtimeFramegrabberData.filename_uom","vehicleRealtimeFramegrabberData.filename_value","vehicleRealtimeNavData.altitude_uom","vehicleRealtimeNavData.altitude_value","vehicleRealtimeNavData.depth_uom","vehicleRealtimeNavData.depth_value","vehicleRealtimeNavData.heading_uom","vehicleRealtimeNavData.heading_value","vehicleRealtimeNavData.latitude_uom","vehicleRealtimeNavData.latitude_value","vehicleRealtimeNavData.local_x_uom","vehicleRealtimeNavData.local_x_value","vehicleRealtimeNavData.local_y_uom","vehicleRealtimeNavData.local_y_value","vehicleRealtimeNavData.longitude_uom","vehicleRealtimeNavData.longitude_value","vehicleRealtimeNavData.pitch_uom","vehicleRealtimeNavData.pitch_value","vehicleRealtimeNavData.roll_uom","vehicleRealtimeNavData.roll_value","vehicleTemperatureProbe.probe1_temperature_uom","vehicleTemperatureProbe.probe1_temperature_value","vehicleTemperatureProbe.probe2_temperature_uom","vehicleTemperatureProbe.probe2_temperature_value","vehicleTemperatureProbe.probe3_temperature_uom","vehicleTemperatureProbe.probe3_temperature_value","vehicleTemperatureProbe.probe4_temperature_uom","vehicleTemperatureProbe.probe4_temperature_value"
"64f793516ce66f001a254cd1","2023-09-05T20:45:05.397Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230905_204505397.jpg",,"/BrowCam.20230905_204505397.jpg",,"/UserSelect.20230905_204505397.jpg",,"/SciCam.20230905_204505397.jpg","meters","0.00","meters","0.50","deg","20.66","ddeg","-8.5309835","meters","9770065.83","meters","-6051801.95","ddeg","-4.0926308","deg","-0.1","deg","0.1","degC","20.06","degC","-999.99","degC","-999.99","degC","-999.99"
"64f7936f6ce66f001a254cd5","2023-09-05T20:45:35.465Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230905_204535465.jpg",,"/BrowCam.20230905_204535465.jpg",,"/UserSelect.20230905_204535465.jpg",,"/SciCam.20230905_204535465.jpg","meters","0.00","meters","0.53","deg","20.23","ddeg","-8.5309835","meters","9770065.83","meters","-6051801.95","ddeg","-4.0926308","deg","0.3","deg","-2.3","degC","20.00","degC","-999.99","degC","-999.99","degC","-999.99"
"64f7938d6ce66f001a254cd9","2023-09-05T20:46:05.508Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230905_204605508.jpg",,"/BrowCam.20230905_204605508.jpg",,"/UserSelect.20230905_204605508.jpg",,"/SciCam.20230905_204605508.jpg","meters","0.00","meters","0.55","deg","21.47","ddeg","-8.5309835","meters","9770065.83","meters","-6051801.95","ddeg","-4.0926308","deg","-0.0","deg","0.0","degC","19.98","degC","-999.99","degC","-999.99","degC","-999.99"
"64f793ab6ce66f001a254cdd","2023-09-05T20:46:35.578Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230905_204635578.jpg",,"/BrowCam.20230905_204635578.jpg",,"/UserSelect.20230905_204635578.jpg",,"/SciCam.20230905_204635578.jpg","meters","0.00","meters","0.56","deg","22.76","ddeg","-8.5309835","meters","9770065.83","meters","-6051801.95","ddeg","-4.0926308","deg","-0.6","deg","-0.5","degC","20.02","degC","-999.99","degC","-999.99","degC","-999.99"
"64f793c96ce66f001a254ce1","2023-09-05T20:47:05.633Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230905_204705633.jpg",,"/BrowCam.20230905_204705633.jpg",,"/UserSelect.20230905_204705633.jpg",,"/SciCam.20230905_204705633.jpg","meters","0.00","meters","0.57","deg","25.38","ddeg","-8.5309835","meters","9770065.83","meters","-6051801.95","ddeg","-4.0926308","deg","-0.8","deg","-0.6","degC","20.03","degC","-999.99","degC","-999.99","degC","-999.99"
"64f793e76ce66f001a254ce5","2023-09-05T20:47:35.652Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230905_204735652.jpg",,"/BrowCam.20230905_204735652.jpg",,"/UserSelect.20230905_204735652.jpg",,"/SciCam.20230905_204735652.jpg","meters","0.00","meters","0.59","deg","30.02","ddeg","-8.5309835","meters","9770065.83","meters","-6051801.95","ddeg","-4.0926308","deg","-0.5","deg","-0.7","degC","19.97","degC","-999.99","degC","-999.99","degC","-999.99"
"64f794056ce66f001a254ce9","2023-09-05T20:48:05.697Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230905_204805697.jpg",,"/BrowCam.20230905_204805697.jpg",,"/UserSelect.20230905_204805697.jpg",,"/SciCam.20230905_204805697.jpg","meters","0.00","meters","0.61","deg","36.33","ddeg","-8.5309835","meters","9770065.83","meters","-6051801.95","ddeg","-4.0926308","deg","-1.4","deg","-1.1","degC","19.94","degC","-999.99","degC","-999.99","degC","-999.99"
"64f794236ce66f001a254ced","2023-09-05T20:48:35.723Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230905_204835723.jpg",,"/BrowCam.20230905_204835723.jpg",,"/UserSelect.20230905_204835723.jpg",,"/SciCam.20230905_204835723.jpg","meters","0.00","meters","0.62","deg","42.42","ddeg","-8.5309835","meters","9770065.83","meters","-6051801.95","ddeg","-4.0926308","deg","-0.5","deg","-1.5","degC","19.93","degC","-999.99","degC","-999.99","degC","-999.99"
"64f794416ce66f001a254cf1","2023-09-05T20:49:05.768Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230905_204905768.jpg",,"/BrowCam.20230905_204905768.jpg",,"/UserSelect.20230905_204905768.jpg",,"/SciCam.20230905_204905768.jpg","meters","0.00","meters","0.61","deg","44.34","ddeg","-8.5309835","meters","9770065.83","meters","-6051801.95","ddeg","-4.0926308","deg","-0.1","deg","-0.1","degC","19.91","degC","-999.99","degC","-999.99","degC","-999.99"
"64f7945f6ce66f001a254cf5","2023-09-05T20:49:35.813Z","ASNAP","admin","",,,,,,,,,,,,,,,,,,,,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230905_204935813.jpg",,"/BrowCam.20230905_204935813.jpg",,"/UserSelect.20230905_204935813.jpg",,"/SciCam.20230905_204935813.jpg","meters","0.00","meters","0.62","deg","43.16","ddeg","-8.5309835","meters","9770065.83","meters","-6051801.95","ddeg","-4.0926308","deg","-0.9","deg","-0.8","degC","19.93","degC","-999.99","degC","-999.99","degC","-999.99"
