"id","ts","event_value","event_author","event_free_text","event_option.actions","event_option.cabled_plug","event_option.dive_#/summary","event_option.dummy_plug","event_option.filename","event_option.highlights","event_option.location","event_option.milestone","event_option.new_watchstander","event_option.sample_name","event_option.type","vehicleReNavData.altitude_uom","vehicleReNavData.altitude_value","vehicleReNavData.depth_uom","vehicleReNavData.depth_value","vehicleReNavData.heading_uom","vehicleReNavData.heading_value","vehicleReNavData.latitude_uom","vehicleReNavData.latitude_value","vehicleReNavData.longitude_uom","vehicleReNavData.longitude_value","vehicleReNavData.pitch_uom","vehicleReNavData.pitch_value","vehicleReNavData.roll_uom","vehicleReNavData.roll_value","vehicleRealtimeFramegrabberData.camera_name_2_uom","vehicleRealtimeFramegrabberData.camera_name_2_value","vehicleRealtimeFramegrabberData.camera_name_3_uom","vehicleRealtimeFramegrabberData.camera_name_3_value","vehicleRealtimeFramegrabberData.camera_name_4_uom","vehicleRealtimeFramegrabberData.camera_name_4_value","vehicleRealtimeFramegrabberData.camera_name_uom","vehicleRealtimeFramegrabberData.camera_name_value","vehicleRealtimeFramegrabberData.filename_2_uom","vehicleRealtimeFramegrabberData.filename_2_value","vehicleRealtimeFramegrabberData.filename_3_uom","vehicleRealtimeFramegrabberData.filename_3_value","vehicleRealtimeFramegrabberData.filename_4_uom","vehicleRealtimeFramegrabberData.filename_4_value","vehicleRealtimeFramegrabberData.filename_uom","vehicleRealtimeFramegrabberData.filename_value","vehicleRealtimeNavData.altitude_uom","vehicleRealtimeNavData.altitude_value","vehicleRealtimeNavData.depth_uom","vehicleRealtimeNavData.depth_value","vehicleRealtimeNavData.heading_uom","vehicleRealtimeNavData.heading_value","vehicleRealtimeNavData.latitude_uom","vehicleRealtimeNavData.latitude_value","vehicleRealtimeNavData.local_x_uom","vehicleRealtimeNavData.local_x_value","vehicleRealtimeNavData.local_y_uom","vehicleRealtimeNavData.local_y_value","vehicleRealtimeNavData.longitude_uom","vehicleRealtimeNavData.longitude_value","vehicleRealtimeNavData.pitch_uom","vehicleRealtimeNavData.pitch_value","vehicleRealtimeNavData.roll_uom","vehicleRealtimeNavData.roll_value","vehicleTemperatureProbe.probe1_temperature_uom","vehicleTemperatureProbe.probe1_temperature_value","vehicleTemperatureProbe.probe2_temperature_uom","vehicleTemperatureProbe.probe2_temperature_value","vehicleTemperatureProbe.probe3_temperature_uom","vehicleTemperatureProbe.probe3_temperature_value","vehicleTemperatureProbe.probe4_temperature_uom","vehicleTemperatureProbe.probe4_temperature_value"
"65011c0019a182001b1d19f1","2023-09-13T02:18:40.515Z","VEHICLE","guest","",,,,,,,,"Jason off deck",,,,"meters","-8915889.1","meters","15.064","deg","256.241","ddeg","45.81638770","ddeg","-129.75263687",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230913_021840515.jpg",,"/BrowCam.20230913_021840515.jpg",,"/UserSelect.20230913_021840515.jpg",,"/SciCam.20230913_021840515.jpg","meters","0.00","meters","2.81","deg","257.33","ddeg","30.5761412","meters","8955910.86","meters","-1705084.09","ddeg","-14.5867734","deg","-6.5","deg","-7.6","degC","17.89","degC","-999.99","degC","-999.99","degC","-999.99"
"65011c0719a182001b1d19f5","2023-09-13T02:18:47.762Z","VEHICLE","guest","",,,,,,,,"Jason in water",,,,"meters","-8886296.5","meters","15.064","deg","237.993","ddeg","45.81638770","ddeg","-129.75263687",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230913_021847762.jpg",,"/BrowCam.20230913_021847762.jpg",,"/UserSelect.20230913_021847762.jpg",,"/SciCam.20230913_021847762.jpg","meters","0.00","meters","2.35","deg","239.39","ddeg","30.5761412","meters","8955910.86","meters","-1705084.09","ddeg","-14.5867734","deg","-13.2","deg","-3.4","degC","17.90","degC","-999.99","degC","-999.99","degC","-999.99"
"65011d4419a182001b1d19fd","2023-09-13T02:24:04.761Z","ASNAP","admin","",,,,,,,,,,,,"meters","-7613749.9","meters","22.114","deg","241.512","ddeg","45.81636943","ddeg","-129.75288966",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230913_022404761.jpg",,"/BrowCam.20230913_022404761.jpg",,"/UserSelect.20230913_022404761.jpg",,"/SciCam.20230913_022404761.jpg","meters","0.00","meters","22.09","deg","241.58","ddeg","4.3447490","meters","9628827.96","meters","-4620677.14","ddeg","-5.9131323","deg","-3.9","deg","0.9","degC","17.44","degC","-999.99","degC","-999.99","degC","-999.99"
"65011d6219a182001b1d1a01","2023-09-13T02:24:34.779Z","ASNAP","admin","",,,,,,,,,,,,"meters","-7500038.8","meters","25.523","deg","241.632","ddeg","45.81637964","ddeg","-129.75287530",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230913_022434779.jpg",,"/BrowCam.20230913_022434779.jpg",,"/UserSelect.20230913_022434779.jpg",,"/SciCam.20230913_022434779.jpg","meters","0.00","meters","25.58","deg","241.69","ddeg","4.3447490","meters","9628827.96","meters","-4620677.14","ddeg","-5.9131323","deg","-4.6","deg","2.6","degC","17.47","degC","-999.99","degC","-999.99","degC","-999.99"
"65011d8019a182001b1d1a05","2023-09-13T02:25:04.807Z","ASNAP","admin","",,,,,,,,,,,,"meters","-7387465.6","meters","26.212","deg","242.020","ddeg","45.81637442","ddeg","-129.75285760",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230913_022504807.jpg",,"/BrowCam.20230913_022504807.jpg",,"/UserSelect.20230913_022504807.jpg",,"/SciCam.20230913_022504807.jpg","meters","0.00","meters","26.48","deg","242.00","ddeg","4.3447490","meters","9628827.96","meters","-4620677.14","ddeg","-5.9131323","deg","-4.2","deg","1.2","degC","17.39","degC","-999.99","degC","-999.99","degC","-999.99"
"65011d9e19a182001b1d1a09","2023-09-13T02:25:34.833Z","ASNAP","admin","",,,,,,,,,,,,"meters","-7276024.5","meters","27.208","deg","244.051","ddeg","45.81636612","ddeg","-129.75285060",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230913_022534833.jpg",,"/BrowCam.20230913_022534833.jpg",,"/UserSelect.20230913_022534833.jpg",,"/SciCam.20230913_022534833.jpg","meters","0.00","meters","27.21","deg","243.83","ddeg","4.3447490","meters","9628827.96","meters","-4620677.14","ddeg","-5.9131323","deg","-4.3","deg","1.7","degC","17.21","degC","-999.99","degC","-999.99","degC","-999.99"
"65011dbc19a182001b1d1a0d","2023-09-13T02:26:04.867Z","ASNAP","admin","",,,,,,,,,,,,"meters","-7165709.8","meters","30.426","deg","239.826","ddeg","45.81633989","ddeg","-129.75288721",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230913_022604867.jpg",,"/BrowCam.20230913_022604867.jpg",,"/UserSelect.20230913_022604867.jpg",,"/SciCam.20230913_022604867.jpg","meters","0.00","meters","30.49","deg","239.59","ddeg","4.3447490","meters","9628827.96","meters","-4620677.14","ddeg","-5.9131323","deg","-3.1","deg","0.5","degC","17.37","degC","-999.99","degC","-999.99","degC","-999.99"
"65011dda19a182001b1d1a11","2023-09-13T02:26:34.912Z","ASNAP","admin","",,,,,,,,,,,,"meters","-7056515.9","meters","40.989","deg","241.917","ddeg","45.81633109","ddeg","-129.75292341",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230913_022634912.jpg",,"/BrowCam.20230913_022634912.jpg",,"/UserSelect.20230913_022634912.jpg",,"/SciCam.20230913_022634912.jpg","meters","0.00","meters","41.15","deg","241.95","ddeg","4.3447490","meters","9628827.96","meters","-4620677.14","ddeg","-5.9131323","deg","-4.7","deg","1.1","degC","17.05","degC","-999.99","degC","-999.99","degC","-999.99"
"65011df819a182001b1d1a15","2023-09-13T02:27:04.959Z","ASNAP","admin","",,,,,,,,,,,,"meters","-6948436.8","meters","46.560","deg","241.762","ddeg","45.81634868","ddeg","-129.75282748",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230913_022704959.jpg",,"/BrowCam.20230913_022704959.jpg",,"/UserSelect.20230913_022704959.jpg",,"/SciCam.20230913_022704959.jpg","meters","0.00","meters","46.57","deg","241.77","ddeg","4.3447490","meters","9628827.96","meters","-4620677.14","ddeg","-5.9131323","deg","-4.7","deg","1.2","degC","15.67","degC","-999.99","degC","-999.99","degC","-999.99"
"65011e1619a182001b1d1a19","2023-09-13T02:27:34.993Z","ASNAP","admin","",,,,,,,,,,,,"meters","-6841467.1","meters","58.016","deg","240.491","ddeg","45.81632886","ddeg","-129.75280077",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230913_022734993.jpg",,"/BrowCam.20230913_022734993.jpg",,"/UserSelect.20230913_022734993.jpg",,"/SciCam.20230913_022734993.jpg","meters","0.00","meters","58.22","deg","240.44","ddeg","4.3447490","meters","9628827.96","meters","-4620677.14","ddeg","-5.9131323","deg","-3.0","deg","1.3","degC","13.27","degC","-999.99","degC","-999.99","degC","-999.99"
