cruise,startDate,endDate
TN326,2015-07-04T00:00:00,2015-08-07T23:59:59
SKQ201610S,2016-07-12T00:00:00,2016-08-09T23:59:59
RR1713,2017-07-27T10:28:00,2017-08-07T13:00:00
RR1714,2017-08-09T17:30:00,2017-08-19T12:00:00
RR1715,2017-08-20T17:30:00,2017-08-27T17:00:00
RR1809,2018-06-23T10:00:00,2018-06-30T16:00:00
RR1810,2018-07-01T10:00:00,2018-07-12T16:00:00
RR1811,2018-07-13T10:00:00,2018-07-18T16:00:00
RR1812,2018-07-20T10:00:00,2018-08-03T16:00:00
AT42-12,2019-06-02T00:00:00,2019-07-09T00:00:00
TN382,2020-08-01T00:00:00,2020-08-27T00:00:00
TN393,2021-08-01T00:00:00,2021-09-03T00:00:00
