Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
AT50-29,Oregon Offshore Shallow Profiler,CE04OSPS,44.3695,-124.96133333333333,2024-08-09T07:03:31.000Z,CTD-001,*0000000000000100,597,AT50-29_CTD-001,*0000000000000100,1,*0000000000000100,2024-08-09T07:15:34.000Z,222.193,*0000000001000100,220.283,44.36946,-124.96136,7.1196,*0000000001000100,7.1192,*0000000001000100,3.456751,*0000000001000100,3.456614,*0000000001000100,33.9831,33.9819,1.4752,*0000000001000100,6.77779,0.0416,*0000000001000100,0.1937,95.2736,*0000000000000100,7.585,*0000000001000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Oregon Offshore Shallow Profiler,CE04OSPS,44.3695,-124.96133333333333,2024-08-09T07:03:31.000Z,CTD-001,*0000000000000100,597,AT50-29_CTD-001,*0000000000000100,3,*0000000000000100,2024-08-09T07:18:33.000Z,201.904,*0000000001000100,200.179,44.36946,-124.96136,7.1444,*0000000001000100,7.1441,*0000000001000100,3.457524,*0000000001000100,3.457399,*0000000001000100,33.9770,33.9759,1.4584,*0000000011000100,6.77421,0.0409,*0000000001000100,0.1990,95.1469,*0000000000000100,7.580,*0000000001000100,1.1477347546802155,*0000000010000000,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Oregon Offshore Shallow Profiler,CE04OSPS,44.3695,-124.96133333333333,2024-08-09T07:03:31.000Z,CTD-001,*0000000000000100,597,AT50-29_CTD-001,*0000000000000100,3,*0000000000000100,2024-08-09T07:18:33.000Z,201.904,*0000000001000100,200.179,44.36946,-124.96136,7.1444,*0000000001000100,7.1441,*0000000001000100,3.457524,*0000000001000100,3.457399,*0000000001000100,33.9770,33.9759,1.4584,*0000000011000100,6.77421,0.0409,*0000000001000100,0.1990,95.1469,*0000000000000100,7.580,*0000000001000100,1.1452996848152304,*0000000010000000,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Oregon Offshore Shallow Profiler,CE04OSPS,44.3695,-124.96133333333333,2024-08-09T07:03:31.000Z,CTD-001,*0000000000000100,597,AT50-29_CTD-001,*0000000000000100,5,*0000000000000100,2024-08-09T07:21:50.000Z,181.542,*0000000001000100,180.000,44.36946,-124.96136,7.2381,*0000000001000100,7.2379,*0000000001000100,3.463583,*0000000001000100,3.463340,*0000000001000100,33.9608,33.9583,1.5490,*0000000011000100,6.76043,0.0365,*0000000001000100,0.1986,95.1560,*0000000000000100,7.586,*0000000001000100,1.2104633730767038,*0000000010000000,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Oregon Offshore Shallow Profiler,CE04OSPS,44.3695,-124.96133333333333,2024-08-09T07:03:31.000Z,CTD-001,*0000000000000100,597,AT50-29_CTD-001,*0000000000000100,7,*0000000000000100,2024-08-09T07:25:36.000Z,161.533,*0000000001000100,160.169,44.36946,-124.96136,7.2693,*0000000001000100,7.2690,*0000000001000100,3.464444,*0000000001000100,3.464191,*0000000001000100,33.9493,33.9468,1.5751,*0000000011000100,6.75613,0.0457,*0000000001000100,0.1619,96.0334,*0000000000000100,7.589,*0000000001000100,1.2655775662174897,*0000000010000000,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Oregon Offshore Shallow Profiler,CE04OSPS,44.3695,-124.96133333333333,2024-08-09T07:03:31.000Z,CTD-001,*0000000000000100,597,AT50-29_CTD-001,*0000000000000100,9,*0000000000000100,2024-08-09T07:29:48.000Z,140.913,*0000000001000100,139.730,44.36946,-124.96136,7.3840,*0000000001000100,7.3845,*0000000001000100,3.472679,*0000000001000100,3.472492,*0000000001000100,33.9364,33.9339,1.8502,*0000000011000100,6.73905,0.0446,*0000000001000100,0.1344,96.6965,*0000000000000100,7.620,*0000000001000100,1.5013135270908282,*0000000010000000,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Oregon Offshore Shallow Profiler,CE04OSPS,44.3695,-124.96133333333333,2024-08-09T07:03:31.000Z,CTD-001,*0000000000000100,597,AT50-29_CTD-001,*0000000000000100,11,*0000000000000100,2024-08-09T07:33:08.000Z,121.830,*0000000001000100,120.812,44.36946,-124.96136,7.4789,*0000000001000100,7.4790,*0000000001000100,3.479215,*0000000001000100,3.478998,*0000000001000100,33.9237,33.9212,2.1847,*0000000011000100,6.72507,0.0333,*0000000001000100,0.0889,97.8011,*0000000000000100,7.664,*0000000001000100,1.8840465507434798,*0000000010000000,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Oregon Offshore Shallow Profiler,CE04OSPS,44.3695,-124.96133333333333,2024-08-09T07:03:31.000Z,CTD-001,*0000000000000100,597,AT50-29_CTD-001,*0000000000000100,13,*0000000000000100,2024-08-09T07:36:22.000Z,101.415,*0000000001000100,100.573,44.36948,-124.96136,7.7171,*0000000001000100,7.7169,*0000000001000100,3.496403,*0000000001000100,3.496168,*0000000001000100,33.8870,33.8846,2.5419,*0000000011000100,6.69042,0.0386,*0000000001000100,0.0633,98.4299,*0000000000000100,7.700,*0000000001000100,2.2647556178069963,*0000000010000000,*0000000000000100,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Oregon Offshore Shallow Profiler,CE04OSPS,44.3695,-124.96133333333333,2024-08-09T07:03:31.000Z,CTD-001,*0000000000000100,597,AT50-29_CTD-001,*0000000000000100,15,*0000000000000100,2024-08-09T07:40:06.000Z,81.921,*0000000001000100,81.245,44.36946,-124.96136,8.0081,*0000000001000100,8.0072,*0000000001000100,3.514796,*0000000001000100,3.514582,*0000000001000100,33.8116,33.8102,2.4008,*0000000011000100,6.64986,0.0785,*0000000001000100,0.0800,98.0201,*0000000000000100,7.644,*0000000001000100,2.1414841095682178,*0000000010000000,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Oregon Offshore Shallow Profiler,CE04OSPS,44.3695,-124.96133333333333,2024-08-09T07:03:31.000Z,CTD-001,*0000000000000100,597,AT50-29_CTD-001,*0000000000000100,17,*0000000000000100,2024-08-09T07:43:09.000Z,62.009,*0000000001000100,61.500,44.36944,-124.96136,8.1994,*0000000001000100,8.1992,*0000000001000100,3.486329,*0000000001000100,3.486291,*0000000001000100,33.3343,33.3341,3.3551,*0000000011000100,6.64191,0.1425,*0000000001000100,0.0640,98.4137,*0000000000000100,7.752,*0000000001000100,3.0300956510711807,*0000000010000000,*0000000000000100,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
