Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
RR1713,250 m E of Axial Base Shallow Profiler,"RS03AXPD,RS03AXPS",45.8305,-129.74983,2017-08-01T07:52:46.000Z,CTD-003,*0000000000000100,2615,RR1713_CTD-003,*0000000000000110,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
RR1713,250 m E of Axial Base Shallow Profiler,"RS03AXPD,RS03AXPS",45.8305,-129.74983,2017-08-01T08:13:22.000Z,CTD-004,*0000000000010001,2619,RR1713_CTD-004,*0000000000000110,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
RR1713,250 m E of Axial Base Shallow Profiler,"RS03AXPD,RS03AXPS",45.8305,-129.74983,2017-08-01T08:30:45.000Z,CTD-005,*0000000000010001,2619,RR1713_CTD-005,*0000000000000100,1,*0000000000000100,2017-08-01T8:40:20.000Z,222.219,*0000000000000100,220.279,45.83066,-129.74988,6.9087,*0000000000000100,6.915,*0000000000000100,3.429744,*0000000010000100,3.430636,*0000000010000100,33.8947,33.8984,2.3342,*0000000010000100,6.81461,5.86E-02,*0000000010000100,12.3365,4.5769,*0000000000000100,7.756,*0000000010000100,-9999999,-9999999,-9999999,0.044,0.029,1.59,*0000000000000100,*0000000000000100,2.25,41.42,30.13,0.04,0.06,*0000000000000100,*0000000000000100,33.907,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2236.532146,*0000000000000100,*0000000000000100,724.96,23.8,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2309.39,-9999999,-9999999,7.799,35.55,2129.49,71.49,1.591,1.03
RR1713,250 m E of Axial Base Shallow Profiler,"RS03AXPD,RS03AXPS",45.8305,-129.74983,2017-08-01T08:30:45.000Z,CTD-005,*0000000000010001,2619,RR1713_CTD-005,*0000000000000100,3,*0000000000000100,2017-08-01T8:41:40.000Z,202.105,*0000000000000100,200.351,45.83064,-129.74988,7.1538,*0000000000000100,7.1624,*0000000000000100,3.450172,*0000000010000100,3.451229,*0000000010000100,33.8873,33.8904,2.5151,*0000000010000100,6.77674,6.88E-02,*0000000010000100,12.3376,4.5758,*0000000000000100,7.78,*0000000010000100,-9999999,-9999999,-9999999,0.022,0.024,1.47,*0000000000000100,*0000000000000100,2.12,37.64,28.8,0.03,0.05,*0000000000000100,*0000000000000100,33.892,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2222.535652,*0000000000000100,*0000000000000100,747.06,22.5,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2291.6,-9999999,-9999999,7.785,36.33,2116.83,69.38,1.551,1.004
RR1713,250 m E of Axial Base Shallow Profiler,"RS03AXPD,RS03AXPS",45.8305,-129.74983,2017-08-01T08:30:45.000Z,CTD-005,*0000000000010001,2619,RR1713_CTD-005,*0000000000000100,5,*0000000000000100,2017-08-01T8:43:02.000Z,182.126,*0000000000000100,180.554,45.83064,-129.74988,7.4402,*0000000000000100,7.4531,*0000000000000100,3.473871,*0000000010000100,3.475305,*0000000010000100,33.8746,33.8775,2.7323,*0000000010000100,6.73316,6.20E-02,*0000000010000100,12.3361,4.5774,*0000000000000100,7.815,*0000000010000100,-9999999,-9999999,-9999999,0.028,0.023,1.54,*0000000000000100,*0000000000000100,1.96,33.76,26.72,0.05,0.15,*0000000000000100,*0000000000000100,33.883,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2197.319393,*0000000000000100,*0000000000000100,642.71,24.1,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2286.99,-9999999,-9999999,7.846,30.95,2086.91,79.46,1.783,1.155
RR1713,250 m E of Axial Base Shallow Profiler,"RS03AXPD,RS03AXPS",45.8305,-129.74983,2017-08-01T08:30:45.000Z,CTD-005,*0000000000010001,2619,RR1713_CTD-005,*0000000000000100,7,*0000000000000100,2017-08-01T8:44:29.000Z,161.635,*0000000000000100,160.248,45.83064,-129.74988,7.7163,*0000000000000100,7.7252,*0000000000000100,3.495214,*0000000010000100,3.496173,*0000000010000100,33.8461,33.8479,2.9207,*0000000010000100,6.69232,6.73E-02,*0000000010000100,12.3347,4.5791,*0000000000000100,7.838,*0000000010000100,-9999999,-9999999,-9999999,0.024,0.027,1.46,*0000000000000100,*0000000000000100,1.85,30.57,25.12,0.05,0.08,*0000000000000100,*0000000000000100,33.863,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2202.568092,*0000000000000100,*0000000000000100,651.56,22.5,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2292.33,-9999999,-9999999,7.843,31.08,2091.73,79.76,1.797,1.165
RR1713,250 m E of Axial Base Shallow Profiler,"RS03AXPD,RS03AXPS",45.8305,-129.74983,2017-08-01T08:30:45.000Z,CTD-005,*0000000000010001,2619,RR1713_CTD-005,*0000000000000100,9,*0000000000000100,2017-08-01T8:45:55.000Z,141.65,*0000000000000100,140.441,45.83064,-129.74988,7.9407,*0000000000000100,7.9432,*0000000000000100,3.506956,*0000000010000100,3.507389,*0000000010000100,33.7645,33.7667,3.0548,*0000000010000100,6.66202,8.15E-02,*0000000010000100,12.3321,4.582,*0000000000000100,7.856,*0000000010000100,5.155386105,*0000000000000100,*0000000000000100,0.035,0.024,1.58,*0000000000000100,*0000000000000100,1.77,27.35,23.84,0.04,0.2,*0000000000000100,*0000000000000100,33.786,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2177.688953,*0000000000000100,*0000000000000100,612.25,22.6,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2275.38,-9999999,-9999999,7.867,29,2065.17,83.52,1.891,1.226
RR1713,250 m E of Axial Base Shallow Profiler,"RS03AXPD,RS03AXPS",45.8305,-129.74983,2017-08-01T08:30:45.000Z,CTD-005,*0000000000010001,2619,RR1713_CTD-005,*0000000000000100,10,*0000000000000100,2017-08-01T8:46:03.000Z,141.625,*0000000000000100,140.416,45.83064,-129.74988,7.9487,*0000000000000100,7.9623,*0000000000000100,3.50726,*0000000010000100,3.50812,*0000000010000100,33.76,33.7561,3.0617,*0000000010000100,6.661,7.62E-02,*0000000010000100,12.3329,4.5811,*0000000000000100,7.856,*0000000010000100,5.181380942,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
RR1713,250 m E of Axial Base Shallow Profiler,"RS03AXPD,RS03AXPS",45.8305,-129.74983,2017-08-01T08:30:45.000Z,CTD-005,*0000000000010001,2619,RR1713_CTD-005,*0000000000000100,11,*0000000000000100,2017-08-01T8:47:16.000Z,121.347,*0000000000000100,120.318,45.83066,-129.74988,8.112,*0000000000000100,8.1225,*0000000000000100,3.509207,*0000000010000100,3.509504,*0000000010000100,33.6332,33.6264,3.1009,*0000000010000100,6.64203,9.98E-02,*0000000010000100,12.332,4.5822,*0000000000000100,7.865,*0000000010000100,-9999999,-9999999,-9999999,0.043,0.022,1.65,*0000000000000100,*0000000000000100,1.7,23.94,22.34,0.05,0.05,*0000000000000100,*0000000000000100,33.626,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2172.084032,*0000000000000100,*0000000000000100,581.33,23.6,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2277.55,-9999999,-9999999,7.889,27.39,2056.92,87.77,1.997,1.295
RR1713,250 m E of Axial Base Shallow Profiler,"RS03AXPD,RS03AXPS",45.8305,-129.74983,2017-08-01T08:30:45.000Z,CTD-005,*0000000000010001,2619,RR1713_CTD-005,*0000000000000100,13,*0000000000000100,2017-08-01T8:48:42.000Z,101.355,*0000000000000100,100.5,45.83064,-129.74986,8.2536,*0000000000000100,8.2539,*0000000000000100,3.465111,*0000000010000100,3.465709,*0000000010000100,33.0398,33.0458,3.9057,*0000000010000100,6.64655,3.24E-01,*0000000010000100,12.3391,4.574,*0000000000000100,7.922,*0000000010000100,-9999999,-9999999,-9999999,0.1,0.081,1.54,*0000000000000100,*0000000000000100,1.38,15.85,15.51,0.06,0.06,*0000000000000100,*0000000000000100,33.131,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2126.175067,*0000000000000100,*0000000000000100,505.74,22.5,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2246.98,-9999999,-9999999,7.941,23.8,2006.82,95.56,2.194,1.422
